,entity,classes
0,DBPEDIA_ID/Airbus_Helicopters,"Organisation,Company,Agent"
1,DBPEDIA_ID/Daimler_AG,"Organisation,Company,Agent"
2,DBPEDIA_ID/Dassault_Aviation,"Organisation,Company,Agent"
3,DBPEDIA_ID/Maxwell_Technologies,"Organisation,Company,Agent"
4,DBPEDIA_ID/Robert_Bosch_GmbH,"Organisation,Company,Agent"
5,AOL,"Organisation,Company,Agent"
6,DBPEDIA_ID/ARY_Group,"Organisation,Company,Bank,Agent"
7,DBPEDIA_ID/Adobe_Systems,"Organisation,Company,Agent"
8,DBPEDIA_ID/Advanced_Micro_Devices,"Organisation,Company,Agent"
9,DBPEDIA_ID/American_Airlines,"Organisation,Company,Airline,Agent"
10,DBPEDIA_ID/American_Media_(publisher),"Organisation,Company,Agent"
11,Amway,"Organisation,Company,Agent"
12,DBPEDIA_ID/Aon_(company),"Organisation,Company,Agent"
13,DBPEDIA_ID/Apple_Inc.,"Organisation,Company,Agent"
14,Arianespace,"Organisation,Company,Agent"
15,DBPEDIA_ID/Aston_Martin,"Organisation,Company,Agent"
16,Audi,"Organisation,Company,Agent"
17,AvtoVAZ,"Organisation,Company,Agent"
18,BMW,"Organisation,Company,Agent"
19,DBPEDIA_ID/BT_Group,"Organisation,Company,Agent"
20,Bacardi,"Organisation,Company,Agent"
21,Beechcraft,"Organisation,Company,Agent"
22,DBPEDIA_ID/Bell_Labs,"Organisation,Company,Agent"
23,Bentley,"Organisation,Company,Agent"
24,DBPEDIA_ID/Birmingham_Small_Arms_Company,"Organisation,Company,Agent"
25,DBPEDIA_ID/Blizzard_Entertainment,"Organisation,Company,Agent"
26,DBPEDIA_ID/Bombardier_Inc.,"Organisation,Company,Agent"
27,Borland,"Organisation,Company,Agent"
28,DBPEDIA_ID/British_Airways,"Organisation,Company,Airline,Agent"
29,DBPEDIA_ID/British_Rail,"Organisation,Company,Agent"
30,DBPEDIA_ID/British_Steel,"Organisation,Company,Agent"
31,Bugatti,"Organisation,Company,Agent"
32,DBPEDIA_ID/Burroughs_Corporation,"Organisation,Company,Agent"
33,DBPEDIA_ID/Cantor_Fitzgerald,"Organisation,Company,Agent"
34,Capcom,"Organisation,Company,Agent"
35,DBPEDIA_ID/Ceres_Brewery,"Organisation,Company,Agent"
36,Cessna,"Organisation,Company,Agent"
37,Chaosium,"Organisation,Company,Agent"
38,Chrysler,"Organisation,Company,Agent"
39,Coleco,"Organisation,Company,Agent"
40,DBPEDIA_ID/Commodore_International,"Organisation,Company,Agent"
41,Compaq,"Organisation,Company,Agent"
42,DBPEDIA_ID/DC_Comics,"Publisher,Organisation,Company,Agent"
43,DKW,"Organisation,Company,Agent"
44,DBPEDIA_ID/Dartmoor_Preservation_Association,"Organisation,Company,Agent"
