,entity,classes
0,DBPEDIA_ID/William_M._Tweed,"Congressman,Politician,Agent,Person"
1,DBPEDIA_ID/James_B._Weaver,"Congressman,Politician,Agent,Person"
2,DBPEDIA_ID/James_M._Cox,"Congressman,Politician,Agent,Person"
3,DBPEDIA_ID/Ezra_B._Taylor,"Congressman,Politician,Agent,Person"
4,DBPEDIA_ID/Ezra_Dean,"Congressman,Politician,Agent,Person"
5,DBPEDIA_ID/Goldsmith_Bailey,"Congressman,Politician,Agent,Person"
6,DBPEDIA_ID/H._Joel_Deckard,"Congressman,Politician,Agent,Person"
7,DBPEDIA_ID/Thomas_Moore_(South_Carolina_congressman),"Congressman,Politician,Agent,Person"
8,DBPEDIA_ID/Thomas_Withers_Chinn,"Congressman,Politician,Agent,Person"
9,DBPEDIA_ID/W._Pat_Jennings,"Congressman,Politician,Agent,Person"
10,DBPEDIA_ID/William_Wright_(United_States_politician),"Congressman,Politician,Agent,Person"
11,DBPEDIA_ID/Abraham_Nott,"Congressman,Politician,Agent,Person"
12,DBPEDIA_ID/Al_Ullman,"Congressman,Politician,Agent,Person"
13,DBPEDIA_ID/Albert_Wynn,"Congressman,Politician,Agent,Person"
14,DBPEDIA_ID/Augustus_Frank,"Congressman,Politician,Agent,Person"
15,DBPEDIA_ID/Benedict_Arnold_(congressman),"Congressman,Politician,Agent,Person"
16,DBPEDIA_ID/Brock_Adams,"Congressman,Politician,Agent,Person"
17,DBPEDIA_ID/Carl_D._Perkins,"Congressman,Politician,Agent,Person"
18,DBPEDIA_ID/Chaka_Fattah,"Congressman,Politician,Agent,Person"
19,DBPEDIA_ID/Charles_Brown_(congressman),"Congressman,Politician,Agent,Person"
20,DBPEDIA_ID/Charles_G._Washburn,"Congressman,Politician,Agent,Person"
21,DBPEDIA_ID/Daniel_D._Barnard,"Congressman,Politician,Agent,Person"
22,DBPEDIA_ID/Daniel_Meserve_Durell,"Congressman,Politician,Agent,Person"
23,DBPEDIA_ID/David_A._Starkweather,"Congressman,Politician,Agent,Person"
24,DBPEDIA_ID/Erastus_Corning,"Congressman,Politician,Agent,Person"
25,DBPEDIA_ID/Francis_Mallory,"Congressman,Politician,Agent,Person"
26,DBPEDIA_ID/Frank_E._Guernsey,"Congressman,Politician,Agent,Person"
27,DBPEDIA_ID/Franklin_Menges,"Congressman,Politician,Agent,Person"
28,DBPEDIA_ID/George_Anson_Starkweather_(New_York),"Congressman,Politician,Agent,Person"
29,DBPEDIA_ID/Hezekiah_S._Bundy,"Congressman,Politician,Agent,Person"
30,DBPEDIA_ID/Jack_Brooks_(American_politician),"Congressman,Politician,Agent,Person"
31,DBPEDIA_ID/James_H._Davis_(congressman),"Congressman,Politician,Agent,Person"
32,DBPEDIA_ID/James_Overstreet,"Congressman,Politician,Agent,Person"
33,DBPEDIA_ID/Jimmy_Quillen,"Congressman,Politician,Agent,Person"
34,DBPEDIA_ID/John_Carey_(congressman),"Congressman,Politician,Agent,Person"
35,DBPEDIA_ID/John_G._Fary,"Congressman,Politician,Agent,Person"
36,DBPEDIA_ID/John_Lynch_(congressman),"Congressman,Politician,Agent,Person"
37,DBPEDIA_ID/John_Nichols_(politician),"Congressman,Politician,Agent,Person"
38,DBPEDIA_ID/Mell_G._Underwood,"Congressman,Politician,Agent,Person"
39,DBPEDIA_ID/Paul_Stewart_(politician),"Congressman,Politician,Agent,Person"
40,DBPEDIA_ID/Percy_Priest,"Congressman,Politician,Agent,Person"
41,"DBPEDIA_ID/Robert_Adams,_Jr.","Congressman,Politician,Agent,Person"
42,DBPEDIA_ID/Robert_Clark_(U.S._politician),"Congressman,Politician,Agent,Person"
43,DBPEDIA_ID/Robert_Hamilton_(congressman),"Congressman,Politician,Agent,Person"
44,DBPEDIA_ID/Rufus_Mallory,"Congressman,Politician,Agent,Person"
45,DBPEDIA_ID/Rufus_McIntire,"Congressman,Politician,Agent,Person"
46,DBPEDIA_ID/Rufus_P._Spalding,"Congressman,Politician,Agent,Person"
47,DBPEDIA_ID/Rufus_Palen,"Congressman,Politician,Agent,Person"
48,DBPEDIA_ID/Rufus_S._Frost,"Congressman,Politician,Agent,Person"
49,DBPEDIA_ID/S._William_Green,"Congressman,Politician,Agent,Person"
50,DBPEDIA_ID/Solomon_Bundy,"Congressman,Politician,Agent,Person"
51,DBPEDIA_ID/Steven_Schiff,"Congressman,Politician,Agent,Person"
52,DBPEDIA_ID/Thomas_Davis_(Rhode_Island),"Congressman,Politician,Agent,Person"
53,DBPEDIA_ID/Tobias_A._Plants,"Congressman,Politician,Agent,Person"
54,DBPEDIA_ID/Warren_Miller_(West_Virginia_Congressman),"Congressman,Politician,Agent,Person"
55,DBPEDIA_ID/William_Floyd,"Congressman,Politician,Agent,Person"
56,DBPEDIA_ID/William_McCoy_(congressman),"Congressman,Politician,Agent,Person"
57,DBPEDIA_ID/Cal_Dooley,"Congressman,Politician,Agent,Person"
58,DBPEDIA_ID/Clifton_N._McArthur,"Congressman,Politician,Agent,Person"
59,DBPEDIA_ID/James_E._Van_Zandt,"Congressman,Politician,Agent,Person"
60,DBPEDIA_ID/John_Adams_Hyman,"Congressman,Politician,Agent,Person"
61,DBPEDIA_ID/Larry_Winn,"Congressman,Politician,Agent,Person"
62,DBPEDIA_ID/Martin_Olav_Sabo,"Congressman,Politician,Agent,Person"
63,DBPEDIA_ID/Nick_Galifianakis_(politician),"Congressman,Politician,Agent,Person"
64,DBPEDIA_ID/Richard_Winn,"Congressman,Politician,Agent,Person"
65,DBPEDIA_ID/Simon_J._Schermerhorn,"Congressman,Politician,Agent,Person"
66,DBPEDIA_ID/Tom_Steed,"Congressman,Politician,Agent,Person"
67,DBPEDIA_ID/Wiley_Mayne,"Congressman,Politician,Agent,Person"
68,DBPEDIA_ID/Albert_Johnson_(congressman),"Congressman,Politician,Agent,Person"
69,DBPEDIA_ID/Alexander_Stewart_(American_politician),"Congressman,Politician,Agent,Person"
70,DBPEDIA_ID/Allard_K._Lowenstein,"Congressman,Politician,Agent,Person"
71,DBPEDIA_ID/Andrew_Williams_(congressman),"Congressman,Politician,Agent,Person"
72,DBPEDIA_ID/Antonio_Rafael_Barceló,"Congressman,Politician,Agent,Person"
73,DBPEDIA_ID/Bellamy_Storer_(1796–1875),"Congressman,Politician,Agent,Person"
74,DBPEDIA_ID/Bellamy_Storer_(1847–1922),"Congressman,Politician,Agent,Person"
75,DBPEDIA_ID/Benigno_C._Hernández,"Congressman,Politician,Agent,Person"
76,DBPEDIA_ID/Betty_McCollum,"Congressman,Politician,Agent,Person"
77,DBPEDIA_ID/Bob_Whittaker,"Congressman,Politician,Agent,Person"
78,DBPEDIA_ID/Charles_Foster_(Ohio_politician),"Congressman,Politician,Agent,Person"
79,DBPEDIA_ID/Claude_I._Bakewell,"Congressman,Politician,Agent,Person"
80,DBPEDIA_ID/Clement_Storer,"Congressman,Politician,Agent,Person"
81,DBPEDIA_ID/Cliff_Stearns,"Congressman,Politician,Agent,Person"
82,DBPEDIA_ID/Dan_Daniel_(politician),"Congressman,Politician,Agent,Person"
83,DBPEDIA_ID/David_Rivera,"Congressman,Politician,Agent,Person"
84,DBPEDIA_ID/David_Skaggs,"Congressman,Politician,Agent,Person"
85,"DBPEDIA_ID/Don_Johnson,_Jr.","Congressman,Politician,Agent,Person"
86,DBPEDIA_ID/Donald_D._Clancy,"Congressman,Politician,Agent,Person"
87,DBPEDIA_ID/Foster_Waterman_Stearns,"Congressman,Politician,Agent,Person"
88,DBPEDIA_ID/George_Barnes_(American_politician),"Congressman,Politician,Agent,Person"
89,DBPEDIA_ID/George_J._Bates,"Congressman,Politician,Agent,Person"
90,DBPEDIA_ID/Glenn_Cunningham_(Nebraska),"Congressman,Politician,Agent,Person"
91,DBPEDIA_ID/Henry_Hyde,"Congressman,Politician,Agent,Person"
92,DBPEDIA_ID/Henry_Williams_(Massachusetts),"Congressman,Politician,Agent,Person"
93,DBPEDIA_ID/Isaac_C._Bates,"Congressman,Politician,Agent,Person"
94,DBPEDIA_ID/Jackson_Edward_Betts,"Congressman,Politician,Agent,Person"
95,DBPEDIA_ID/Jim_Bates_(politician),"Congressman,Politician,Agent,Person"
96,DBPEDIA_ID/John_Allison_(Representative),"Congressman,Politician,Agent,Person"
97,DBPEDIA_ID/John_Dick_(politician),"Congressman,Politician,Agent,Person"
98,DBPEDIA_ID/John_Hill_(New_Jersey_politician),"Congressman,Politician,Agent,Person"
99,DBPEDIA_ID/John_McCreary,"Congressman,Politician,Agent,Person"
100,DBPEDIA_ID/John_Robert_Brown_(Virginia_politician),"Congressman,Politician,Agent,Person"
101,DBPEDIA_ID/John_Winans,"Congressman,Politician,Agent,Person"
102,DBPEDIA_ID/Joseph_R._Cockerill,"Congressman,Politician,Agent,Person"
103,DBPEDIA_ID/Juan_Cancel_Ríos,"Congressman,Politician,Agent,Person"
104,DBPEDIA_ID/Leverett_Saltonstall_I,"Congressman,Politician,Agent,Person"
105,DBPEDIA_ID/Mark_Trafton,"Congressman,Politician,Agent,Person"
106,DBPEDIA_ID/Michael_Griffin_(politician),"Congressman,Politician,Agent,Person"
107,DBPEDIA_ID/Miguel_Hernández_Agosto,"Congressman,Politician,Agent,Person"
108,DBPEDIA_ID/Mike_Fitzpatrick,"Congressman,Politician,Agent,Person"
109,DBPEDIA_ID/Philip_Ruppe,"Congressman,Politician,Agent,Person"
110,DBPEDIA_ID/Richard_Ottinger,"Congressman,Politician,Agent,Person"
111,DBPEDIA_ID/Robert_Allison_(Pennsylvania),"Congressman,Politician,Agent,Person"
