,entity,classes
0,Antlia,"Place,CelestialBody,Constellation,Location"
1,Apus,"Place,CelestialBody,Constellation,Location"
2,DBPEDIA_ID/Aquarius_(constellation),"Place,CelestialBody,Constellation,Location"
3,DBPEDIA_ID/Ara_(constellation),"Place,CelestialBody,Constellation,Location"
4,DBPEDIA_ID/Aries_(constellation),"Place,CelestialBody,Constellation,Location"
5,Boötes,"Place,CelestialBody,Constellation,Location"
6,Caelum,"Place,CelestialBody,Constellation,Location"
7,Camelopardalis,"Place,CelestialBody,Constellation,Location"
8,DBPEDIA_ID/Canes_Venatici,"Place,CelestialBody,Constellation,Location"
9,DBPEDIA_ID/Canis_Major,"Place,CelestialBody,Constellation,Location"
10,DBPEDIA_ID/Canis_Minor,"Place,CelestialBody,Constellation,Location"
11,Capricornus,"Place,CelestialBody,Constellation,Location"
12,DBPEDIA_ID/Carina_(constellation),"Place,CelestialBody,Constellation,Location"
13,Centaurus,"Place,CelestialBody,Constellation,Location"
14,Cetus,"Place,CelestialBody,Constellation,Location"
15,Chamaeleon,"Place,CelestialBody,Constellation,Location"
16,DBPEDIA_ID/Corona_Australis,"Place,CelestialBody,Constellation,Location"
17,DBPEDIA_ID/Corona_Borealis,"Place,CelestialBody,Constellation,Location"
18,Crux,"Place,CelestialBody,Constellation,Location"
19,DBPEDIA_ID/Cygnus_(constellation),"Place,CelestialBody,Constellation,Location"
20,Delphinus,"Place,CelestialBody,Constellation,Location"
21,Dorado,"Place,CelestialBody,Constellation,Location"
22,Equuleus,"Place,CelestialBody,Constellation,Location"
23,Fornax,"Place,CelestialBody,Constellation,Location"
24,DBPEDIA_ID/Grus_(constellation),"Place,CelestialBody,Constellation,Location"
25,Hydrus,"Place,CelestialBody,Constellation,Location"
26,DBPEDIA_ID/Leo_(constellation),"Place,CelestialBody,Constellation,Location"
27,DBPEDIA_ID/Lepus_(constellation),"Place,CelestialBody,Constellation,Location"
28,DBPEDIA_ID/Libra_(constellation),"Place,CelestialBody,Constellation,Location"
29,DBPEDIA_ID/Lupus_(constellation),"Place,CelestialBody,Constellation,Location"
30,Lyra,"Place,CelestialBody,Constellation,Location"
31,Microscopium,"Place,CelestialBody,Constellation,Location"
32,Octans,"Place,CelestialBody,Constellation,Location"
33,Ophiuchus,"Place,CelestialBody,Constellation,Location"
34,DBPEDIA_ID/Pisces_(constellation),"Place,CelestialBody,Constellation,Location"
35,DBPEDIA_ID/Piscis_Austrinus,"Place,CelestialBody,Constellation,Location"
36,Puppis,"Place,CelestialBody,Constellation,Location"
37,Pyxis,"Place,CelestialBody,Constellation,Location"
38,Sagitta,"Place,CelestialBody,Constellation,Location"
39,DBPEDIA_ID/Sagittarius_(constellation),"Place,CelestialBody,Constellation,Location"
40,Scorpius,"Place,CelestialBody,Constellation,Location"
41,Serpens,"Place,CelestialBody,Constellation,Location"
42,Sextans,"Place,CelestialBody,Constellation,Location"
43,DBPEDIA_ID/Andromeda_(constellation),"Place,CelestialBody,Constellation,Location"
44,DBPEDIA_ID/Columba_(constellation),"Place,CelestialBody,Constellation,Location"
45,DBPEDIA_ID/Gemini_(constellation),"Place,CelestialBody,Constellation,Location"
46,DBPEDIA_ID/Coma_Berenices,"Place,CelestialBody,Constellation,Location"
47,Triangulum,"Place,CelestialBody,Constellation,Location"
48,DBPEDIA_ID/Aquila_(constellation),"Place,CelestialBody,Constellation,Location"
49,DBPEDIA_ID/Auriga_(constellation),"Place,CelestialBody,Constellation,Location"
50,DBPEDIA_ID/Cassiopeia_(constellation),"Place,CelestialBody,Constellation,Location"
51,DBPEDIA_ID/Cepheus_(constellation),"Place,CelestialBody,Constellation,Location"
52,DBPEDIA_ID/Corvus_(constellation),"Place,CelestialBody,Constellation,Location"
53,DBPEDIA_ID/Eridanus_(constellation),"Place,CelestialBody,Constellation,Location"
54,DBPEDIA_ID/Mensa_(constellation),"Place,CelestialBody,Constellation,Location"
55,Monoceros,"Place,CelestialBody,Constellation,Location"
56,DBPEDIA_ID/Orion_(constellation),"Place,CelestialBody,Constellation,Location"
57,DBPEDIA_ID/Pavo_(constellation),"Place,CelestialBody,Constellation,Location"
58,DBPEDIA_ID/Phoenix_(constellation),"Place,CelestialBody,Constellation,Location"
59,Scutum,"Place,CelestialBody,Constellation,Location"
60,DBPEDIA_ID/Taurus_(constellation),"Place,CelestialBody,Constellation,Location"
61,Telescopium,"Place,CelestialBody,Constellation,Location"
62,DBPEDIA_ID/Triangulum_Australe,"Place,CelestialBody,Constellation,Location"
63,Tucana,"Place,CelestialBody,Constellation,Location"
64,DBPEDIA_ID/Ursa_Major,"Place,CelestialBody,Constellation,Location"
65,DBPEDIA_ID/Ursa_Minor,"Place,CelestialBody,Constellation,Location"
66,DBPEDIA_ID/Vela_(constellation),"Place,CelestialBody,Constellation,Location"
67,DBPEDIA_ID/Virgo_(constellation),"Place,CelestialBody,Constellation,Location"
68,Circinus,"Place,CelestialBody,Constellation,Location"
69,DBPEDIA_ID/Hercules_(constellation),"Place,CelestialBody,Constellation,Location"
70,DBPEDIA_ID/Hydra_(constellation),"Place,CelestialBody,Constellation,Location"
71,Lacerta,"Place,CelestialBody,Constellation,Location"
72,Reticulum,"Place,CelestialBody,Constellation,Location"
73,DBPEDIA_ID/Horologium_(constellation),"Place,CelestialBody,Constellation,Location"
74,DBPEDIA_ID/Indus_(constellation),"Place,CelestialBody,Constellation,Location"
75,Musca,"Place,CelestialBody,Constellation,Location"
76,DBPEDIA_ID/Perseus_(constellation),"Place,CelestialBody,Constellation,Location"
77,Pictor,"Place,CelestialBody,Constellation,Location"
78,Volans,"Place,CelestialBody,Constellation,Location"
79,DBPEDIA_ID/Sculptor_(constellation),"Place,CelestialBody,Constellation,Location"
80,DBPEDIA_ID/Draco_(constellation),"Place,CelestialBody,Constellation,Location"
81,DBPEDIA_ID/Pegasus_(constellation),"Place,CelestialBody,Constellation,Location"
