,entity,classes
0,Asia,"PopulatedPlace,Place,Continent,Location"
1,Europe,"PopulatedPlace,Place,Continent,Location"
2,DBPEDIA_ID/Latin_America,"PopulatedPlace,Place,Continent,Location"
3,Oceania,"PopulatedPlace,Place,Continent,Location"
4,Scandinavia,"PopulatedPlace,Place,Continent,Location"
5,Africa,"PopulatedPlace,Place,Continent,Location"
6,DBPEDIA_ID/African_Index_Medicus,"PopulatedPlace,Place,Continent,Location"
7,DBPEDIA_ID/Communication_for_social_change,"PopulatedPlace,Place,Continent,Location"
8,DBPEDIA_ID/Indian_subcontinent,"PopulatedPlace,Place,Continent,Location"
9,DBPEDIA_ID/Arabian_Peninsula,"PopulatedPlace,Place,Continent,Location"
10,Americas,"PopulatedPlace,Place,Continent,Location"
11,Eurasia,"PopulatedPlace,Place,Continent,Location"
12,Antarctica,"PopulatedPlace,Place,Continent,Location"
13,DBPEDIA_ID/North_America,"PopulatedPlace,Place,Continent,Location"
14,DBPEDIA_ID/South_America,"PopulatedPlace,Place,Continent,Location"
15,DBPEDIA_ID/Australia_(continent),"PopulatedPlace,Place,Continent,Location"
16,Afro-Eurasia,"PopulatedPlace,Place,Continent,Location"
17,Anglo-America,"PopulatedPlace,Place,Continent,Location"
