,entity,classes
0,DBPEDIA_ID/Biathlon_World_Championships,"SocietalEvent,Event,Convention"
1,DBPEDIA_ID/Love_Parade,"SocietalEvent,Event,Convention"
2,DBPEDIA_ID/Green_Man_Festival,"SocietalEvent,Event,Convention"
3,DBPEDIA_ID/AVN_Adult_Entertainment_Expo,"SocietalEvent,Event,Convention"
4,DBPEDIA_ID/Armageddon_(convention),"SocietalEvent,Event,Convention"
5,DBPEDIA_ID/Australian_Constitutional_Convention_1998,"SocietalEvent,Event,Convention"
6,DBPEDIA_ID/Binder_Twine_Festival,"SocietalEvent,Event,Convention"
7,DBPEDIA_ID/Bioinformatics_Open_Source_Conference,"SocietalEvent,Event,Convention"
8,DBPEDIA_ID/Build_(design_conference),"SocietalEvent,Event,Convention"
9,DBPEDIA_ID/Central_Washington_State_Fair,"SocietalEvent,Event,Convention"
10,ConQuesT,"SocietalEvent,Event,Convention"
11,DBPEDIA_ID/Conduit_(convention),"SocietalEvent,Event,Convention"
12,DBPEDIA_ID/Delaware_State_Fair,"SocietalEvent,Event,Convention"
13,DreamHack,"SocietalEvent,Event,Convention"
14,DBPEDIA_ID/Edinburgh_International_Festival,"SocietalEvent,Event,Convention"
15,DBPEDIA_ID/Frome_Festival,"SocietalEvent,Event,Convention"
16,DBPEDIA_ID/General_Conference_(LDS_Church),"SocietalEvent,Event,Convention"
17,DBPEDIA_ID/Google_Developer_Day,"SocietalEvent,Event,Convention"
18,DBPEDIA_ID/Home_Run_Derby_(Major_League_Baseball),"SocietalEvent,Event,Convention"
19,DBPEDIA_ID/Lexicon_Gaming_Convention,"SocietalEvent,Event,Convention"
20,DBPEDIA_ID/Manchester_International_Festival,"SocietalEvent,Event,Convention"
21,DBPEDIA_ID/NECA_Show,"SocietalEvent,Event,Convention"
22,DBPEDIA_ID/Philadelphia_Auto_Show,"SocietalEvent,Event,Convention"
23,DBPEDIA_ID/Portland_Rose_Festival,"SocietalEvent,Event,Convention"
24,DBPEDIA_ID/Raindance_Film_Festival,"SocietalEvent,Event,Convention"
25,DBPEDIA_ID/Scripps_National_Spelling_Bee,"SocietalEvent,Event,Convention"
26,DBPEDIA_ID/Sydney_Film_Festival,"SocietalEvent,Event,Convention"
27,DBPEDIA_ID/Sydney_Writers'_Festival,"SocietalEvent,Event,Convention"
28,TheSpeedGamers,"SocietalEvent,Event,Convention"
29,DBPEDIA_ID/The_Daffodil_Festival,"SocietalEvent,Event,Convention"
30,DBPEDIA_ID/Ultima_Oslo_Contemporary_Music_Festival,"SocietalEvent,Event,Convention"
31,DBPEDIA_ID/Vivid_Sydney,"SocietalEvent,Event,Convention"
32,DBPEDIA_ID/Waves_(festival),"SocietalEvent,Event,Convention"
33,DBPEDIA_ID/World_Education_Games,"SocietalEvent,Event,Convention"
34,"DBPEDIA_ID/World_Science_Festival,_2008","SocietalEvent,Event,Convention"
35,DBPEDIA_ID/Ad_Astra_(convention),"SocietalEvent,Event,Convention"
36,DBPEDIA_ID/Bandy_World_Cup,"SocietalEvent,Event,Convention"
37,DBPEDIA_ID/Bandy_World_Cup_Women,"SocietalEvent,Event,Convention"
38,DBPEDIA_ID/Biathlon_World_Cup,"SocietalEvent,Event,Convention"
39,DBPEDIA_ID/Boomslang_(music_festival),"SocietalEvent,Event,Convention"
40,DBPEDIA_ID/Bratislava_Jazz_Days,"SocietalEvent,Event,Convention"
41,DBPEDIA_ID/FIB_Champions_Cup,"SocietalEvent,Event,Convention"
42,DBPEDIA_ID/FIS_Cross-Country_World_Cup,"SocietalEvent,Event,Convention"
43,DBPEDIA_ID/FIS_Freestyle_Skiing_World_Cup,"SocietalEvent,Event,Convention"
44,DBPEDIA_ID/FIS_Nordic_Combined_World_Cup,"SocietalEvent,Event,Convention"
45,DBPEDIA_ID/FIS_Ski_Jumping_World_Cup,"SocietalEvent,Event,Convention"
46,DBPEDIA_ID/Hacking_at_Random,"SocietalEvent,Event,Convention"
47,DBPEDIA_ID/Manifest_(convention),"SocietalEvent,Event,Convention"
48,DBPEDIA_ID/Middle_Tennessee_Anime_Convention,"SocietalEvent,Event,Convention"
49,Naka-Kon,"SocietalEvent,Event,Convention"
50,DBPEDIA_ID/Observe._Hack._Make.,"SocietalEvent,Event,Convention"
51,ReConStruction,"SocietalEvent,Event,Convention"
52,DBPEDIA_ID/Sandhurst_Competition,"SocietalEvent,Event,Convention"
53,Shikara,"SocietalEvent,Event,Convention"
54,Transformus,"SocietalEvent,Event,Convention"
55,DBPEDIA_ID/Twilight_Festival,"SocietalEvent,Event,Convention"
56,DBPEDIA_ID/World_Cup_in_Ski_Orienteering,"SocietalEvent,Event,Convention"
57,DBPEDIA_ID/World_Table_Tennis_Championships,"SocietalEvent,Event,Convention"
58,DBPEDIA_ID/30th_World_Science_Fiction_Convention,"SocietalEvent,Event,Convention"
59,DBPEDIA_ID/37th_World_Science_Fiction_Convention,"SocietalEvent,Event,Convention"
60,DBPEDIA_ID/Engadin_Skimarathon,"SocietalEvent,Event,Convention"
61,DBPEDIA_ID/Friday_the_13th_motorcycle_rally,"SocietalEvent,Event,Convention"
62,Gamaya,"SocietalEvent,Event,Convention"
63,AnimeCon,"SocietalEvent,Event,Convention"
64,DBPEDIA_ID/Anime_Matsuri,"SocietalEvent,Event,Convention"
65,DBPEDIA_ID/Animecon_(Finland),"SocietalEvent,Event,Convention"
66,DBPEDIA_ID/Great_Falls_Balloon_Festival,"SocietalEvent,Event,Convention"
67,DBPEDIA_ID/Channel_One_Cup_(ice_hockey),"SocietalEvent,Event,Convention"
68,DBPEDIA_ID/Midwest_FurFest,"SocietalEvent,Event,Convention"
69,DBPEDIA_ID/Northwest_EAA_Fly-In,"SocietalEvent,Event,Convention"
70,DBPEDIA_ID/PLAY:_The_Games_Festival,"SocietalEvent,Event,Convention"
71,DBPEDIA_ID/Copenhagen_Distortion,"SocietalEvent,Event,Convention"
