,entity,classes
0,DBPEDIA_ID/Keeler_(Martian_crater),"Place,NaturalPlace,Location,Crater"
1,DBPEDIA_ID/Barnard_(Martian_crater),"Place,NaturalPlace,Location,Crater"
2,DBPEDIA_ID/Corby_(crater),"Place,NaturalPlace,Location,Crater"
3,DBPEDIA_ID/Dinorwic_(crater),"Place,NaturalPlace,Location,Crater"
4,DBPEDIA_ID/Escalante_(crater),"Place,NaturalPlace,Location,Crater"
5,DBPEDIA_ID/Gertrude_(crater),"Place,NaturalPlace,Location,Crater"
6,DBPEDIA_ID/Holberg_(crater),"Place,NaturalPlace,Location,Crater"
7,DBPEDIA_ID/Melville_(crater),"Place,NaturalPlace,Location,Crater"
8,DBPEDIA_ID/Mozart_(crater),"Place,NaturalPlace,Location,Crater"
9,DBPEDIA_ID/Niger_Vallis,"Place,NaturalPlace,Location,Crater"
10,DBPEDIA_ID/North_Polar_Basin_(Mars),"Place,NaturalPlace,Location,Crater"
11,DBPEDIA_ID/Proctor_(Martian_crater),"Place,NaturalPlace,Location,Crater"
12,DBPEDIA_ID/Prometheus_(volcano),"Place,NaturalPlace,Location,Crater"
13,DBPEDIA_ID/Ritchey_(Martian_crater),"Place,NaturalPlace,Location,Crater"
14,DBPEDIA_ID/Schubert_(Mercurian_crater),"Place,NaturalPlace,Location,Crater"
15,DBPEDIA_ID/Taytay_(crater),"Place,NaturalPlace,Location,Crater"
16,DBPEDIA_ID/Bok_(Martian_crater),"Place,NaturalPlace,Location,Crater"
17,DBPEDIA_ID/Copland_(crater),"Place,NaturalPlace,Location,Crater"
18,DBPEDIA_ID/Crater_of_eternal_darkness,"Place,NaturalPlace,Location,Crater"
19,DBPEDIA_ID/Dali_(crater),"Place,NaturalPlace,Location,Crater"
20,DBPEDIA_ID/Endurance_(crater),"Place,NaturalPlace,Location,Crater"
21,DBPEDIA_ID/Gogol_(crater),"Place,NaturalPlace,Location,Crater"
22,DBPEDIA_ID/Grimaldi_(crater),"Place,NaturalPlace,Location,Crater"
23,DBPEDIA_ID/Haydn_(crater),"Place,NaturalPlace,Location,Crater"
24,DBPEDIA_ID/Mandora_(crater),"Place,NaturalPlace,Location,Crater"
25,DBPEDIA_ID/Mistral_(crater),"Place,NaturalPlace,Location,Crater"
26,DBPEDIA_ID/Rembrandt_(crater),"Place,NaturalPlace,Location,Crater"
27,DBPEDIA_ID/Sander_(crater),"Place,NaturalPlace,Location,Crater"
28,DBPEDIA_ID/Timbuktu_(crater),"Place,NaturalPlace,Location,Crater"
29,DBPEDIA_ID/Alpha_Regio,"Place,NaturalPlace,Location,Crater"
30,DBPEDIA_ID/Beta_Regio,"Place,NaturalPlace,Location,Crater"
31,DBPEDIA_ID/Borealis_Planitia,"Place,NaturalPlace,Location,Crater"
32,DBPEDIA_ID/Caxias_(crater),"Place,NaturalPlace,Location,Crater"
33,DBPEDIA_ID/Cunningham_(crater),"Place,NaturalPlace,Location,Crater"
34,DBPEDIA_ID/Fet_(crater),"Place,NaturalPlace,Location,Crater"
35,DBPEDIA_ID/Ultimi_Scopuli,"Place,NaturalPlace,Location,Crater"
36,DBPEDIA_ID/Goethe_Basin,"Place,NaturalPlace,Location,Crater"
37,DBPEDIA_ID/Guilbert_(crater),"Place,NaturalPlace,Location,Crater"
38,DBPEDIA_ID/Lockyer_(Martian_crater),"Place,NaturalPlace,Location,Crater"
39,DBPEDIA_ID/Mellish_(crater),"Place,NaturalPlace,Location,Crater"
40,DBPEDIA_ID/Tessera_(Venusian_geography),"Place,NaturalPlace,Location,Crater"
41,DBPEDIA_ID/Barnacle_Bill_(Martian_rock),"Place,NaturalPlace,Location,Crater"
42,DBPEDIA_ID/Vivaldi_(crater),"Place,NaturalPlace,Location,Crater"
43,DBPEDIA_ID/Xanthe_Terra,"Place,NaturalPlace,Location,Crater"
44,DBPEDIA_ID/McCool_Hill,"Place,NaturalPlace,Location,Crater"
45,DBPEDIA_ID/Equiano_(crater),"Place,NaturalPlace,Location,Crater"
46,DBPEDIA_ID/Holbein_(crater),"Place,NaturalPlace,Location,Crater"
47,DBPEDIA_ID/Virrat_(crater),"Place,NaturalPlace,Location,Crater"
48,DBPEDIA_ID/Bouguer_(Martian_crater),"Place,NaturalPlace,Location,Crater"
49,DBPEDIA_ID/Orson_Welles_(crater),"Place,NaturalPlace,Location,Crater"
50,DBPEDIA_ID/Grissom_Hill,"Place,NaturalPlace,Location,Crater"
51,DBPEDIA_ID/Izquierdo_(crater),"Place,NaturalPlace,Location,Crater"
52,DBPEDIA_ID/Sinan_(crater),"Place,NaturalPlace,Location,Crater"
53,DBPEDIA_ID/Wislicenus_(crater),"Place,NaturalPlace,Location,Crater"
54,DBPEDIA_ID/Karoo_(crater),"Place,NaturalPlace,Location,Crater"
55,DBPEDIA_ID/Rameau_(crater),"Place,NaturalPlace,Location,Crater"
56,DBPEDIA_ID/Zumba_(crater),"Place,NaturalPlace,Location,Crater"
57,DBPEDIA_ID/Mare_Erythraeum,"Place,NaturalPlace,Location,Crater"
58,DBPEDIA_ID/Bounce_Rock,"Place,NaturalPlace,Location,Crater"
59,DBPEDIA_ID/Al-Bakbuk_(crater),"Place,NaturalPlace,Location,Crater"
60,DBPEDIA_ID/Al-Haddar_(crater),"Place,NaturalPlace,Location,Crater"
61,DBPEDIA_ID/Behram_(crater),"Place,NaturalPlace,Location,Crater"
62,DBPEDIA_ID/Khusrau_(crater),"Place,NaturalPlace,Location,Crater"
63,DBPEDIA_ID/Shakashik_(crater),"Place,NaturalPlace,Location,Crater"
64,DBPEDIA_ID/Nipigon_(crater),"Place,NaturalPlace,Location,Crater"
65,DBPEDIA_ID/Hun_Kal_(crater),"Place,NaturalPlace,Location,Crater"
66,DBPEDIA_ID/Amaral_(crater),"Place,NaturalPlace,Location,Crater"
67,DBPEDIA_ID/Columbus_(crater),"Place,NaturalPlace,Location,Crater"
68,DBPEDIA_ID/Shahrazad_(crater),"Place,NaturalPlace,Location,Crater"
69,DBPEDIA_ID/Ahmad_(crater),"Place,NaturalPlace,Location,Crater"
70,DBPEDIA_ID/Bassorah_Fossa,"Place,NaturalPlace,Location,Crater"
71,DBPEDIA_ID/Dalilah_(crater),"Place,NaturalPlace,Location,Crater"
72,DBPEDIA_ID/Daryabar_Fossa,"Place,NaturalPlace,Location,Crater"
73,DBPEDIA_ID/Diyar_Planitia,"Place,NaturalPlace,Location,Crater"
74,DBPEDIA_ID/Isbanir_Fossa,"Place,NaturalPlace,Location,Crater"
75,DBPEDIA_ID/Myron_(crater),"Place,NaturalPlace,Location,Crater"
76,DBPEDIA_ID/Semeykin_(crater),"Place,NaturalPlace,Location,Crater"
77,DBPEDIA_ID/Thila_(crater),"Place,NaturalPlace,Location,Crater"
78,DBPEDIA_ID/Davies_(crater),"Place,NaturalPlace,Location,Crater"
79,DBPEDIA_ID/Callicrates_(crater),"Place,NaturalPlace,Location,Crater"
80,DBPEDIA_ID/Li_Ch'ing-Chao_(crater),"Place,NaturalPlace,Location,Crater"
81,DBPEDIA_ID/Hauptmann_(crater),"Place,NaturalPlace,Location,Crater"
82,DBPEDIA_ID/Quetzalpetlatl_Corona,"Place,NaturalPlace,Location,Crater"
83,DBPEDIA_ID/Kraken_Catena,"Place,NaturalPlace,Location,Crater"
84,DBPEDIA_ID/Mickiewicz_(crater),"Place,NaturalPlace,Location,Crater"
85,DBPEDIA_ID/Zunil_(crater),"Place,NaturalPlace,Location,Crater"
86,DBPEDIA_ID/Bjornson_(crater),"Place,NaturalPlace,Location,Crater"
87,DBPEDIA_ID/Martial_(crater),"Place,NaturalPlace,Location,Crater"
88,DBPEDIA_ID/Belinskij_(crater),"Place,NaturalPlace,Location,Crater"
89,DBPEDIA_ID/Okyo_(crater),"Place,NaturalPlace,Location,Crater"
90,DBPEDIA_ID/Futabatei_(crater),"Place,NaturalPlace,Location,Crater"
91,DBPEDIA_ID/Derain_(crater),"Place,NaturalPlace,Location,Crater"
92,DBPEDIA_ID/Ishtar_Terra,"Place,NaturalPlace,Location,Crater"
93,DBPEDIA_ID/Murasaki_(crater),"Place,NaturalPlace,Location,Crater"
94,DBPEDIA_ID/Zola_(crater),"Place,NaturalPlace,Location,Crater"
95,DBPEDIA_ID/Arwen_Colles,"Place,NaturalPlace,Location,Crater"
96,DBPEDIA_ID/Janssen_(Martian_crater),"Place,NaturalPlace,Location,Crater"
97,DBPEDIA_ID/Koga_(crater),"Place,NaturalPlace,Location,Crater"
98,DBPEDIA_ID/Molière_(crater),"Place,NaturalPlace,Location,Crater"
99,DBPEDIA_ID/Noachis_Terra,"Place,NaturalPlace,Location,Crater"
100,DBPEDIA_ID/Renpet_Mons,"Place,NaturalPlace,Location,Crater"
101,DBPEDIA_ID/March_(crater),"Place,NaturalPlace,Location,Crater"
102,DBPEDIA_ID/Eberswalde_(crater),"Place,NaturalPlace,Location,Crater"
103,DBPEDIA_ID/Prokofiev_(crater),"Place,NaturalPlace,Location,Crater"
104,DBPEDIA_ID/Calvino_(crater),"Place,NaturalPlace,Location,Crater"
105,DBPEDIA_ID/Dostoevskij_(crater),"Place,NaturalPlace,Location,Crater"
106,DBPEDIA_ID/Flaugergues_(crater),"Place,NaturalPlace,Location,Crater"
107,DBPEDIA_ID/Irensaga_Montes,"Place,NaturalPlace,Location,Crater"
108,DBPEDIA_ID/Larry's_Lookout,"Place,NaturalPlace,Location,Crater"
109,DBPEDIA_ID/Onatah_Corona,"Place,NaturalPlace,Location,Crater"
110,DBPEDIA_ID/Saha_(crater),"Place,NaturalPlace,Location,Crater"
111,DBPEDIA_ID/Bramante_(crater),"Place,NaturalPlace,Location,Crater"
112,DBPEDIA_ID/Brunelleschi_(crater),"Place,NaturalPlace,Location,Crater"
113,DBPEDIA_ID/Grieg_(crater),"Place,NaturalPlace,Location,Crater"
114,DBPEDIA_ID/Adlinda_(crater),"Place,NaturalPlace,Location,Crater"
115,DBPEDIA_ID/Kunisada_(crater),"Place,NaturalPlace,Location,Crater"
116,DBPEDIA_ID/Skynd_(crater),"Place,NaturalPlace,Location,Crater"
117,DBPEDIA_ID/Dejnev_(crater),"Place,NaturalPlace,Location,Crater"
118,DBPEDIA_ID/Kipini_(crater),"Place,NaturalPlace,Location,Crater"
119,DBPEDIA_ID/Memphis_Facula,"Place,NaturalPlace,Location,Crater"
