,entity,classes
0,"DBPEDIA_ID/County_Ground,_Lakenham","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
1,DBPEDIA_ID/Dean_Park_Cricket_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
2,"DBPEDIA_ID/The_Park,_Burley-on-the-Hill","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
3,DBPEDIA_ID/Gore_Court,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
4,"DBPEDIA_ID/Hatton_Park,_Wellingborough","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
5,"DBPEDIA_ID/College_Ground,_Cheltenham","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
6,"DBPEDIA_ID/College_Ground,_Loughborough","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
7,DBPEDIA_ID/Oldfields_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
8,DBPEDIA_ID/Porthill_Park,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
9,"DBPEDIA_ID/Station_Road,_Darley_Dale","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
10,DBPEDIA_ID/Bournville_Cricket_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
11,DBPEDIA_ID/Chain_Wire_Club_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
12,DBPEDIA_ID/Evesham_Cricket_Club_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
13,"DBPEDIA_ID/Racecourse_Ground,_Hereford","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
14,DBPEDIA_ID/Seth_Somers_Park,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
15,DBPEDIA_ID/Tipton_Road,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
16,DBPEDIA_ID/Bullingdon_Green,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
17,DBPEDIA_ID/Coxheath_Common,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
18,"DBPEDIA_ID/Foxgrove_Road,_Beckenham","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
19,"DBPEDIA_ID/Old_Field,_Bray","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
20,DBPEDIA_ID/Petworth_Park,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
21,DBPEDIA_ID/The_Burys,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
22,DBPEDIA_ID/Caterham_Common,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
23,DBPEDIA_ID/Forest_New_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
24,DBPEDIA_ID/Municipal_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
25,"DBPEDIA_ID/New_Ground,_Uxbridge_Moor","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
26,DBPEDIA_ID/The_Maer_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
27,DBPEDIA_ID/Banbury_Cricket_Club_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
28,DBPEDIA_ID/Old_Buckenham_Hall_Cricket_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
29,DBPEDIA_ID/Portrack_Lane,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
30,DBPEDIA_ID/The_Avenue_Sports_Club_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
31,DBPEDIA_ID/Butt's_Way,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
32,DBPEDIA_ID/Cemetry_Road,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
33,"DBPEDIA_ID/Deer_Park,_Dunstall","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
34,"DBPEDIA_ID/Devonshire_Park_Ground,_Weston-super-Mare","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
35,DBPEDIA_ID/Goldington_Bury,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
36,DBPEDIA_ID/Heath_Road,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
37,"DBPEDIA_ID/Johnson_Park,_Yeovil","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
38,DBPEDIA_ID/Magdalen_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
39,"DBPEDIA_ID/Manor_Park,_Horsford","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
40,DBPEDIA_ID/Manor_Sports_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
41,DBPEDIA_ID/Michelin_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
42,DBPEDIA_ID/Peverell_Park,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
43,DBPEDIA_ID/Richmond_Drive,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
44,"DBPEDIA_ID/Shrewsbury_Road,_Shifnal","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
45,DBPEDIA_ID/St_George's_Cricket_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
46,DBPEDIA_ID/Stowe_Lane,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
47,"DBPEDIA_ID/The_Park,_Brockhampton","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
48,"DBPEDIA_ID/The_Parks,_Godmanchester","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
49,"DBPEDIA_ID/Tor_Leisure_Ground,_Glastonbury","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
50,"DBPEDIA_ID/Victory_Ground,_Bury_St_Edmunds","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
51,DBPEDIA_ID/W._H._Laverton's_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
52,DBPEDIA_ID/Wamil_Way,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
53,DBPEDIA_ID/Wolverhampton_Cricket_Club_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
54,"DBPEDIA_ID/New_Ground,_Norwich","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
55,DBPEDIA_ID/Parr_and_Wisden's_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
56,DBPEDIA_ID/Bank_of_England_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
57,DBPEDIA_ID/Dandelion_Paddock,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
58,DBPEDIA_ID/New_College_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
59,"DBPEDIA_ID/University_Ground,_Barnwell","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
60,"DBPEDIA_ID/Lichfield_Road,_Stone","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
61,"DBPEDIA_ID/London_Road,_Sleaford","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
62,DBPEDIA_ID/Garrison_1_Cricket_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
63,DBPEDIA_ID/Morda_Road,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
64,DBPEDIA_ID/Ferham_Park,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
65,"DBPEDIA_ID/The_Recreation_Ground,_Kington","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
66,"DBPEDIA_ID/Rowdens_Road_Cricket_Ground,_Wells","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
67,DBPEDIA_ID/Steetley_Company_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
68,"DBPEDIA_ID/Ironmould_Lane,_Bristol","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
69,"DBPEDIA_ID/Agricultural_Showgrounds,_Frome","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
70,DBPEDIA_ID/Meir_Heath_Cricket_Club,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
71,DBPEDIA_ID/Old_London_Road,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
72,"DBPEDIA_ID/Racecourse_Ground,_Swaffham","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
73,DBPEDIA_ID/Ransomes_and_Reavell_Sports_Club_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
74,"DBPEDIA_ID/Bury_Hill,_Arundel","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
75,"DBPEDIA_ID/County_Cricket_Ground,_Chelmsford","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
76,DBPEDIA_ID/Fitz_Park,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
77,DBPEDIA_ID/Kelham_Road,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
78,DBPEDIA_ID/Clifton_Park_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
79,DBPEDIA_ID/Hurst_Park_Club_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
80,DBPEDIA_ID/Kirkby_Road,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
81,DBPEDIA_ID/Derby_Road_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
82,DBPEDIA_ID/Abbeydale_Park__England-cricket-ground-stub__1,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
83,DBPEDIA_ID/Mount_Field_(cricket_ground),"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
84,DBPEDIA_ID/Repton_School_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
85,DBPEDIA_ID/Tean_Road_Sports_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
86,"DBPEDIA_ID/Town_Ground,_Peterborough","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
87,"DBPEDIA_ID/Town_Ground,_Rushden","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
88,"DBPEDIA_ID/Town_Ground,_Worksop","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
89,DBPEDIA_ID/Itchin_Stoke_Down,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
90,DBPEDIA_ID/Prince's_Cricket_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
91,DBPEDIA_ID/Windmill_Down,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
92,DBPEDIA_ID/Acklam_Park,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
93,DBPEDIA_ID/Great_Horton_Road_(Cricket_Ground),"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
94,DBPEDIA_ID/Shaw_Lane_(cricket_ground),"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
95,DBPEDIA_ID/Town_Cricket_Club_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
