,entity,classes
0,DBPEDIA_ID/American_Twenty20_Championship,"Organisation,SportsLeague,Agent,CricketLeague"
1,DBPEDIA_ID/State_League,"Organisation,SportsLeague,Agent,CricketLeague"
2,DBPEDIA_ID/Greek_Men's_Cricket_Championship,"Organisation,SportsLeague,Agent,CricketLeague"
3,DBPEDIA_ID/Caloundra_RSL_Cup_(cricket),"Organisation,SportsLeague,Agent,CricketLeague"
4,DBPEDIA_ID/American_Premier_League,"Organisation,SportsLeague,Agent,CricketLeague"
5,DBPEDIA_ID/Pro_Cricket,"Organisation,SportsLeague,Agent,CricketLeague"
6,DBPEDIA_ID/Bangladesh_Premier_League,"Organisation,SportsLeague,Agent,CricketLeague"
7,DBPEDIA_ID/Major_League_Cricket,"Organisation,SportsLeague,Agent,CricketLeague"
8,DBPEDIA_ID/Belize_National_Cricket_Association,"Organisation,SportsLeague,Agent,CricketLeague"
9,DBPEDIA_ID/Indian_Cricket_League,"Organisation,SportsLeague,Agent,CricketLeague"
