,entity,classes
0,DBPEDIA_ID/Al_Capone,"Person,Criminal,Agent"
1,DBPEDIA_ID/Jeffrey_Dahmer,"Person,Criminal,Agent"
2,DBPEDIA_ID/John_Walker_Lindh,"Person,Criminal,Agent"
3,DBPEDIA_ID/Mark_Whitacre,"Person,Criminal,Agent"
4,DBPEDIA_ID/Mehmet_Ali_Ağca,"Person,Criminal,Agent"
5,DBPEDIA_ID/Michael_Milken,"Person,Criminal,Agent"
6,DBPEDIA_ID/Mumia_Abu-Jamal,"Person,Criminal,Agent"
7,DBPEDIA_ID/Andrei_Chikatilo,"Person,Criminal,Agent"
8,DBPEDIA_ID/Omar_Abdel-Rahman,"Person,Criminal,Agent"
9,DBPEDIA_ID/Albert_Fish,"Person,Criminal,Agent"
10,DBPEDIA_ID/Ira_Einhorn,"Person,Criminal,Agent"
11,DBPEDIA_ID/John_Allen_Muhammad,"Person,Criminal,Murderer,Agent"
12,DBPEDIA_ID/Marc_Dutroux,"Person,Criminal,Agent"
13,DBPEDIA_ID/Moors_murders,"Person,Criminal,Agent"
14,DBPEDIA_ID/Ned_Kelly,"Person,Criminal,Agent"
15,DBPEDIA_ID/Robert_Stroud,"Person,Criminal,Agent"
16,DBPEDIA_ID/Ted_Bundy,"Person,Criminal,Murderer,Agent"
17,DBPEDIA_ID/Anthony_Sowell,"Person,Criminal,Agent"
18,DBPEDIA_ID/Bandali_Debs,"Person,Criminal,Agent"
19,DBPEDIA_ID/Hawley_Harvey_Crippen,"Person,Criminal,Agent"
20,DBPEDIA_ID/Hi-Fi_murders,"Person,Criminal,Agent"
21,DBPEDIA_ID/Michael_Peterson_(murder_suspect),"Person,Criminal,Agent"
22,DBPEDIA_ID/Robert_Brady_(criminal),"Person,Criminal,Agent"
23,DBPEDIA_ID/2010_Pentagon_shooting,"Person,Criminal,Agent"
24,"DBPEDIA_ID/Andal_Ampatuan,_Jr.","Person,Criminal,Agent"
25,DBPEDIA_ID/Aslan_Usoyan,"Person,Criminal,Agent"
26,DBPEDIA_ID/Barlow_and_Chambers_execution,"Person,Criminal,Agent"
27,DBPEDIA_ID/Brittany_Holberg,"Person,Criminal,Agent"
28,DBPEDIA_ID/Calisto_Tanzi,"Person,Criminal,Agent"
29,DBPEDIA_ID/Campo_Elías_Delgado,"Person,Criminal,Murderer,Agent"
30,DBPEDIA_ID/Carol_M._Bundy,"Person,Criminal,Agent"
