,entity,classes
0,Branchiopoda,"Crustacean,Eukaryote,Species,Animal"
1,Sacculina,"Crustacean,Eukaryote,Species,Animal"
2,DBPEDIA_ID/Acartia_simplex,"Crustacean,Eukaryote,Species,Animal"
3,Asconiscus,"Crustacean,Eukaryote,Species,Animal"
4,DBPEDIA_ID/Branchinella_simplex,"Crustacean,Eukaryote,Species,Animal"
5,DBPEDIA_ID/Dungeness_crab,"Crustacean,Eukaryote,Species,Animal"
6,DBPEDIA_ID/Leucosia_(genus),"Crustacean,Eukaryote,Species,Animal"
7,Ovatis,"Crustacean,Eukaryote,Species,Animal"
8,DBPEDIA_ID/Paradiaptomus_simplex,"Crustacean,Eukaryote,Species,Animal"
9,Tropodiaptomus,"Crustacean,Eukaryote,Species,Animal"
10,DBPEDIA_ID/Whale_barnacle,"Crustacean,Eukaryote,Species,Animal"
11,Amphipoda,"Crustacean,Eukaryote,Species,Animal"
12,Calanus,"Crustacean,Eukaryote,Species,Animal"
13,DBPEDIA_ID/Coenobita_perlatus,"Crustacean,Eukaryote,Species,Animal"
14,Crustacean,"Crustacean,Eukaryote,Species,Animal"
15,Achelata,"Crustacean,Eukaryote,Species,Animal"
16,DBPEDIA_ID/Afrocyclops_gibsoni,"Crustacean,Eukaryote,Species,Animal"
17,DBPEDIA_ID/Atya_scabra,"Crustacean,Eukaryote,Species,Animal"
18,Campylonotoidea,"Crustacean,Eukaryote,Species,Animal"
19,DBPEDIA_ID/Dyspanopeus_texanus,"Crustacean,Eukaryote,Species,Animal"
20,Glyptoxanthus,"Crustacean,Eukaryote,Species,Animal"
21,DBPEDIA_ID/Gnorimosphaeroma_oregonensis,"Crustacean,Eukaryote,Species,Animal"
22,Asellus,"Crustacean,Eukaryote,Species,Animal"
23,DBPEDIA_ID/Hyalella_azteca,"Crustacean,Eukaryote,Species,Animal"
24,DBPEDIA_ID/Iphimedia_(amphipod),"Crustacean,Eukaryote,Species,Animal"
25,Muscocyclops,"Crustacean,Eukaryote,Species,Animal"
26,DBPEDIA_ID/Naxia_tumida,"Crustacean,Eukaryote,Species,Animal"
27,DBPEDIA_ID/Neocyprideis_timorensis,"Crustacean,Eukaryote,Species,Animal"
28,Osachila,"Crustacean,Eukaryote,Species,Animal"
29,Palibacus,"Crustacean,Eukaryote,Species,Animal"
30,Pectocaris,"Crustacean,Eukaryote,Species,Animal"
31,Phreatoicidea,"Crustacean,Eukaryote,Species,Animal"
32,Placetron,"Crustacean,Eukaryote,Species,Animal"
33,Porcellionides,"Crustacean,Eukaryote,Species,Animal"
34,Progeryonidae,"Crustacean,Eukaryote,Species,Animal"
35,Dairoidea,"Crustacean,Eukaryote,Species,Animal"
36,Streptocephalus,"Crustacean,Eukaryote,Species,Animal"
37,DBPEDIA_ID/Trachelipus_rathkii,"Crustacean,Eukaryote,Species,Animal"
38,Tucca,"Crustacean,Eukaryote,Species,Animal"
39,DBPEDIA_ID/Furry_lobster,"Crustacean,Eukaryote,Species,Animal"
40,DBPEDIA_ID/Slipper_lobster,"Crustacean,Eukaryote,Species,Animal"
41,Diaptomus,"Crustacean,Eukaryote,Species,Animal"
42,Eusiridae,"Crustacean,Eukaryote,Species,Animal"
43,Mictyris,"Crustacean,Eukaryote,Species,Animal"
44,Portunidae,"Crustacean,Eukaryote,Species,Animal"
45,Allopetrolisthes,"Crustacean,Eukaryote,Species,Animal"
46,Cyprididae,"Crustacean,Eukaryote,Species,Animal"
47,Heliodiaptomus,"Crustacean,Eukaryote,Species,Animal"
48,DBPEDIA_ID/Kentucky_cave_shrimp,"Crustacean,Eukaryote,Species,Animal"
