,entity,classes
0,Kohlrabi,"Plant,Eukaryote,Species,CultivatedVariety"
1,DBPEDIA_ID/McIntosh_(apple),"Plant,Eukaryote,Species,CultivatedVariety"
2,Cauliflower,"Plant,Eukaryote,Species,CultivatedVariety"
3,Kimjongilia,"Plant,Eukaryote,Species,CultivatedVariety"
4,DBPEDIA_ID/Billbergia_'Selby',"Plant,Eukaryote,Species,CultivatedVariety"
5,DBPEDIA_ID/Home_Guard_(potato),"Plant,Eukaryote,Species,CultivatedVariety"
6,DBPEDIA_ID/Buddleja_davidii_'Black_Knight',"Plant,Eukaryote,Species,CultivatedVariety"
7,DBPEDIA_ID/Golden_Delicious,"Plant,Eukaryote,Species,CultivatedVariety"
8,DBPEDIA_ID/Goldfinger_banana,"Plant,Eukaryote,Species,CultivatedVariety"
9,DBPEDIA_ID/Granny_Smith,"Plant,Eukaryote,Species,CultivatedVariety"
10,DBPEDIA_ID/Guzmania_'Carine',"Plant,Eukaryote,Species,CultivatedVariety"
11,DBPEDIA_ID/Hami_melon,"Plant,Eukaryote,Species,CultivatedVariety"
12,DBPEDIA_ID/King_Edward_potato,"Plant,Eukaryote,Species,CultivatedVariety"
13,DBPEDIA_ID/Mizen_potato,"Plant,Eukaryote,Species,CultivatedVariety"
14,DBPEDIA_ID/Red_Delicious,"Plant,Eukaryote,Species,CultivatedVariety"
15,DBPEDIA_ID/Rosa_Royal_William,"Plant,Eukaryote,Species,CultivatedVariety"
16,DBPEDIA_ID/Serrano_pepper,"Plant,Eukaryote,Species,CultivatedVariety"
17,DBPEDIA_ID/Telstar_(apple),"Plant,Eukaryote,Species,CultivatedVariety"
18,DBPEDIA_ID/Tillandsia_'Bingo',"Plant,Eukaryote,Species,CultivatedVariety"
19,DBPEDIA_ID/Tillandsia_'Royale',"Plant,Eukaryote,Species,CultivatedVariety"
20,DBPEDIA_ID/Ulmus_'Clusius',"Plant,Eukaryote,Species,CultivatedVariety"
21,DBPEDIA_ID/Ulmus_glabra_'Flava',"Plant,Eukaryote,Species,CultivatedVariety"
22,DBPEDIA_ID/Ulmus_×_hollandica_'Belgica',"Plant,Eukaryote,Species,CultivatedVariety"
23,DBPEDIA_ID/Victoria_plum,"Plant,Eukaryote,Species,CultivatedVariety"
24,DBPEDIA_ID/Vriesea_'Goblin',"Plant,Eukaryote,Species,CultivatedVariety"
25,DBPEDIA_ID/Rosa_Iceberg,"Plant,Eukaryote,Species,CultivatedVariety"
26,DBPEDIA_ID/Acer_campestre_'William_Caldwell',"Plant,Eukaryote,Species,CultivatedVariety"
27,DBPEDIA_ID/Aechmea_'By_Golly',"Plant,Eukaryote,Species,CultivatedVariety"
28,DBPEDIA_ID/Ben_Davis_(apple),"Plant,Eukaryote,Species,CultivatedVariety"
29,DBPEDIA_ID/Bok_choy,"Plant,Eukaryote,Species,CultivatedVariety"
30,DBPEDIA_ID/Neoregelia_'Natalee_Marie',"Plant,Eukaryote,Species,CultivatedVariety"
31,DBPEDIA_ID/Tabasco_pepper,"Plant,Eukaryote,Species,CultivatedVariety"
32,DBPEDIA_ID/Ulmus_'Australis',"Plant,Eukaryote,Species,CultivatedVariety"
33,DBPEDIA_ID/Ulmus_'Nanguen'_=_Lutece,"Plant,Eukaryote,Species,CultivatedVariety"
34,DBPEDIA_ID/Ulmus_'Pyramidalis',"Plant,Eukaryote,Species,CultivatedVariety"
35,DBPEDIA_ID/White_Widow_(cannabis),"Plant,Eukaryote,Species,CultivatedVariety"
36,DBPEDIA_ID/Buddleja_'Hotblackiana',"Plant,Eukaryote,Species,CultivatedVariety"
37,DBPEDIA_ID/Buddleja_'Mayford_Purple',"Plant,Eukaryote,Species,CultivatedVariety"
38,DBPEDIA_ID/Buddleja_davidii_'Les_Kneale',"Plant,Eukaryote,Species,CultivatedVariety"
39,DBPEDIA_ID/Buddleja_davidii_'Lilac_Blue',"Plant,Eukaryote,Species,CultivatedVariety"
40,DBPEDIA_ID/Buddleja_davidii_'Peakeep'_=_Peacock,"Plant,Eukaryote,Species,CultivatedVariety"
41,DBPEDIA_ID/Buddleja_davidii_'Pink_Pearl',"Plant,Eukaryote,Species,CultivatedVariety"
42,DBPEDIA_ID/Billbergia_'Penumbra',"Plant,Eukaryote,Species,CultivatedVariety"
43,DBPEDIA_ID/Latundan_banana,"Plant,Eukaryote,Species,CultivatedVariety"
44,DBPEDIA_ID/Osmin_purple_basil,"Plant,Eukaryote,Species,CultivatedVariety"
45,DBPEDIA_ID/Tillandsia_'Pixie',"Plant,Eukaryote,Species,CultivatedVariety"
