,entity,classes
0,DBPEDIA_ID/Peja_Lindholm,"Curler,Athlete,WinterSportPlayer,Agent,Person"
1,DBPEDIA_ID/Bill_Grant_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
2,DBPEDIA_ID/Imogen_Oona_Lehmann,"Curler,Athlete,WinterSportPlayer,Agent,Person"
3,DBPEDIA_ID/Jean-Michel_Ménard,"Curler,Athlete,WinterSportPlayer,Agent,Person"
4,DBPEDIA_ID/John_Bryden_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
5,DBPEDIA_ID/Scott_Bailey_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
6,DBPEDIA_ID/Allison_Pottinger,"Curler,Athlete,WinterSportPlayer,Agent,Person"
7,DBPEDIA_ID/Anna_Sidorova,"Curler,Athlete,WinterSportPlayer,Agent,Person"
8,DBPEDIA_ID/Collin_Mitchell,"Curler,Athlete,WinterSportPlayer,Agent,Person"
9,DBPEDIA_ID/Dilşat_Yıldız,"Curler,Athlete,WinterSportPlayer,Agent,Person"
10,DBPEDIA_ID/Evgeny_Arkhipov,"Curler,Athlete,WinterSportPlayer,Agent,Person"
11,DBPEDIA_ID/Jamie_Korab,"Curler,Athlete,WinterSportPlayer,Agent,Person"
12,DBPEDIA_ID/Jennifer_Jones_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
13,DBPEDIA_ID/Johnny_Frederiksen,"Curler,Athlete,WinterSportPlayer,Agent,Person"
14,DBPEDIA_ID/Mari_Motohashi,"Curler,Athlete,WinterSportPlayer,Agent,Person"
15,DBPEDIA_ID/Marika_Bakewell,"Curler,Athlete,WinterSportPlayer,Agent,Person"
16,DBPEDIA_ID/Courtney_George,"Curler,Athlete,WinterSportPlayer,Agent,Person"
17,DBPEDIA_ID/Kari_Lavoie,"Curler,Athlete,WinterSportPlayer,Agent,Person"
18,DBPEDIA_ID/Bronwen_Webster,"Curler,Athlete,WinterSportPlayer,Agent,Person"
19,DBPEDIA_ID/Kim_Eun-jung_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
20,DBPEDIA_ID/Linc_Johnson,"Curler,Athlete,WinterSportPlayer,Agent,Person"
21,DBPEDIA_ID/Michael_Riley_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
22,DBPEDIA_ID/Corinna_Scholz,"Curler,Athlete,WinterSportPlayer,Agent,Person"
23,DBPEDIA_ID/Rod_Hunter,"Curler,Athlete,WinterSportPlayer,Agent,Person"
24,DBPEDIA_ID/Erin_Carmody,"Curler,Athlete,WinterSportPlayer,Agent,Person"
25,DBPEDIA_ID/Margarita_Fomina,"Curler,Athlete,WinterSportPlayer,Agent,Person"
26,DBPEDIA_ID/Ron_Northcott,"Curler,Athlete,WinterSportPlayer,Agent,Person"
27,DBPEDIA_ID/Scott_Patterson_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
28,DBPEDIA_ID/Silvana_Tirinzoni,"Curler,Athlete,WinterSportPlayer,Agent,Person"
29,DBPEDIA_ID/Chris_Schille,"Curler,Athlete,WinterSportPlayer,Agent,Person"
30,DBPEDIA_ID/Rick_Lang,"Curler,Athlete,WinterSportPlayer,Agent,Person"
31,DBPEDIA_ID/Teejay_Haichert,"Curler,Athlete,WinterSportPlayer,Agent,Person"
32,DBPEDIA_ID/Andrew_McLaren_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
33,DBPEDIA_ID/Brent_Pierce,"Curler,Athlete,WinterSportPlayer,Agent,Person"
34,DBPEDIA_ID/Marie-France_Larouche,"Curler,Athlete,WinterSportPlayer,Agent,Person"
35,DBPEDIA_ID/Sandro_Trolliet,"Curler,Athlete,WinterSportPlayer,Agent,Person"
36,DBPEDIA_ID/Andrea_Crawford,"Curler,Athlete,WinterSportPlayer,Agent,Person"
37,DBPEDIA_ID/Janet_Harvey,"Curler,Athlete,WinterSportPlayer,Agent,Person"
38,DBPEDIA_ID/Jill_Officer,"Curler,Athlete,WinterSportPlayer,Agent,Person"
39,DBPEDIA_ID/Ève_Bélisle,"Curler,Athlete,WinterSportPlayer,Agent,Person"
40,DBPEDIA_ID/Arne_Stern,"Curler,Athlete,WinterSportPlayer,Agent,Person"
41,DBPEDIA_ID/Ivana_Bratic,"Curler,Athlete,WinterSportPlayer,Agent,Person"
42,DBPEDIA_ID/Rainer_Schöpp,"Curler,Athlete,WinterSportPlayer,Agent,Person"
43,DBPEDIA_ID/Valentin_Tanner,"Curler,Athlete,WinterSportPlayer,Agent,Person"
44,DBPEDIA_ID/Anna_Sloan,"Curler,Athlete,WinterSportPlayer,Agent,Person"
45,DBPEDIA_ID/Diana_Gaspari,"Curler,Athlete,WinterSportPlayer,Agent,Person"
46,DBPEDIA_ID/Sarah_Reid_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
47,DBPEDIA_ID/Tracy_Fleury,"Curler,Athlete,WinterSportPlayer,Agent,Person"
48,DBPEDIA_ID/Alican_Karataş,"Curler,Athlete,WinterSportPlayer,Agent,Person"
49,DBPEDIA_ID/Carter_Rycroft,"Curler,Athlete,WinterSportPlayer,Agent,Person"
50,DBPEDIA_ID/Matt_Hamilton_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
51,DBPEDIA_ID/Mikkel_Poulsen,"Curler,Athlete,WinterSportPlayer,Agent,Person"
52,DBPEDIA_ID/Sean_Beighton,"Curler,Athlete,WinterSportPlayer,Agent,Person"
53,DBPEDIA_ID/Ken_Watson,"Curler,Athlete,WinterSportPlayer,Agent,Person"
54,DBPEDIA_ID/Kerry_Burtnyk,"Curler,Athlete,WinterSportPlayer,Agent,Person"
55,DBPEDIA_ID/Joe_Polo,"Curler,Athlete,WinterSportPlayer,Agent,Person"
56,DBPEDIA_ID/Alexandra_Raeva,"Curler,Athlete,WinterSportPlayer,Agent,Person"
57,DBPEDIA_ID/Emma_Miskew,"Curler,Athlete,WinterSportPlayer,Agent,Person"
58,DBPEDIA_ID/Frank_Crealock,"Curler,Athlete,WinterSportPlayer,Agent,Person"
59,DBPEDIA_ID/Janne_Pitko,"Curler,Athlete,WinterSportPlayer,Agent,Person"
60,DBPEDIA_ID/Tom_Yuill,"Curler,Athlete,WinterSportPlayer,Agent,Person"
61,DBPEDIA_ID/Dace_Munča,"Curler,Athlete,WinterSportPlayer,Agent,Person"
62,DBPEDIA_ID/Lene_Nielsen,"Curler,Athlete,WinterSportPlayer,Agent,Person"
63,DBPEDIA_ID/Sayaka_Yoshimura,"Curler,Athlete,WinterSportPlayer,Agent,Person"
64,DBPEDIA_ID/Yumie_Funayama,"Curler,Athlete,WinterSportPlayer,Agent,Person"
65,DBPEDIA_ID/Alexey_Stukalskiy,"Curler,Athlete,WinterSportPlayer,Agent,Person"
66,DBPEDIA_ID/Ann_Swisshelm,"Curler,Athlete,WinterSportPlayer,Agent,Person"
67,DBPEDIA_ID/Gustav_Larsson_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
68,DBPEDIA_ID/Jimmy_Hamilton_(curler),"Curler,Athlete,WinterSportPlayer,Agent,Person"
69,DBPEDIA_ID/Kristie_Moore,"Curler,Athlete,WinterSportPlayer,Agent,Person"
70,DBPEDIA_ID/Matt_Baldwin,"Curler,Athlete,WinterSportPlayer,Agent,Person"
71,DBPEDIA_ID/Nadine_Lehmann,"Curler,Athlete,WinterSportPlayer,Agent,Person"
72,DBPEDIA_ID/Terry_Odishaw,"Curler,Athlete,WinterSportPlayer,Agent,Person"
73,DBPEDIA_ID/Bruce_Lohnes,"Curler,Athlete,WinterSportPlayer,Agent,Person"
74,DBPEDIA_ID/Don_Bartlett,"Curler,Athlete,WinterSportPlayer,Agent,Person"
75,DBPEDIA_ID/Jon_Mead,"Curler,Athlete,WinterSportPlayer,Agent,Person"
76,DBPEDIA_ID/Markku_Uusipaavalniemi,"Curler,Athlete,WinterSportPlayer,Agent,Person"
77,DBPEDIA_ID/Sandra_Jenkins,"Curler,Athlete,WinterSportPlayer,Agent,Person"
78,DBPEDIA_ID/Kim_Kelly,"Curler,Athlete,WinterSportPlayer,Agent,Person"
79,DBPEDIA_ID/Warwick_Smith,"Curler,Athlete,WinterSportPlayer,Agent,Person"
80,DBPEDIA_ID/Ewan_MacDonald,"Curler,Athlete,WinterSportPlayer,Agent,Person"
81,DBPEDIA_ID/Simon_Strübin,"Curler,Athlete,WinterSportPlayer,Agent,Person"
82,DBPEDIA_ID/Allison_Flaxey,"Curler,Athlete,WinterSportPlayer,Agent,Person"
83,DBPEDIA_ID/Bud_McCartney,"Curler,Athlete,WinterSportPlayer,Agent,Person"
84,DBPEDIA_ID/Dorthe_Holm,"Curler,Athlete,WinterSportPlayer,Agent,Person"
85,DBPEDIA_ID/John_Jahr,"Curler,Athlete,WinterSportPlayer,Agent,Person"
86,DBPEDIA_ID/Martin_Snítil,"Curler,Athlete,WinterSportPlayer,Agent,Person"
87,DBPEDIA_ID/Megan_Cormier,"Curler,Athlete,WinterSportPlayer,Agent,Person"
88,DBPEDIA_ID/Danielle_Parsons,"Curler,Athlete,WinterSportPlayer,Agent,Person"
89,DBPEDIA_ID/Greg_McAulay,"Curler,Athlete,WinterSportPlayer,Agent,Person"
90,DBPEDIA_ID/Harry_Monk,"Curler,Athlete,WinterSportPlayer,Agent,Person"
91,DBPEDIA_ID/Jakub_Bareš,"Curler,Athlete,WinterSportPlayer,Agent,Person"
92,DBPEDIA_ID/Kim_Ji-sun,"Curler,Athlete,WinterSportPlayer,Agent,Person"
93,DBPEDIA_ID/Sam_Penwarden,"Curler,Athlete,WinterSportPlayer,Agent,Person"
94,DBPEDIA_ID/Tom_Brewster,"Curler,Athlete,WinterSportPlayer,Agent,Person"
95,DBPEDIA_ID/Braeden_Moskowy,"Curler,Athlete,WinterSportPlayer,Agent,Person"
96,DBPEDIA_ID/Christine_Urech,"Curler,Athlete,WinterSportPlayer,Agent,Person"
97,DBPEDIA_ID/Fredrik_Lindberg,"Curler,Athlete,WinterSportPlayer,Agent,Person"
98,DBPEDIA_ID/Julie_Hastings,"Curler,Athlete,WinterSportPlayer,Agent,Person"
99,DBPEDIA_ID/Eigil_Ramsfjell,"Curler,Athlete,WinterSportPlayer,Agent,Person"
100,DBPEDIA_ID/Kirsten_Wall,"Curler,Athlete,WinterSportPlayer,Agent,Person"
101,DBPEDIA_ID/Laine_Peters,"Curler,Athlete,WinterSportPlayer,Agent,Person"
102,DBPEDIA_ID/Shawn_Rojeski,"Curler,Athlete,WinterSportPlayer,Agent,Person"
103,DBPEDIA_ID/Sadi_Celil_Cengiz,"Curler,Athlete,WinterSportPlayer,Agent,Person"
104,DBPEDIA_ID/Patti_Lank,"Curler,Athlete,WinterSportPlayer,Agent,Person"
105,DBPEDIA_ID/Sherri_Singler,"Curler,Athlete,WinterSportPlayer,Agent,Person"
