,entity,classes
0,DBPEDIA_ID/East_Caribbean_dollar,Currency
1,Euro,Currency
2,DBPEDIA_ID/European_Currency_Unit,Currency
3,DBPEDIA_ID/Finnish_markka,Currency
4,DBPEDIA_ID/Greek_drachma,Currency
5,DBPEDIA_ID/Ithaca_Hours,Currency
6,DBPEDIA_ID/Swedish_krona,Currency
7,DBPEDIA_ID/Icelandic_króna,Currency
8,DBPEDIA_ID/Mexican_peso,Currency
9,DBPEDIA_ID/New_Zealand_dollar,Currency
10,DBPEDIA_ID/Old_Taiwan_dollar,Currency
11,DBPEDIA_ID/Eritrean_nakfa,Currency
12,DBPEDIA_ID/Latvian_lats,Currency
13,DBPEDIA_ID/Saint_Helena_pound,Currency
14,DBPEDIA_ID/Texas_dollar,Currency
15,DBPEDIA_ID/Zimbabwean_dollar,Currency
16,DBPEDIA_ID/Dash_(cryptocurrency),Currency
17,DBPEDIA_ID/Sierra_Leonean_leone,Currency
18,DBPEDIA_ID/Two_Sicilies_ducat,Currency
19,DBPEDIA_ID/Brunei_dollar,Currency
20,Franga,Currency
21,DBPEDIA_ID/TEM_(currency),Currency
22,DBPEDIA_ID/Peruvian_inti,Currency
23,DBPEDIA_ID/Billon_standard,Currency
24,DBPEDIA_ID/Congolese_franc,Currency
25,DBPEDIA_ID/Disney_dollar,Currency
26,DBPEDIA_ID/Latvian_rublis,Currency
27,DBPEDIA_ID/Malagasy_ariary,Currency
28,DBPEDIA_ID/Somaliland_shilling,Currency
29,DBPEDIA_ID/Transnistrian_ruble,Currency
30,DBPEDIA_ID/Ukrainian_karbovanets,Currency
31,DBPEDIA_ID/Uzbekistani_som,Currency
32,DBPEDIA_ID/Vanuatu_vatu,Currency
33,DBPEDIA_ID/Caribbean_guilder,Currency
34,Zerocoin,Currency
35,Primecoin,Currency
36,Titcoin,Currency
37,DBPEDIA_ID/South_Vietnamese_đồng,Currency
38,DBPEDIA_ID/Austrian_krone,Currency
39,DBPEDIA_ID/Nintendo_Points,Currency
40,DBPEDIA_ID/Angolan_kwanza,Currency
41,DBPEDIA_ID/Tuvan_akşa,Currency
42,DBPEDIA_ID/Macedonian_denar,Currency
43,DBPEDIA_ID/Venezuelan_bolívar,Currency
44,DBPEDIA_ID/Nepalese_rupee,Currency
45,DBPEDIA_ID/Singapore_dollar,Currency
46,DBPEDIA_ID/Belize_dollar,Currency
47,DBPEDIA_ID/Indian_rupee,Currency
48,DBPEDIA_ID/Maldivian_rufiyaa,Currency
49,DBPEDIA_ID/Surinamese_dollar,Currency
50,DBPEDIA_ID/Syrian_pound,Currency
51,DBPEDIA_ID/Cuban_peso,Currency
52,DBPEDIA_ID/Moroccan_dirham,Currency
53,DBPEDIA_ID/Malawian_pound,Currency
54,DBPEDIA_ID/South_Yemeni_dinar,Currency
55,Emercoin,Currency
56,DBPEDIA_ID/Exeter_Pound,Currency
57,NuBits,Currency
58,DBPEDIA_ID/Czechoslovak_koruna,Currency
59,DBPEDIA_ID/Macanese_pataca,Currency
60,DBPEDIA_ID/Pakistani_rupee,Currency
61,DBPEDIA_ID/Unidad_de_Fomento,Currency
62,DBPEDIA_ID/Uruguayan_peso,Currency
63,DBPEDIA_ID/Argentine_peso_argentino,Currency
64,DBPEDIA_ID/Japanese_government-issued_Philippine_peso,Currency
65,DBPEDIA_ID/Saxon_thaler,Currency
66,BerkShares,Currency
67,DBPEDIA_ID/Bosnia_and_Herzegovina_dinar,Currency
68,DBPEDIA_ID/Nigerian_pound,Currency
69,DBPEDIA_ID/Zambian_pound,Currency
70,DBPEDIA_ID/Pitcairn_Islands_dollar,Currency
71,DBPEDIA_ID/New_Belarusian_ruble,Currency
72,DBPEDIA_ID/Azerbaijani_manat,Currency
73,DBPEDIA_ID/Moldovan_leu,Currency
74,DBPEDIA_ID/Pound_sterling,Currency
75,DBPEDIA_ID/Romanian_leu,Currency
76,DBPEDIA_ID/Sri_Lankan_rupee,Currency
77,DBPEDIA_ID/Turkmenistan_manat,Currency
78,DBPEDIA_ID/Albanian_lek,Currency
79,DBPEDIA_ID/Austro-Hungarian_gulden,Currency
