,entity,classes
0,DBPEDIA_ID/Zamia_loddigesii,"Cycad,Plant,Eukaryote,Species"
1,Lepidozamia,"Cycad,Plant,Eukaryote,Species"
2,Stangeria,"Cycad,Plant,Eukaryote,Species"
3,DBPEDIA_ID/Encephalartos_woodii,"Cycad,Plant,Eukaryote,Species"
4,DBPEDIA_ID/Cycas_sphaerica,"Cycad,Plant,Eukaryote,Species"
5,DBPEDIA_ID/Zamia_dressleri,"Cycad,Plant,Eukaryote,Species"
6,DBPEDIA_ID/Zamia_prasina,"Cycad,Plant,Eukaryote,Species"
7,DBPEDIA_ID/Encephalartos_altensteinii,"Cycad,Plant,Eukaryote,Species"
8,DBPEDIA_ID/Ceratozamia_fuscoviridis,"Cycad,Plant,Eukaryote,Species"
9,DBPEDIA_ID/Cycas_apoa,"Cycad,Plant,Eukaryote,Species"
10,DBPEDIA_ID/Cycas_debaoensis,"Cycad,Plant,Eukaryote,Species"
11,DBPEDIA_ID/Cycas_platyphylla,"Cycad,Plant,Eukaryote,Species"
12,DBPEDIA_ID/Ceratozamia_morettii,"Cycad,Plant,Eukaryote,Species"
13,DBPEDIA_ID/Cycas_beddomei,"Cycad,Plant,Eukaryote,Species"
14,DBPEDIA_ID/Cycas_taitungensis,"Cycad,Plant,Eukaryote,Species"
15,DBPEDIA_ID/Bowenia_spectabilis,"Cycad,Plant,Eukaryote,Species"
16,DBPEDIA_ID/Zamia_poeppigiana,"Cycad,Plant,Eukaryote,Species"
17,DBPEDIA_ID/Ceratozamia_alvarezii,"Cycad,Plant,Eukaryote,Species"
18,DBPEDIA_ID/Ceratozamia_mixeorum,"Cycad,Plant,Eukaryote,Species"
19,DBPEDIA_ID/Macrozamia_diplomera,"Cycad,Plant,Eukaryote,Species"
20,DBPEDIA_ID/Macrozamia_dyeri,"Cycad,Plant,Eukaryote,Species"
21,DBPEDIA_ID/Macrozamia_fearnsidei,"Cycad,Plant,Eukaryote,Species"
22,DBPEDIA_ID/Macrozamia_heteromera,"Cycad,Plant,Eukaryote,Species"
23,DBPEDIA_ID/Macrozamia_lomandroides,"Cycad,Plant,Eukaryote,Species"
24,DBPEDIA_ID/Macrozamia_plurinervia,"Cycad,Plant,Eukaryote,Species"
25,DBPEDIA_ID/Macrozamia_reducta,"Cycad,Plant,Eukaryote,Species"
