,entity,classes
0,DBPEDIA_ID/Crocodile_Trophy,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
1,DBPEDIA_ID/People's_Choice_Classic,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
2,DBPEDIA_ID/Rolling_Thunder_Cyclocross_Race,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
3,DBPEDIA_ID/Tour_Down_Under,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
4,DBPEDIA_ID/Tour_DuPont,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
5,DBPEDIA_ID/BPost_Bank_Trophy,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
6,DBPEDIA_ID/London_Nocturne,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
7,DBPEDIA_ID/Vuelta_al_Táchira,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
8,DBPEDIA_ID/Copa_da_Republica_de_Ciclismo,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
9,DBPEDIA_ID/Gran_Premio_di_Chiasso,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
10,DBPEDIA_ID/Hadsten_Grand_Prix,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
11,DBPEDIA_ID/Tour_of_Croatia,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
12,DBPEDIA_ID/Vuelta_a_Cuba,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
13,DBPEDIA_ID/Montezuma's_Revenge_(bicycle_race),"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
14,Eurométropole,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
15,DBPEDIA_ID/Lumberjack_100,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
16,DBPEDIA_ID/Shenandoah_100,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
17,DBPEDIA_ID/Gran_Premio_Bruno_Beghelli,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
18,DBPEDIA_ID/Grand_Prix_Adri_van_der_Poel,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
19,DBPEDIA_ID/Nokere_Koerse,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
