,entity,classes
0,DBPEDIA_ID/Jan_Janssen,"Cyclist,Person,Athlete,Agent"
1,DBPEDIA_ID/Eddy_Merckx,"Cyclist,Person,Athlete,Agent"
2,DBPEDIA_ID/Alan_Angus,"Cyclist,Person,Athlete,Agent"
3,DBPEDIA_ID/Angus_Edmond,"Cyclist,Person,Athlete,Agent"
4,DBPEDIA_ID/Arnaud_Gérard,"Cyclist,Person,Athlete,Agent"
5,DBPEDIA_ID/Enrico_Degano,"Cyclist,Person,Athlete,Agent"
6,DBPEDIA_ID/Enrico_Franzoi,"Cyclist,Person,Athlete,Agent"
7,DBPEDIA_ID/Enrico_Gasparotto,"Cyclist,Person,Athlete,Agent"
8,DBPEDIA_ID/Frans_Bonduel,"Cyclist,Person,Athlete,Agent"
9,DBPEDIA_ID/Gérard_Loncke,"Cyclist,Person,Athlete,Agent"
10,DBPEDIA_ID/Gérard_Saint,"Cyclist,Person,Athlete,Agent"
11,DBPEDIA_ID/Henri_Pélissier,"Cyclist,Person,Athlete,Agent"
12,DBPEDIA_ID/John_Middleton_(cyclist),"Cyclist,Person,Athlete,Agent"
13,DBPEDIA_ID/Mario_Cipollini,"Cyclist,Person,Athlete,Agent"
14,DBPEDIA_ID/Rolf_Gölz,"Cyclist,Person,Athlete,Agent"
15,DBPEDIA_ID/Adam_Myerson,"Cyclist,Person,Athlete,Agent"
16,DBPEDIA_ID/Adriano_Durante,"Cyclist,Person,Athlete,Agent"
17,DBPEDIA_ID/Alan_Foster_(BMX_rider),"Cyclist,Person,Athlete,Agent"
18,DBPEDIA_ID/Albert_White_(cyclist),"Cyclist,Person,Athlete,Agent"
19,DBPEDIA_ID/Alex_Rasmussen,"Cyclist,Person,Athlete,Agent"
20,DBPEDIA_ID/Amédée_Fournier,"Cyclist,Person,Athlete,Agent"
21,DBPEDIA_ID/Anthony_Sewell,"Cyclist,Person,Athlete,Agent"
22,DBPEDIA_ID/Antonio_Suárez,"Cyclist,Person,Athlete,Agent"
23,DBPEDIA_ID/Arie_den_Hartog,"Cyclist,Person,Athlete,Agent"
24,DBPEDIA_ID/Armin_Meier,"Cyclist,Person,Athlete,Agent"
25,DBPEDIA_ID/Axel_Merckx,"Cyclist,Person,Athlete,Agent"
26,DBPEDIA_ID/Baden_Cooke,"Cyclist,Person,Athlete,Agent"
27,DBPEDIA_ID/Benoni_Beheyt,"Cyclist,Person,Athlete,Agent"
28,DBPEDIA_ID/Camilo_Gómez,"Cyclist,Person,Athlete,Agent"
29,DBPEDIA_ID/Carlo_Westphal,"Cyclist,Person,Athlete,Agent"
30,DBPEDIA_ID/Carmine_Preziosi,"Cyclist,Person,Athlete,Agent"
31,DBPEDIA_ID/Chris_Horner,"Cyclist,Person,Athlete,Agent"
32,DBPEDIA_ID/Damian_Zieliński,"Cyclist,Person,Athlete,Agent"
33,DBPEDIA_ID/Daniele_Righi,"Cyclist,Person,Athlete,Agent"
34,DBPEDIA_ID/Daryl_Perkins,"Cyclist,Person,Athlete,Agent"
35,DBPEDIA_ID/David_George_(cyclist),"Cyclist,Person,Athlete,Agent"
36,DBPEDIA_ID/Domenic_Weinstein,"Cyclist,Person,Athlete,Agent"
37,DBPEDIA_ID/Edi_Ziegler,"Cyclist,Person,Athlete,Agent"
38,DBPEDIA_ID/Enrique_Campos,"Cyclist,Person,Athlete,Agent"
