,entity,classes
0,DBPEDIA_ID/Bob_Anderson_(darts_player),"Person,Athlete,DartsPlayer,Agent"
1,DBPEDIA_ID/Lee_Evans_(darts_player),"Person,Athlete,DartsPlayer,Agent"
2,DBPEDIA_ID/Mark_Jones_(darts_player),"Person,Athlete,DartsPlayer,Agent"
3,DBPEDIA_ID/Scott_MacKenzie_(darts_player),"Person,Athlete,DartsPlayer,Agent"
4,DBPEDIA_ID/Steve_Beaton,"Person,Athlete,DartsPlayer,Agent"
5,DBPEDIA_ID/Barrie_Bates,"Person,Athlete,DartsPlayer,Agent"
6,DBPEDIA_ID/Dennis_Smith_(darts_player),"Person,Athlete,DartsPlayer,Agent"
7,DBPEDIA_ID/John_Henderson_(darts_player),"Person,Athlete,DartsPlayer,Agent"
8,DBPEDIA_ID/John_Kramer_(darts_player),"Person,Athlete,DartsPlayer,Agent"
9,DBPEDIA_ID/Mervyn_King_(darts_player),"Person,Athlete,DartsPlayer,Agent"
10,DBPEDIA_ID/Mieke_de_Boer,"Person,Athlete,DartsPlayer,Agent"
11,DBPEDIA_ID/Owen_Thomas_(darts_player),"Person,Athlete,DartsPlayer,Agent"
12,DBPEDIA_ID/Peter_Wright_(darts_player),"Person,Athlete,DartsPlayer,Agent"
13,DBPEDIA_ID/Roger_Carter_(darts_player),"Person,Athlete,DartsPlayer,Agent"
14,DBPEDIA_ID/Ross_Smith_(darts_player),"Person,Athlete,DartsPlayer,Agent"
15,DBPEDIA_ID/Scott_Mitchell_(darts_player),"Person,Athlete,DartsPlayer,Agent"
16,DBPEDIA_ID/Shaun_Greatbatch,"Person,Athlete,DartsPlayer,Agent"
17,DBPEDIA_ID/Trevor_Nurse,"Person,Athlete,DartsPlayer,Agent"
18,DBPEDIA_ID/Andrew_Gilding,"Person,Athlete,DartsPlayer,Agent"
19,DBPEDIA_ID/Barry_Atkinson,"Person,Athlete,DartsPlayer,Agent"
20,DBPEDIA_ID/Gerald_Porter,"Person,Athlete,DartsPlayer,Agent"
21,DBPEDIA_ID/Horrie_Seden,"Person,Athlete,DartsPlayer,Agent"
22,DBPEDIA_ID/Marko_Kantele,"Person,Athlete,DartsPlayer,Agent"
23,DBPEDIA_ID/Matthew_Dicken,"Person,Athlete,DartsPlayer,Agent"
24,DBPEDIA_ID/Michel_van_der_Horst,"Person,Athlete,DartsPlayer,Agent"
25,DBPEDIA_ID/Peter_Evison,"Person,Athlete,DartsPlayer,Agent"
26,DBPEDIA_ID/Shaun_Narain,"Person,Athlete,DartsPlayer,Agent"
27,DBPEDIA_ID/Kevin_White_(darts_player),"Person,Athlete,DartsPlayer,Agent"
28,DBPEDIA_ID/Robert_MacKenzie_(darts_player),"Person,Athlete,DartsPlayer,Agent"
29,DBPEDIA_ID/Jerry_Umberger,"Person,Athlete,DartsPlayer,Agent"
30,DBPEDIA_ID/Josephus_Schenk,"Person,Athlete,DartsPlayer,Agent"
31,DBPEDIA_ID/Kari_Saukkonen,"Person,Athlete,DartsPlayer,Agent"
32,DBPEDIA_ID/Paul_Carter_(darts_player),"Person,Athlete,DartsPlayer,Agent"
33,DBPEDIA_ID/Ray_Kippari,"Person,Athlete,DartsPlayer,Agent"
34,DBPEDIA_ID/Charl_Pietersen_(darts_player),"Person,Athlete,DartsPlayer,Agent"
35,DBPEDIA_ID/Jamie_Hughes_(darts_player),"Person,Athlete,DartsPlayer,Agent"
36,DBPEDIA_ID/Sharon_Prins,"Person,Athlete,DartsPlayer,Agent"
