,entity,classes
0,Abortion,Disease
1,Abscess,Disease
2,DBPEDIA_ID/Acute_disseminated_encephalomyelitis,Disease
3,DBPEDIA_ID/Alcohol_intoxication,Disease
4,Amputation,Disease
5,Aphasia,Disease
6,DBPEDIA_ID/Arteriovenous_malformation,Disease
7,Arthritis,Disease
8,DBPEDIA_ID/Bacterial_vaginosis,Disease
9,DBPEDIA_ID/Bipolar_I_disorder,Disease
10,DBPEDIA_ID/Brain_abscess,Disease
11,Candidiasis,Disease
12,Catatonia,Disease
13,DBPEDIA_ID/Central_pontine_myelinolysis,Disease
14,DBPEDIA_ID/Cerebral_arteriovenous_malformation,Disease
15,DBPEDIA_ID/Chagas_disease,Disease
16,DBPEDIA_ID/Chlamydia_infection,Disease
17,Cholera,Disease
18,Cretinism,Disease
19,Endocarditis,Disease
20,DBPEDIA_ID/Erectile_dysfunction,Disease
21,DBPEDIA_ID/Essential_tremor,Disease
22,DBPEDIA_ID/Expressive_aphasia,Disease
23,DBPEDIA_ID/Foix–Alajouanine_syndrome,Disease
24,DBPEDIA_ID/Fugue_state,Disease
25,DBPEDIA_ID/Genetic_disorder,Disease
26,Hemiparesis,Disease
27,DBPEDIA_ID/Idiopathic_intracranial_hypertension,Disease
28,DBPEDIA_ID/Inclusion_body_myositis,Disease
29,DBPEDIA_ID/Interstitial_cystitis,Disease
30,DBPEDIA_ID/Intoxicative_inhalant,Disease
31,Kwashiorkor,Disease
32,DBPEDIA_ID/Lafora_disease,Disease
33,DBPEDIA_ID/Lambert–Eaton_myasthenic_syndrome,Disease
34,DBPEDIA_ID/Lassa_fever,Disease
35,DBPEDIA_ID/Meconium_aspiration_syndrome,Disease
36,DBPEDIA_ID/Mental_disorder,Disease
37,DBPEDIA_ID/Motor_neuron_disease,Disease
38,DBPEDIA_ID/Myasthenia_gravis,Disease
39,Neuromyotonia,Disease
40,DBPEDIA_ID/Nitrogen_narcosis,Disease
41,DBPEDIA_ID/Optic_neuritis,Disease
42,Paranoia,Disease
43,Paraphilia,Disease
44,DBPEDIA_ID/Paroxysmal_attack,Disease
45,DBPEDIA_ID/Pelvic_inflammatory_disease,Disease
46,Phobia,Disease
47,DBPEDIA_ID/Plague_(disease),Disease
48,Poliomyelitis,Disease
49,Prion,Disease
50,DBPEDIA_ID/Progressive_multifocal_leukoencephalopathy,Disease
51,Psychosis,Disease
52,DBPEDIA_ID/Ramsay_Hunt_syndrome_type_II,Disease
53,DBPEDIA_ID/Receptive_aphasia,Disease
54,DBPEDIA_ID/Repetitive_strain_injury,Disease
55,DBPEDIA_ID/Rift_Valley_fever,Disease
56,Scabies,Disease
57,Sinusitis,Disease
58,DBPEDIA_ID/Sleep_apnea,Disease
59,DBPEDIA_ID/Stevens–Johnson_syndrome,Disease
60,Stuttering,Disease
61,Syphilis,Disease
62,DBPEDIA_ID/Systemic_scleroderma,Disease
63,Asphyxia,Disease
64,DBPEDIA_ID/Neuroleptic_malignant_syndrome,Disease
65,DBPEDIA_ID/Febrile_seizure,Disease
66,Metastasis,Disease
67,DBPEDIA_ID/African_trypanosomiasis,Disease
68,DBPEDIA_ID/Back_pain,Disease
69,Bruxism,Disease
70,Dehydration,Disease
71,Delirium,Disease
72,DBPEDIA_ID/Diabetes_mellitus_type_2,Disease
73,DBPEDIA_ID/Diabetic_coma,Disease
74,Dwarfism,Disease
75,DBPEDIA_ID/General_paresis_of_the_insane,Disease
76,Hypochondriasis,Disease
77,DBPEDIA_ID/Iron_deficiency,Disease
78,DBPEDIA_ID/Jerusalem_syndrome,Disease
79,Keloid,Disease
80,Mastocytosis,Disease
81,DBPEDIA_ID/Mitochondrial_disease,Disease
82,Peritonitis,Disease
83,DBPEDIA_ID/Speech_disorder,Disease
84,Gynecomastia,Disease
85,DBPEDIA_ID/Hepatic_microvascular_dysplasia,Disease
86,DBPEDIA_ID/Hereditary_mucoepithelial_dysplasia,Disease
87,DBPEDIA_ID/Janeway_lesion,Disease
88,Mastocytoma,Disease
89,DBPEDIA_ID/Oral_allergy_syndrome,Disease
90,DBPEDIA_ID/Pulmonary_sequestration,Disease
91,DBPEDIA_ID/Schnitzler_syndrome,Disease
92,DBPEDIA_ID/Shell_shock,Disease
93,DBPEDIA_ID/Tinea_nigra,Disease
94,DBPEDIA_ID/Abderhalden–Kaufmann–Lignac_syndrome,Disease
95,DBPEDIA_ID/Acute_fatty_liver_of_pregnancy,Disease
96,DBPEDIA_ID/Alien_hand_syndrome,Disease
97,DBPEDIA_ID/Avascular_necrosis,Disease
98,DBPEDIA_ID/Bulbar_palsy,Disease
99,Burn,Disease
100,Callus,Disease
101,DBPEDIA_ID/Caplan's_syndrome,Disease
102,DBPEDIA_ID/Caput_medusae,Disease
103,DBPEDIA_ID/Cerebral_salt-wasting_syndrome,Disease
104,DBPEDIA_ID/Chronic_venous_insufficiency,Disease
105,DBPEDIA_ID/Congenital_heart_defect,Disease
106,DBPEDIA_ID/Congenital_melanocytic_nevus,Disease
107,DBPEDIA_ID/Cystic_eyeball,Disease
108,DBPEDIA_ID/Dental_fluorosis,Disease
109,DBPEDIA_ID/Discoid_lupus_erythematosus,Disease
110,DBPEDIA_ID/Drug_withdrawal,Disease
111,DBPEDIA_ID/Erb's_palsy,Disease
112,DBPEDIA_ID/Herpes_simplex,Disease
113,DBPEDIA_ID/Horner's_syndrome,Disease
114,DBPEDIA_ID/Hypertrophy_of_breast,Disease
