,entity,classes
0,Amoxicillin,"ChemicalSubstance,Drug"
1,Amphetamine,"ChemicalSubstance,Drug"
2,Ampicillin,"ChemicalSubstance,Drug"
3,Aspirin,"ChemicalSubstance,Drug"
4,DBPEDIA_ID/BCG_vaccine,"ChemicalSubstance,Drug"
5,Caffeine,"ChemicalSubstance,Drug"
6,Carbamazepine,"ChemicalSubstance,Drug"
7,Chloramphenicol,"ChemicalSubstance,Drug"
8,Ciprofloxacin,"ChemicalSubstance,Drug"
9,Cocaine,"ChemicalSubstance,Drug"
10,Dehydroepiandrosterone,"ChemicalSubstance,Drug"
11,Epinephrine,"ChemicalSubstance,Drug"
12,Erythromycin,"ChemicalSubstance,Drug"
13,Flunitrazepam,"ChemicalSubstance,Drug"
14,DBPEDIA_ID/Gamma-Hydroxybutyric_acid,"ChemicalSubstance,Drug"
15,Heroin,"ChemicalSubstance,Drug"
16,Hydrocodone,"ChemicalSubstance,Drug"
17,Ketamine,"ChemicalSubstance,Drug"
18,Ketoprofen,"ChemicalSubstance,Drug"
19,DBPEDIA_ID/Lysergic_acid_diethylamide,"ChemicalSubstance,Drug"
20,MDMA,"ChemicalSubstance,Drug"
21,Methadone,"ChemicalSubstance,Drug"
22,Modafinil,"ChemicalSubstance,Drug"
23,Morphine,"ChemicalSubstance,Drug"
24,"N,N-Dimethyltryptamine","ChemicalSubstance,Drug"
25,Oxycodone,"ChemicalSubstance,Drug"
26,Penicillin,"ChemicalSubstance,Drug"
27,Phencyclidine,"ChemicalSubstance,Drug"
28,Quinine,"ChemicalSubstance,Drug"
29,Sulfur,"ChemicalSubstance,Drug"
30,Ciclosporin,"ChemicalSubstance,Drug"
31,Atropine,"ChemicalSubstance,Drug"
32,Chlorpromazine,"ChemicalSubstance,Drug"
33,Fentanyl,"ChemicalSubstance,Drug"
34,Halothane,"ChemicalSubstance,Drug"
35,Ibuprofen,"ChemicalSubstance,Drug"
36,Methaqualone,"ChemicalSubstance,Drug"
37,Naloxone,"ChemicalSubstance,Drug"
38,Pentamidine,"ChemicalSubstance,Drug"
39,DBPEDIA_ID/Salvinorin_A,"ChemicalSubstance,Drug"
40,Sertraline,"ChemicalSubstance,Drug"
41,Tacrolimus,"ChemicalSubstance,Drug"
42,Trifluoperazine,"ChemicalSubstance,Drug"
43,Triprolidine,"ChemicalSubstance,Drug"
44,Propylthiouracil,"ChemicalSubstance,Drug"
45,SoRI-20041,"ChemicalSubstance,Drug"
46,SoRI-9409,"ChemicalSubstance,Drug"
47,DBPEDIA_ID/AS-19_(drug),"ChemicalSubstance,Drug"
48,Alprazolam,"ChemicalSubstance,Drug"
49,Cefaloglycin,"ChemicalSubstance,Drug"
50,Darunavir,"ChemicalSubstance,Drug"
51,Dibutyltryptamine,"ChemicalSubstance,Drug"
52,Doxycycline,"ChemicalSubstance,Drug"
53,Etravirine,"ChemicalSubstance,Drug"
54,Lamotrigine,"ChemicalSubstance,Drug"
55,DBPEDIA_ID/Lithium_(medication),"ChemicalSubstance,Drug"
56,DBPEDIA_ID/Octopamine_(drug),"ChemicalSubstance,Drug"
57,Oxycodone/paracetamol,"ChemicalSubstance,Drug"
58,Premarin,"ChemicalSubstance,Drug"
59,Temozolomide,"ChemicalSubstance,Drug"
60,Tretinoin,"ChemicalSubstance,Drug"
61,DBPEDIA_ID/Vecuronium_bromide,"ChemicalSubstance,Drug"
62,DBPEDIA_ID/Zoster-immune_globulin,"ChemicalSubstance,Drug"
63,FGI-104,"ChemicalSubstance,Drug"
64,Fenfluramine/phentermine,"ChemicalSubstance,Drug"
65,DBPEDIA_ID/Liquid_paraffin_(medicinal),"ChemicalSubstance,Drug"
66,Methoxphenidine,"ChemicalSubstance,Drug"
67,Pentylenetetrazol,"ChemicalSubstance,Drug"
68,Phenylbutazone,"ChemicalSubstance,Drug"
69,Spectinomycin,"ChemicalSubstance,Drug"
70,Sulfamethoxazole,"ChemicalSubstance,Drug"
71,Sulfasalazine,"ChemicalSubstance,Drug"
72,2CD-5EtO,"ChemicalSubstance,Drug"
73,3-Methylamphetamine,"ChemicalSubstance,Drug"
74,6-EAPB,"ChemicalSubstance,Drug"
75,Altretamine,"ChemicalSubstance,Drug"
76,Aselizumab,"ChemicalSubstance,Drug"
77,Befiradol,"ChemicalSubstance,Drug"
78,Benzylpenicillin,"ChemicalSubstance,Drug"
79,Bimatoprost,"ChemicalSubstance,Drug"
80,Bradanicline,"ChemicalSubstance,Drug"
81,Butallylonal,"ChemicalSubstance,Drug"
82,CB-13,"ChemicalSubstance,Drug"
83,Cefdaloxime,"ChemicalSubstance,Drug"
84,Denufosol,"ChemicalSubstance,Drug"
