,entity,classes
0,DBPEDIA_ID/1667_Dubrovnik_earthquake,"NaturalEvent,Earthquake,Event"
1,DBPEDIA_ID/1797_Riobamba_earthquake,"NaturalEvent,Earthquake,Event"
2,DBPEDIA_ID/1899_Ceram_earthquake,"NaturalEvent,Earthquake,Event"
3,DBPEDIA_ID/1947_Wisconsin_earthquake,"NaturalEvent,Earthquake,Event"
4,DBPEDIA_ID/1966_Varto_earthquake,"NaturalEvent,Earthquake,Event"
5,DBPEDIA_ID/1969_Portugal_earthquake,"NaturalEvent,Earthquake,Event"
6,DBPEDIA_ID/1970_Gediz_earthquake,"NaturalEvent,Earthquake,Event"
7,DBPEDIA_ID/1975_North_Atlantic_earthquake,"NaturalEvent,Earthquake,Event"
8,DBPEDIA_ID/1984_Northern_Sumatra_earthquake,"NaturalEvent,Earthquake,Event"
9,DBPEDIA_ID/1994_Mindoro_earthquake,"NaturalEvent,Earthquake,Event"
10,DBPEDIA_ID/1997_Chittagong_earthquake,"NaturalEvent,Earthquake,Event"
11,DBPEDIA_ID/1997_Punitaqui_earthquake,"NaturalEvent,Earthquake,Event"
12,DBPEDIA_ID/2014_Jinggu_earthquake,"NaturalEvent,Earthquake,Event"
13,DBPEDIA_ID/2008_Iceland_earthquake,"NaturalEvent,Earthquake,Event"
14,DBPEDIA_ID/2008_Yingjiang_earthquakes,"NaturalEvent,Earthquake,Event"
15,DBPEDIA_ID/2007_Mariana_Islands_earthquake,"NaturalEvent,Earthquake,Event"
16,DBPEDIA_ID/1268_Cilicia_earthquake,"NaturalEvent,Earthquake,Event"
17,DBPEDIA_ID/1356_Basel_earthquake,"NaturalEvent,Earthquake,Event"
18,DBPEDIA_ID/1902_Guatemala_earthquake,"NaturalEvent,Earthquake,Event"
19,DBPEDIA_ID/1915_Asmara_earthquake,"NaturalEvent,Earthquake,Event"
20,DBPEDIA_ID/1918_San_Fermín_earthquake,"NaturalEvent,Earthquake,Event"
21,DBPEDIA_ID/1938_Banda_Sea_earthquake,"NaturalEvent,Earthquake,Event"
22,DBPEDIA_ID/1960_Agadir_earthquake,"NaturalEvent,Earthquake,Event"
23,DBPEDIA_ID/1967_Caracas_earthquake,"NaturalEvent,Earthquake,Event"
24,DBPEDIA_ID/1976_Guatemala_earthquake,"NaturalEvent,Earthquake,Event"
25,DBPEDIA_ID/1993_Scotts_Mills_earthquake,"NaturalEvent,Earthquake,Event"
26,DBPEDIA_ID/1998_Papua_New_Guinea_earthquake,"NaturalEvent,Earthquake,Event"
27,DBPEDIA_ID/1999_İzmit_earthquake,"NaturalEvent,Earthquake,Event"
28,DBPEDIA_ID/2002_Hindu_Kush_earthquakes,"NaturalEvent,Earthquake,Event"
29,DBPEDIA_ID/2002_Molise_earthquake,"NaturalEvent,Earthquake,Event"
30,DBPEDIA_ID/2007_Iberian_Peninsula_earthquake,"NaturalEvent,Earthquake,Event"
31,DBPEDIA_ID/2007_Kuril_Islands_earthquake,"NaturalEvent,Earthquake,Event"
32,DBPEDIA_ID/2007_Solomon_Islands_earthquake,"NaturalEvent,Earthquake,Event"
33,DBPEDIA_ID/January_2001_El_Salvador_earthquake,"NaturalEvent,Earthquake,Event"
34,DBPEDIA_ID/1169_Sicily_earthquake,"NaturalEvent,Earthquake,Event"
35,DBPEDIA_ID/1222_Brescia_earthquake,"NaturalEvent,Earthquake,Event"
36,DBPEDIA_ID/1931_Southwest_Sumatra_earthquake,"NaturalEvent,Earthquake,Event"
37,DBPEDIA_ID/1953_Torud_earthquake,"NaturalEvent,Earthquake,Event"
38,DBPEDIA_ID/1993_Hokkaidō_earthquake,"NaturalEvent,Earthquake,Event"
39,DBPEDIA_ID/2010_Eureka_earthquake,"NaturalEvent,Earthquake,Event"
40,DBPEDIA_ID/2013_Lushan_earthquake,"NaturalEvent,Earthquake,Event"
41,DBPEDIA_ID/2014_Mae_Lao_earthquake,"NaturalEvent,Earthquake,Event"
42,DBPEDIA_ID/1909_Wabash_River_earthquake,"NaturalEvent,Earthquake,Event"
43,DBPEDIA_ID/April_2010_Sumatra_earthquake,"NaturalEvent,Earthquake,Event"
44,DBPEDIA_ID/October_2010_Sumatra_earthquake_and_tsunami,"NaturalEvent,Earthquake,Event"
45,DBPEDIA_ID/1802_Vrancea_earthquake,"NaturalEvent,Earthquake,Event"
46,DBPEDIA_ID/1920_Garfagnana_earthquake,"NaturalEvent,Earthquake,Event"
47,DBPEDIA_ID/1968_Hyūga-nada_earthquake,"NaturalEvent,Earthquake,Event"
48,DBPEDIA_ID/2014_Mexico–Guatemala_earthquake,"NaturalEvent,Earthquake,Event"
49,DBPEDIA_ID/1975_Haicheng_earthquake,"NaturalEvent,Earthquake,Event"
50,DBPEDIA_ID/1854_Tōkai_earthquake,"NaturalEvent,Earthquake,Event"
51,DBPEDIA_ID/1868_Hawaii_earthquake,"NaturalEvent,Earthquake,Event"
52,DBPEDIA_ID/856_Damghan_earthquake,"NaturalEvent,Earthquake,Event"
53,DBPEDIA_ID/1348_Friuli_earthquake,"NaturalEvent,Earthquake,Event"
54,DBPEDIA_ID/1679_Armenia_earthquake,"NaturalEvent,Earthquake,Event"
55,DBPEDIA_ID/1692_Jamaica_earthquake,"NaturalEvent,Earthquake,Event"
56,DBPEDIA_ID/1703_Apennine_earthquakes,"NaturalEvent,Earthquake,Event"
57,DBPEDIA_ID/1755_Cape_Ann_earthquake,"NaturalEvent,Earthquake,Event"
58,DBPEDIA_ID/1797_Sumatra_earthquake,"NaturalEvent,Earthquake,Event"
59,DBPEDIA_ID/1833_Sumatra_earthquake,"NaturalEvent,Earthquake,Event"
60,DBPEDIA_ID/1859_Shamakhi_earthquake,"NaturalEvent,Earthquake,Event"
61,DBPEDIA_ID/1896_Sanriku_earthquake,"NaturalEvent,Earthquake,Event"
62,DBPEDIA_ID/1904_Douliu_earthquake,"NaturalEvent,Earthquake,Event"
63,DBPEDIA_ID/1906_Meishan_earthquake,"NaturalEvent,Earthquake,Event"
64,DBPEDIA_ID/1911_Kebin_earthquake,"NaturalEvent,Earthquake,Event"
65,DBPEDIA_ID/1916–17_Nantou_earthquakes,"NaturalEvent,Earthquake,Event"
66,DBPEDIA_ID/1940_New_Hampshire_earthquakes,"NaturalEvent,Earthquake,Event"
67,DBPEDIA_ID/1959_Hengchun_earthquake,"NaturalEvent,Earthquake,Event"
68,DBPEDIA_ID/1975_Kinnaur_earthquake,"NaturalEvent,Earthquake,Event"
69,DBPEDIA_ID/1980_Azores_Islands_earthquake,"NaturalEvent,Earthquake,Event"
70,DBPEDIA_ID/1986_Vrancea_earthquake,"NaturalEvent,Earthquake,Event"
71,DBPEDIA_ID/1991_Kalabahi_earthquakes,"NaturalEvent,Earthquake,Event"
72,DBPEDIA_ID/1995_Antofagasta_earthquake,"NaturalEvent,Earthquake,Event"
73,DBPEDIA_ID/1995_Neftegorsk_earthquake,"NaturalEvent,Earthquake,Event"
74,DBPEDIA_ID/2003_Bingöl_earthquake,"NaturalEvent,Earthquake,Event"
75,DBPEDIA_ID/2007_Martinique_earthquake,"NaturalEvent,Earthquake,Event"
76,DBPEDIA_ID/2009_Andaman_Islands_earthquake,"NaturalEvent,Earthquake,Event"
77,DBPEDIA_ID/2009_Bhutan_earthquake,"NaturalEvent,Earthquake,Event"
78,DBPEDIA_ID/2009_Crete_earthquake,"NaturalEvent,Earthquake,Event"
79,DBPEDIA_ID/2009_Gulf_of_California_earthquake,"NaturalEvent,Earthquake,Event"
80,DBPEDIA_ID/2009_Hualien_earthquake,"NaturalEvent,Earthquake,Event"
81,DBPEDIA_ID/2009_Samoa_earthquake_and_tsunami,"NaturalEvent,Earthquake,Event"
82,DBPEDIA_ID/2009_Shizuoka_earthquake,"NaturalEvent,Earthquake,Event"
83,DBPEDIA_ID/2009_West_Java_earthquake,"NaturalEvent,Earthquake,Event"
84,DBPEDIA_ID/2010_Solomon_Islands_earthquake,"NaturalEvent,Earthquake,Event"
85,DBPEDIA_ID/226_BC_Rhodes_earthquake,"NaturalEvent,Earthquake,Event"
86,DBPEDIA_ID/464_BC_Sparta_earthquake,"NaturalEvent,Earthquake,Event"
87,DBPEDIA_ID/749_Galilee_earthquake,"NaturalEvent,Earthquake,Event"
88,DBPEDIA_ID/893_Ardabil_earthquake,"NaturalEvent,Earthquake,Event"
89,DBPEDIA_ID/October_2009_Afghanistan_earthquake,"NaturalEvent,Earthquake,Event"
90,"DBPEDIA_ID/1867_Manhattan,_Kansas_earthquake","NaturalEvent,Earthquake,Event"
91,DBPEDIA_ID/1916_Irondale_earthquake,"NaturalEvent,Earthquake,Event"
92,DBPEDIA_ID/1940_El_Centro_earthquake,"NaturalEvent,Earthquake,Event"
93,DBPEDIA_ID/1949_Ambato_earthquake,"NaturalEvent,Earthquake,Event"
94,DBPEDIA_ID/1997_Kamchatka_earthquake,"NaturalEvent,Earthquake,Event"
95,DBPEDIA_ID/2003_Dominican_Republic_earthquake,"NaturalEvent,Earthquake,Event"
96,DBPEDIA_ID/2009_Izu_Islands_earthquake,"NaturalEvent,Earthquake,Event"
97,DBPEDIA_ID/2010_Illinois_earthquake,"NaturalEvent,Earthquake,Event"
98,DBPEDIA_ID/2010_Yushu_earthquake,"NaturalEvent,Earthquake,Event"
99,DBPEDIA_ID/1303_Crete_earthquake,"NaturalEvent,Earthquake,Event"
100,DBPEDIA_ID/1481_Rhodes_earthquake,"NaturalEvent,Earthquake,Event"
101,DBPEDIA_ID/1647_Santiago_earthquake,"NaturalEvent,Earthquake,Event"
102,DBPEDIA_ID/1687_Peru_earthquake,"NaturalEvent,Earthquake,Event"
103,DBPEDIA_ID/1688_Smyrna_earthquake,"NaturalEvent,Earthquake,Event"
104,DBPEDIA_ID/1694_Irpinia–Basilicata_earthquake,"NaturalEvent,Earthquake,Event"
105,DBPEDIA_ID/1707_Hōei_earthquake,"NaturalEvent,Earthquake,Event"
106,DBPEDIA_ID/1730_Valparaíso_earthquake,"NaturalEvent,Earthquake,Event"
107,DBPEDIA_ID/1770_Port-au-Prince_earthquake,"NaturalEvent,Earthquake,Event"
108,DBPEDIA_ID/1773_Guatemala_earthquake,"NaturalEvent,Earthquake,Event"
109,DBPEDIA_ID/1810_Crete_earthquake,"NaturalEvent,Earthquake,Event"
110,DBPEDIA_ID/1835_Concepción_earthquake,"NaturalEvent,Earthquake,Event"
111,DBPEDIA_ID/1859_Erzurum_earthquake,"NaturalEvent,Earthquake,Event"
112,DBPEDIA_ID/1865_Memphis_earthquake,"NaturalEvent,Earthquake,Event"
113,DBPEDIA_ID/1868_Arica_earthquake,"NaturalEvent,Earthquake,Event"
114,DBPEDIA_ID/1881_Chios_earthquake,"NaturalEvent,Earthquake,Event"
115,DBPEDIA_ID/1887_Sonora_earthquake,"NaturalEvent,Earthquake,Event"
116,DBPEDIA_ID/1906_Ecuador–Colombia_earthquake,"NaturalEvent,Earthquake,Event"
117,DBPEDIA_ID/1907_Kingston_earthquake,"NaturalEvent,Earthquake,Event"
118,DBPEDIA_ID/1914_Burdur_earthquake,"NaturalEvent,Earthquake,Event"
119,DBPEDIA_ID/1924_Pasinler_earthquake,"NaturalEvent,Earthquake,Event"
120,DBPEDIA_ID/1926_Kars_earthquake,"NaturalEvent,Earthquake,Event"
121,DBPEDIA_ID/1927_Gulang_earthquake,"NaturalEvent,Earthquake,Event"
122,DBPEDIA_ID/1927_Jericho_earthquake,"NaturalEvent,Earthquake,Event"
123,DBPEDIA_ID/1929_Murchison_earthquake,"NaturalEvent,Earthquake,Event"
124,DBPEDIA_ID/1932_Ierissos_earthquake,"NaturalEvent,Earthquake,Event"
125,DBPEDIA_ID/1935_Erdek–Marmara_Islands_earthquake,"NaturalEvent,Earthquake,Event"
126,DBPEDIA_ID/1941_Van–Erciş_earthquake,"NaturalEvent,Earthquake,Event"
127,DBPEDIA_ID/1942_Niksar–Erbaa_earthquake,"NaturalEvent,Earthquake,Event"
128,DBPEDIA_ID/1943_Adapazarı–Hendek_earthquake,"NaturalEvent,Earthquake,Event"
129,DBPEDIA_ID/1943_Tosya–Ladik_earthquake,"NaturalEvent,Earthquake,Event"
130,DBPEDIA_ID/1946_Varto–Hınıs_earthquake,"NaturalEvent,Earthquake,Event"
131,DBPEDIA_ID/1949_Karlıova_earthquake,"NaturalEvent,Earthquake,Event"
132,DBPEDIA_ID/1949_Khait_earthquake,"NaturalEvent,Earthquake,Event"
133,DBPEDIA_ID/1957_Abant_earthquake,"NaturalEvent,Earthquake,Event"
