,entity,classes
0,DBPEDIA_ID/Richard_E._Wagner,"Person,Economist,Agent"
1,DBPEDIA_ID/Carl_Menger,"Person,Economist,Agent"
2,DBPEDIA_ID/David_D._Friedman,"Person,Economist,Agent"
3,DBPEDIA_ID/David_Ricardo,"Person,Economist,Agent"
4,DBPEDIA_ID/Friedrich_Hayek,"Person,Economist,Agent"
5,DBPEDIA_ID/Frédéric_Bastiat,"Person,Economist,Agent"
6,DBPEDIA_ID/Gustave_de_Molinari,"Person,Economist,Agent"
7,DBPEDIA_ID/James_Heckman,"Person,Economist,Agent"
8,DBPEDIA_ID/James_Tobin,"Person,Economist,Agent"
9,DBPEDIA_ID/Joseph_Schumpeter,"Person,Economist,Agent"
10,DBPEDIA_ID/Milton_Friedman,"Person,Economist,Agent"
11,DBPEDIA_ID/Murray_Rothbard,"Person,Economist,Agent"
12,DBPEDIA_ID/Ronald_Coase,"Person,Economist,Agent"
13,DBPEDIA_ID/Anne_Robert_Jacques_Turgot,"Person,Economist,Agent"
14,DBPEDIA_ID/Henry_George,"Person,Economist,Agent"
15,DBPEDIA_ID/John_A._Hobson,"Person,Economist,Agent"
16,DBPEDIA_ID/Robert_Mundell,"Person,Economist,Agent"
17,DBPEDIA_ID/Douglass_North,"Person,Economist,Agent"
18,DBPEDIA_ID/Gérard_Debreu,"Person,Economist,Agent"
19,DBPEDIA_ID/Gérard_Roland_(economist),"Person,Economist,Agent"
20,DBPEDIA_ID/John_Ramsay_McCulloch,"Person,Economist,Agent"
21,DBPEDIA_ID/Peter_Howitt_(economist),"Person,Economist,Agent"
22,DBPEDIA_ID/Reuben_Gronau,"Person,Economist,Agent"
23,DBPEDIA_ID/Xavier_Vives,"Person,Economist,Agent"
24,DBPEDIA_ID/Ariel_Rubinstein,"Person,Economist,Agent"
25,DBPEDIA_ID/Arthur_Laffer,"Person,Economist,Agent"
26,DBPEDIA_ID/Bryan_Caplan,"Person,Economist,Agent"
27,DBPEDIA_ID/Franz_Hermann_Schulze-Delitzsch,"Person,Economist,Agent"
28,DBPEDIA_ID/Heidi_Hartmann,"Person,Economist,Agent"
29,DBPEDIA_ID/Jacques_J._Polak,"Person,Economist,Agent"
30,DBPEDIA_ID/John_R._Commons,"Person,Economist,Agent"
31,DBPEDIA_ID/M._Hashem_Pesaran,"Person,Economist,Agent"
32,DBPEDIA_ID/Oskar_Morgenstern,"Person,Economist,Agent"
33,DBPEDIA_ID/Richard_Jones_(economist),"Person,Economist,Agent"
34,DBPEDIA_ID/Richard_Tol,"Person,Economist,Agent"
35,DBPEDIA_ID/Roger_Myerson,"Person,Economist,Agent"
36,DBPEDIA_ID/Sherwin_Rosen,"Person,Economist,Agent"
37,DBPEDIA_ID/Steve_Hanke,"Person,Economist,Agent"
38,DBPEDIA_ID/Steven_Horwitz,"Person,Economist,Agent"
39,DBPEDIA_ID/Theodore_Schultz,"Person,Economist,Agent"
40,DBPEDIA_ID/William_Alonso,"Person,Economist,Agent"
41,DBPEDIA_ID/William_R._Allen_(economist),"Person,Economist,Agent"
42,DBPEDIA_ID/Hyman_Minsky,"Person,Economist,Agent"
43,DBPEDIA_ID/Marianne_Ferber,"Person,Economist,Agent"
44,DBPEDIA_ID/Bagicha_Singh_Minhas,"Person,Economist,Agent"
45,DBPEDIA_ID/Bruce_Greenwald,"Person,Economist,Agent"
