,entity,classes
0,DBPEDIA_ID/Optic_vesicle,"Embryology,AnatomicalStructure"
1,DBPEDIA_ID/Otic_vesicle,"Embryology,AnatomicalStructure"
2,DBPEDIA_ID/Basal_plate_(neural_tube),"Embryology,AnatomicalStructure"
3,DBPEDIA_ID/Basal_plate_(placenta),"Embryology,AnatomicalStructure"
4,DBPEDIA_ID/Otic_pit,"Embryology,AnatomicalStructure"
5,DBPEDIA_ID/Primary_interventricular_foramen,"Embryology,AnatomicalStructure"
6,DBPEDIA_ID/Splanchnopleuric_mesenchyme,"Embryology,AnatomicalStructure"
7,DBPEDIA_ID/Bulbus_cordis,"Embryology,AnatomicalStructure"
8,Cytotrophoblast,"Embryology,AnatomicalStructure"
9,DBPEDIA_ID/Ventral_mesentery,"Embryology,AnatomicalStructure"
10,DBPEDIA_ID/Posterior_cardinal_vein,"Embryology,AnatomicalStructure"
11,Allantois,"Embryology,AnatomicalStructure"
12,DBPEDIA_ID/Secondary_palate,"Embryology,AnatomicalStructure"
13,DBPEDIA_ID/Dorsal_mesentery,"Embryology,AnatomicalStructure"
14,DBPEDIA_ID/Limb_development,"Embryology,AnatomicalStructure"
15,DBPEDIA_ID/Pancreatic_bud,"Embryology,AnatomicalStructure"
16,Hypoblast,"Embryology,AnatomicalStructure"
17,DBPEDIA_ID/Cranial_neural_crest,"Embryology,AnatomicalStructure"
18,DBPEDIA_ID/Blood_islands,"Embryology,AnatomicalStructure"
19,Somite,"Embryology,AnatomicalStructure"
20,DBPEDIA_ID/Pronephric_duct,"Embryology,AnatomicalStructure"
21,DBPEDIA_ID/Alar_plate,"Embryology,AnatomicalStructure"
22,DBPEDIA_ID/Aorticopulmonary_septum,"Embryology,AnatomicalStructure"
23,Saliva,"Embryology,AnatomicalStructure"
24,Mesenchyme,"Embryology,AnatomicalStructure"
25,DBPEDIA_ID/Septum_secundum,"Embryology,AnatomicalStructure"
26,DBPEDIA_ID/Axial_mesoderm,"Embryology,AnatomicalStructure"
27,DBPEDIA_ID/Foramen_secundum,"Embryology,AnatomicalStructure"
28,DBPEDIA_ID/Connecting_stalk,"Embryology,AnatomicalStructure"
29,Epiblast,"Embryology,AnatomicalStructure"
30,DBPEDIA_ID/Optic_stalk,"Embryology,AnatomicalStructure"
31,Proctodeum,"Embryology,AnatomicalStructure"
32,DBPEDIA_ID/Neural_fold,"Embryology,AnatomicalStructure"
33,Neuroectoderm,"Embryology,AnatomicalStructure"
34,DBPEDIA_ID/Primary_interatrial_foramen,"Embryology,AnatomicalStructure"
35,DBPEDIA_ID/Septum_spurium,"Embryology,AnatomicalStructure"
36,DBPEDIA_ID/Spina_vestibuli,"Embryology,AnatomicalStructure"
37,DBPEDIA_ID/Secondary_palate_development,"Embryology,AnatomicalStructure"
38,DBPEDIA_ID/Hepatic_diverticulum,"Embryology,AnatomicalStructure"
39,DBPEDIA_ID/Amniotic_sac,"Embryology,AnatomicalStructure"
40,DBPEDIA_ID/Gestational_sac,"Embryology,AnatomicalStructure"
41,Notochord,"Embryology,AnatomicalStructure"
42,DBPEDIA_ID/Primitive_knot,"Embryology,AnatomicalStructure"
43,DBPEDIA_ID/Sinus_venosus,"Embryology,AnatomicalStructure"
44,DBPEDIA_ID/Yolk_sac,"Embryology,AnatomicalStructure"
45,DBPEDIA_ID/Embryonic_disc,"Embryology,AnatomicalStructure"
46,DBPEDIA_ID/Primitive_atrium,"Embryology,AnatomicalStructure"
47,Blastocoel,"Embryology,AnatomicalStructure"
48,DBPEDIA_ID/Thyroglossal_duct,"Embryology,AnatomicalStructure"
49,DBPEDIA_ID/Aortic_sac,"Embryology,AnatomicalStructure"
50,Embryo,"Embryology,AnatomicalStructure"
51,Mesoderm,"Embryology,AnatomicalStructure"
52,Zygote,"Embryology,AnatomicalStructure"
53,DBPEDIA_ID/Aortic_arches,"Embryology,AnatomicalStructure"
