,entity,classes
0,DBPEDIA_ID/Henry_Ellis_Harris,"Person,Agent,Engineer"
1,DBPEDIA_ID/Eli_Whitney,"Person,Agent,Engineer"
2,DBPEDIA_ID/Felix_Wankel,"Person,Agent,Engineer"
3,DBPEDIA_ID/Karl_Benz,"Person,Agent,Engineer"
4,DBPEDIA_ID/Émile_Baudot,"Person,Agent,Engineer"
5,DBPEDIA_ID/Benjamin_Baker_(engineer),"Person,Agent,Engineer"
6,DBPEDIA_ID/Claude_Chappe,"Person,Agent,Engineer"
7,DBPEDIA_ID/Henry_Maudslay,"Person,Agent,Engineer"
8,DBPEDIA_ID/Henry_Royce,"Person,Agent,Engineer"
9,DBPEDIA_ID/Leffert_L._Buck,"Person,Agent,Engineer"
10,DBPEDIA_ID/Thomas_Bouch,"Person,Agent,Engineer"
11,DBPEDIA_ID/Clyde_Jennings,"Person,Agent,Engineer"
12,DBPEDIA_ID/Ezra_Danolds_Cole,"Person,Agent,Engineer"
13,DBPEDIA_ID/Robert_Esnault-Pelterie,"Person,Agent,Engineer"
14,DBPEDIA_ID/Robert_Watson_(engineer),"Person,Agent,Engineer"
15,DBPEDIA_ID/Alexander_Ross_(engineer),"Person,Agent,Engineer"
16,DBPEDIA_ID/August_Dietz,"Person,Agent,Engineer"
17,DBPEDIA_ID/Barbara_R._Mueller,"Person,Agent,Engineer"
18,DBPEDIA_ID/David_Anderson_(engineer),"Person,Agent,Engineer"
19,DBPEDIA_ID/Ernst_Max_Cohn,"Person,Agent,Engineer"
20,DBPEDIA_ID/Eugene_Stoner,"Person,Agent,Engineer"
21,DBPEDIA_ID/Frank_Newby,"Person,Agent,Engineer"
22,DBPEDIA_ID/Félix_Candela,"Person,Agent,Engineer"
23,DBPEDIA_ID/Hans_von_Ohain,"Person,Agent,Engineer"
24,DBPEDIA_ID/Henri_Tresca,"Person,Agent,Engineer"
25,DBPEDIA_ID/Henry_M._Goodkind,"Person,Agent,Engineer"
26,DBPEDIA_ID/James_Cudworth,"Person,Agent,Engineer"
