,entity,classes
0,DBPEDIA_ID/Julius_Weise,"Entomologist,Person,Scientist,Agent"
1,DBPEDIA_ID/Andrey_Semyonov-Tyan-Shansky,"Entomologist,Person,Scientist,Agent"
2,DBPEDIA_ID/Georg_Semper,"Entomologist,Person,Scientist,Agent"
3,DBPEDIA_ID/Guido_of_Pisa,"Entomologist,Person,Scientist,Agent"
4,DBPEDIA_ID/Gustav_Mayr,"Entomologist,Person,Scientist,Agent"
5,DBPEDIA_ID/Pieter_Cornelius_Tobias_Snellen,"Entomologist,Person,Scientist,Agent"
6,DBPEDIA_ID/George_Henry_Kendrick_Thwaites,"Entomologist,Person,Scientist,Agent"
7,DBPEDIA_ID/Emil_Hermann_Zeck,"Entomologist,Person,Scientist,Agent"
8,DBPEDIA_ID/Erwin_Lindner,"Entomologist,Person,Scientist,Agent"
9,DBPEDIA_ID/Eugenius_Johann_Christoph_Esper,"Entomologist,Person,Scientist,Agent"
10,DBPEDIA_ID/Filippo_Silvestri,"Entomologist,Person,Scientist,Agent"
11,DBPEDIA_ID/Franz_Hübner,"Entomologist,Person,Scientist,Agent"
12,DBPEDIA_ID/Géza_Horváth,"Entomologist,Person,Scientist,Agent"
13,DBPEDIA_ID/Toussaint_de_Charpentier,"Entomologist,Person,Scientist,Agent"
14,DBPEDIA_ID/Adolph_Modéer,"Entomologist,Person,Scientist,Agent"
15,DBPEDIA_ID/Arnold_van_Huis,"Entomologist,Person,Scientist,Agent"
16,DBPEDIA_ID/Charles_Coquerel,"Entomologist,Person,Scientist,Agent"
17,DBPEDIA_ID/Hans_Daniel_Johan_Wallengren,"Entomologist,Person,Scientist,Agent"
18,DBPEDIA_ID/Johan_Martin_Jakob_von_Tengström,"Entomologist,Person,Scientist,Agent"
19,DBPEDIA_ID/Charles_Jules_Edmée_Brongniart,"Entomologist,Person,Scientist,Agent"
20,DBPEDIA_ID/Rudolf_Felder,"Entomologist,Person,Scientist,Agent"
21,DBPEDIA_ID/Antoine_Henri_Grouvelle,"Entomologist,Person,Scientist,Agent"
22,DBPEDIA_ID/Carlo_Vidano,"Entomologist,Person,Scientist,Agent"
23,DBPEDIA_ID/Lajos_Abafi,"Entomologist,Person,Scientist,Agent"
24,DBPEDIA_ID/Johann_Carl_Megerle_von_Mühlfeld,"Entomologist,Person,Scientist,Agent"
25,DBPEDIA_ID/August_Holmgren,"Entomologist,Person,Scientist,Agent"
26,DBPEDIA_ID/Carl_Robert_Osten-Sacken,"Entomologist,Person,Scientist,Agent"
27,DBPEDIA_ID/Friedrich_Thurau,"Entomologist,Person,Scientist,Agent"
28,DBPEDIA_ID/Hermann_Rudolph_Schaum,"Entomologist,Person,Scientist,Agent"
29,DBPEDIA_ID/Jan_Krzysztof_Kluk,"Entomologist,Person,Scientist,Agent"
30,DBPEDIA_ID/Jean-Charles_Jacobs,"Entomologist,Person,Scientist,Agent"
31,DBPEDIA_ID/Nérée_Boubée,"Entomologist,Person,Scientist,Agent"
32,DBPEDIA_ID/Anton_Menge,"Entomologist,Person,Scientist,Agent"
33,DBPEDIA_ID/Giacinto_Cestoni,"Entomologist,Person,Scientist,Agent"
34,DBPEDIA_ID/Kurimoto_Masayoshi,"Entomologist,Person,Scientist,Agent"
35,DBPEDIA_ID/Philipp_Ludwig_Statius_Müller,"Entomologist,Person,Scientist,Agent"
36,DBPEDIA_ID/Raimondo_Feletti,"Entomologist,Person,Scientist,Agent"
37,DBPEDIA_ID/Johann_Karl_Wilhelm_Illiger,"Entomologist,Person,Scientist,Agent"
38,DBPEDIA_ID/Moritz_Balthasar_Borkhausen,"Entomologist,Person,Scientist,Agent"
39,DBPEDIA_ID/Oldřich_Marek,"Entomologist,Person,Scientist,Agent"
40,DBPEDIA_ID/Gustave_Arthur_Poujade,"Entomologist,Person,Scientist,Agent"
41,DBPEDIA_ID/Heinrich_Michael_Neustetter,"Entomologist,Person,Scientist,Agent"
42,DBPEDIA_ID/Oktawiusz_Radoszkowski,"Entomologist,Person,Scientist,Agent"
43,DBPEDIA_ID/Paolo_Luigioni,"Entomologist,Person,Scientist,Agent"
44,DBPEDIA_ID/Johann_Friedrich_Jaennicke,"Entomologist,Person,Scientist,Agent"
45,DBPEDIA_ID/Felix_Santschi,"Entomologist,Person,Scientist,Agent"
46,DBPEDIA_ID/Antonio_Curò,"Entomologist,Person,Scientist,Agent"
47,DBPEDIA_ID/Jean-Frédéric_Hermann,"Entomologist,Person,Scientist,Agent"
48,DBPEDIA_ID/Zicman_Feider,"Entomologist,Person,Scientist,Agent"
49,DBPEDIA_ID/Jean_Pierre_Mégnin,"Entomologist,Person,Scientist,Agent"
50,DBPEDIA_ID/Alfred_Balachowsky,"Entomologist,Person,Scientist,Agent"
51,DBPEDIA_ID/Henri_Schouteden,"Entomologist,Person,Scientist,Agent"
52,DBPEDIA_ID/Philippe_Cuénoud,"Entomologist,Person,Scientist,Agent"
