,entity,classes
0,DBPEDIA_ID/Ababda_people,EthnicGroup
1,DBPEDIA_ID/African_Americans,EthnicGroup
2,DBPEDIA_ID/Aimaq_people,EthnicGroup
3,DBPEDIA_ID/Ainu_people,EthnicGroup
4,Albanians,EthnicGroup
5,Aleut,EthnicGroup
6,Balts,EthnicGroup
7,Basques,EthnicGroup
8,Boer,EthnicGroup
9,Choctaw,EthnicGroup
10,DBPEDIA_ID/Demographics_of_Costa_Rica,EthnicGroup
11,DBPEDIA_ID/Demographics_of_Lebanon,EthnicGroup
12,DBPEDIA_ID/Demographics_of_Libya,EthnicGroup
13,Ecuadorians,EthnicGroup
14,Frisians,EthnicGroup
15,Göktürks,EthnicGroup
16,Hazaras,EthnicGroup
17,Kashubians,EthnicGroup
18,DBPEDIA_ID/Kickapoo_people,EthnicGroup
19,DBPEDIA_ID/Kipsigis_people,EthnicGroup
20,Kurds,EthnicGroup
21,DBPEDIA_ID/Lhop_people,EthnicGroup
22,DBPEDIA_ID/Li_people,EthnicGroup
23,DBPEDIA_ID/Maasai_people,EthnicGroup
24,Missouria,EthnicGroup
25,Mongols,EthnicGroup
26,DBPEDIA_ID/Native_Americans_in_the_United_States,EthnicGroup
27,DBPEDIA_ID/Nez_Perce_people,EthnicGroup
28,DBPEDIA_ID/Oromo_people,EthnicGroup
29,Palestinians,EthnicGroup
30,DBPEDIA_ID/Persian_people,EthnicGroup
31,DBPEDIA_ID/Québécois_(word),EthnicGroup
32,DBPEDIA_ID/Romani_people,EthnicGroup
33,DBPEDIA_ID/Sami_people,EthnicGroup
34,Saxons,EthnicGroup
35,Czechs,EthnicGroup
36,Pomaks,EthnicGroup
37,DBPEDIA_ID/Anglo-Irish_people,EthnicGroup
38,DBPEDIA_ID/Arab_Americans,EthnicGroup
39,DBPEDIA_ID/Chinese_Indonesians,EthnicGroup
40,Coharie,EthnicGroup
41,DBPEDIA_ID/French_Canadians,EthnicGroup
42,DBPEDIA_ID/Hakka_people,EthnicGroup
43,DBPEDIA_ID/Hui_people,EthnicGroup
44,DBPEDIA_ID/Kaw_people,EthnicGroup
45,DBPEDIA_ID/Lhoba_people,EthnicGroup
46,Mestizo,EthnicGroup
47,DBPEDIA_ID/O_Du_people,EthnicGroup
48,Peranakan,EthnicGroup
49,DBPEDIA_ID/Rơ_Măm_people,EthnicGroup
50,DBPEDIA_ID/Sephardi_Jews,EthnicGroup
51,DBPEDIA_ID/Si_La_people,EthnicGroup
52,DBPEDIA_ID/Tujia_people,EthnicGroup
53,DBPEDIA_ID/Wyandot_people,EthnicGroup
54,DBPEDIA_ID/Zapotec_peoples,EthnicGroup
55,DBPEDIA_ID/Bari_people,EthnicGroup
56,DBPEDIA_ID/Boholano_people,EthnicGroup
57,DBPEDIA_ID/Citizen_Potawatomi_Nation,EthnicGroup
58,DBPEDIA_ID/Kulina_people,EthnicGroup
59,DBPEDIA_ID/Louisiana_Creole_people,EthnicGroup
60,DBPEDIA_ID/Mille_Lacs_Band_of_Ojibwe,EthnicGroup
61,DBPEDIA_ID/Sanga_people,EthnicGroup
62,DBPEDIA_ID/Abdal_(caste),EthnicGroup
63,Afrikaners,EthnicGroup
64,DBPEDIA_ID/Aku_people,EthnicGroup
65,DBPEDIA_ID/Amhara_people,EthnicGroup
66,Assiniboine,EthnicGroup
67,DBPEDIA_ID/Awan_(tribe),EthnicGroup
68,DBPEDIA_ID/Banyumasan_people,EthnicGroup
69,DBPEDIA_ID/Barentu_Oromo_people,EthnicGroup
70,DBPEDIA_ID/Bozo_people,EthnicGroup
71,DBPEDIA_ID/Chitrapur_Saraswat_Brahmin,EthnicGroup
72,DBPEDIA_ID/Chocho_people,EthnicGroup
73,DBPEDIA_ID/Choptank_tribe,EthnicGroup
74,DBPEDIA_ID/Deg_Hit'an,EthnicGroup
75,DBPEDIA_ID/Derung_people,EthnicGroup
76,DBPEDIA_ID/Duala_people,EthnicGroup
77,DBPEDIA_ID/Fore_people,EthnicGroup
78,DBPEDIA_ID/Fort_Apache_Indian_Reservation,EthnicGroup
79,DBPEDIA_ID/Fuzhou_people,EthnicGroup
80,DBPEDIA_ID/Guang_people,EthnicGroup
81,Karamanlides,EthnicGroup
82,DBPEDIA_ID/Kemak_people,EthnicGroup
83,DBPEDIA_ID/Klamath_Tribes,EthnicGroup
84,DBPEDIA_ID/Kole_people,EthnicGroup
85,DBPEDIA_ID/Kotoko_people,EthnicGroup
86,DBPEDIA_ID/Lawa_people,EthnicGroup
87,DBPEDIA_ID/Mari_people,EthnicGroup
88,DBPEDIA_ID/Maricopa_people,EthnicGroup
89,DBPEDIA_ID/Marsh_Arabs,EthnicGroup
90,DBPEDIA_ID/Mende_people,EthnicGroup
91,DBPEDIA_ID/Muslim_Gaddi,EthnicGroup
92,DBPEDIA_ID/Nzime_people,EthnicGroup
93,Odawa,EthnicGroup
94,DBPEDIA_ID/Palaung_people,EthnicGroup
95,DBPEDIA_ID/Patni_Jamat,EthnicGroup
96,DBPEDIA_ID/Pima_people,EthnicGroup
97,DBPEDIA_ID/Rajapur_Saraswat_Brahmins,EthnicGroup
98,DBPEDIA_ID/Rappahannock_Tribe,EthnicGroup
99,Sahtu,EthnicGroup
100,DBPEDIA_ID/San_Manuel_Band_of_Mission_Indians,EthnicGroup
101,DBPEDIA_ID/San_people,EthnicGroup
102,DBPEDIA_ID/Serrano_people,EthnicGroup
103,DBPEDIA_ID/Shan_people,EthnicGroup
104,DBPEDIA_ID/Sherbro_people,EthnicGroup
105,DBPEDIA_ID/Sindhi_Rajput,EthnicGroup
106,Sindhis,EthnicGroup
107,DBPEDIA_ID/Sunni_Bohra,EthnicGroup
108,DBPEDIA_ID/Temne_people,EthnicGroup
109,DBPEDIA_ID/Tiwi_people,EthnicGroup
110,DBPEDIA_ID/Udi_people,EthnicGroup
111,DBPEDIA_ID/Urhobo_people,EthnicGroup
112,DBPEDIA_ID/Vai_people,EthnicGroup
113,DBPEDIA_ID/Yi_people,EthnicGroup
114,Yugur,EthnicGroup
115,DBPEDIA_ID/Yurok_people,EthnicGroup
116,DBPEDIA_ID/Absentee-Shawnee_Tribe_of_Indians,EthnicGroup
117,DBPEDIA_ID/Pardo_Brazilians,EthnicGroup
118,DBPEDIA_ID/Akatek_people,EthnicGroup
119,DBPEDIA_ID/Andi_people,EthnicGroup
120,DBPEDIA_ID/Arsi_Oromo,EthnicGroup
121,DBPEDIA_ID/Bassa_people_(Liberia),EthnicGroup
122,DBPEDIA_ID/Batin_people,EthnicGroup
123,DBPEDIA_ID/Berber_Jews,EthnicGroup
124,DBPEDIA_ID/Bezhta_people,EthnicGroup
125,Bhattarai,EthnicGroup
126,DBPEDIA_ID/Bhoksa_people,EthnicGroup
127,DBPEDIA_ID/Bororo_people,EthnicGroup
128,DBPEDIA_ID/Bravanese_people,EthnicGroup
129,DBPEDIA_ID/Bru_people,EthnicGroup
130,DBPEDIA_ID/Butuanon_people,EthnicGroup
131,Canadians,EthnicGroup
132,DBPEDIA_ID/Caribou_Inuit,EthnicGroup
133,DBPEDIA_ID/Chakma_people,EthnicGroup
134,DBPEDIA_ID/Chaoui_people,EthnicGroup
135,DBPEDIA_ID/Chicken_Ranch_Rancheria_of_Me-Wuk_Indians_of_California,EthnicGroup
136,DBPEDIA_ID/Confederated_Tribes_of_the_Grand_Ronde_Community_of_Oregon,EthnicGroup
137,Croatan,EthnicGroup
138,Dane-zaa,EthnicGroup
139,Dongxiangs,EthnicGroup
140,DBPEDIA_ID/Ekari_people,EthnicGroup
141,DBPEDIA_ID/Golden_Hill_Paugussett_Indian_Nation,EthnicGroup
142,DBPEDIA_ID/Harari_people,EthnicGroup
143,Hindkowans,EthnicGroup
144,DBPEDIA_ID/Hola_(ethnic_group),EthnicGroup
145,DBPEDIA_ID/Iban_people,EthnicGroup
146,DBPEDIA_ID/Igorot_people,EthnicGroup
147,Irulas,EthnicGroup
148,DBPEDIA_ID/Kallar_(caste),EthnicGroup
149,DBPEDIA_ID/Kamayurá_people,EthnicGroup
150,DBPEDIA_ID/Karo_people_(Indonesia),EthnicGroup
151,DBPEDIA_ID/Kashmiri_Pandit,EthnicGroup
152,Kashmiris,EthnicGroup
153,DBPEDIA_ID/Kissi_people,EthnicGroup
154,DBPEDIA_ID/Krio_Dayak_people,EthnicGroup
155,DBPEDIA_ID/Kula_people_(Asia),EthnicGroup
156,DBPEDIA_ID/Mala_(caste),EthnicGroup
157,DBPEDIA_ID/Maring_Naga,EthnicGroup
158,DBPEDIA_ID/Mauritian_of_African_origin,EthnicGroup
159,Mauritians,EthnicGroup
160,DBPEDIA_ID/Mbo_people_(Congo),EthnicGroup
161,Menominee,EthnicGroup
162,DBPEDIA_ID/Modoc_Tribe_of_Oklahoma,EthnicGroup
163,DBPEDIA_ID/Modoc_people,EthnicGroup
164,DBPEDIA_ID/Munda_people,EthnicGroup
165,DBPEDIA_ID/Naik_Maratha,EthnicGroup
166,DBPEDIA_ID/Namadhari_Naik,EthnicGroup
167,DBPEDIA_ID/Nyah_Kur_people,EthnicGroup
168,DBPEDIA_ID/Orang_Asli,EthnicGroup
169,DBPEDIA_ID/Orang_laut,EthnicGroup
170,DBPEDIA_ID/Piscataway_Indian_Nation_and_Tayac_Territory,EthnicGroup
171,DBPEDIA_ID/Rath_tribe,EthnicGroup
172,DBPEDIA_ID/Shinnecock_Indian_Nation,EthnicGroup
173,Shoshone,EthnicGroup
174,Shresthas,EthnicGroup
175,DBPEDIA_ID/Sierra_Leone_Creole_people,EthnicGroup
176,DBPEDIA_ID/Soni_(caste),EthnicGroup
177,DBPEDIA_ID/Sri_Lanka_Kaffirs,EthnicGroup
178,DBPEDIA_ID/Talysh_people,EthnicGroup
179,DBPEDIA_ID/Tiele_people,EthnicGroup
180,DBPEDIA_ID/Tsez_people,EthnicGroup
181,DBPEDIA_ID/Tübatulabal_people,EthnicGroup
182,DBPEDIA_ID/Waccamaw_Siouan,EthnicGroup
183,DBPEDIA_ID/Xinca_people,EthnicGroup
184,DBPEDIA_ID/Ye'kuana_people,EthnicGroup
185,DBPEDIA_ID/Zo'é_people,EthnicGroup
186,DBPEDIA_ID/Americans_in_Costa_Rica,EthnicGroup
187,DBPEDIA_ID/Armenian_Canadians,EthnicGroup
188,DBPEDIA_ID/Armenians_in_Egypt,EthnicGroup
189,DBPEDIA_ID/Ayam_(people),EthnicGroup
190,Binbinga,EthnicGroup
191,DBPEDIA_ID/Bosniaks_of_Croatia,EthnicGroup
192,DBPEDIA_ID/Brazilians_in_Nigeria,EthnicGroup
193,DBPEDIA_ID/Britons_in_Pakistan,EthnicGroup
194,DBPEDIA_ID/Chamalal_people,EthnicGroup
195,Dhagi,EthnicGroup
196,DBPEDIA_ID/Djiboutian_Americans,EthnicGroup
197,DBPEDIA_ID/Achi_people,EthnicGroup
198,DBPEDIA_ID/Adyghe_people,EthnicGroup
199,DBPEDIA_ID/Faqir_(clan),EthnicGroup
200,DBPEDIA_ID/Filipinos_in_Poland,EthnicGroup
201,DBPEDIA_ID/Anyi_people,EthnicGroup
202,DBPEDIA_ID/Ashanti_people,EthnicGroup
203,DBPEDIA_ID/Atayal_people,EthnicGroup
204,DBPEDIA_ID/B'laan_people,EthnicGroup
205,DBPEDIA_ID/Basay_people,EthnicGroup
206,Indo-Martiniquais,EthnicGroup
207,DBPEDIA_ID/Indonesians_in_Hong_Kong,EthnicGroup
208,DBPEDIA_ID/Bodo-Kachari_people,EthnicGroup
209,DBPEDIA_ID/Bodo_people,EthnicGroup
210,DBPEDIA_ID/British_African-Caribbean_people,EthnicGroup
211,DBPEDIA_ID/British_Indian,EthnicGroup
212,DBPEDIA_ID/Kho_people,EthnicGroup
213,DBPEDIA_ID/Kurds_in_New_Zealand,EthnicGroup
214,DBPEDIA_ID/Los_Coyotes_Band_of_Cahuilla_and_Cupeno_Indians,EthnicGroup
215,DBPEDIA_ID/Matapeake_tribe,EthnicGroup
216,Meherrin,EthnicGroup
217,DBPEDIA_ID/Chestnut_Ridge_people,EthnicGroup
218,Nansemond,EthnicGroup
219,DBPEDIA_ID/Pakistani_New_Zealanders,EthnicGroup
220,DBPEDIA_ID/Poles_in_the_United_Kingdom,EthnicGroup
221,DBPEDIA_ID/Pomaks_in_Turkey,EthnicGroup
222,DBPEDIA_ID/Serbian_Australians,EthnicGroup
223,DBPEDIA_ID/Shabo_people,EthnicGroup
224,Dutta,EthnicGroup
225,DBPEDIA_ID/Dyula_people,EthnicGroup
226,DBPEDIA_ID/Sri_Lankan_Gypsy_people,EthnicGroup
227,DBPEDIA_ID/Thao_people,EthnicGroup
228,DBPEDIA_ID/Yarahmadzai_tribe,EthnicGroup
229,DBPEDIA_ID/Hong_Kong_people,EthnicGroup
230,DBPEDIA_ID/Ibi_people,EthnicGroup
231,DBPEDIA_ID/Indo_people,EthnicGroup
232,DBPEDIA_ID/Ixil_people,EthnicGroup
233,DBPEDIA_ID/Jarawa_(Andaman_Islands),EthnicGroup
234,DBPEDIA_ID/Jat_Muslim,EthnicGroup
235,DBPEDIA_ID/Jat_people,EthnicGroup
236,DBPEDIA_ID/Javanese_people,EthnicGroup
237,DBPEDIA_ID/Khwarshi_people,EthnicGroup
238,DBPEDIA_ID/Kickapoo_Tribe_in_Kansas,EthnicGroup
239,DBPEDIA_ID/Kickapoo_Tribe_of_Oklahoma,EthnicGroup
240,DBPEDIA_ID/Kono_people,EthnicGroup
241,Magars,EthnicGroup
242,DBPEDIA_ID/Maram_Naga,EthnicGroup
243,DBPEDIA_ID/Marma_people,EthnicGroup
244,DBPEDIA_ID/Miami_Nation_of_Indiana,EthnicGroup
245,DBPEDIA_ID/Miami_Tribe_of_Oklahoma,EthnicGroup
246,DBPEDIA_ID/Miao_people,EthnicGroup
247,DBPEDIA_ID/Paiwan_people,EthnicGroup
248,DBPEDIA_ID/Picayune_Rancheria_of_Chukchansi_Indians,EthnicGroup
249,DBPEDIA_ID/Puyuma_people,EthnicGroup
250,DBPEDIA_ID/Q'eqchi'_people,EthnicGroup
251,DBPEDIA_ID/Rapa_Nui_people,EthnicGroup
252,Sambians,EthnicGroup
253,DBPEDIA_ID/Sangu_people,EthnicGroup
254,DBPEDIA_ID/Saurashtra_people,EthnicGroup
255,Silesians,EthnicGroup
256,DBPEDIA_ID/Soninke_people,EthnicGroup
257,DBPEDIA_ID/Tagbanwa_people,EthnicGroup
258,DBPEDIA_ID/Thanjavur_Marathi_people,EthnicGroup
259,DBPEDIA_ID/Tlapanec_people,EthnicGroup
260,DBPEDIA_ID/Tsakhur_people,EthnicGroup
