,entity,classes
0,Aardwolf,"Mammal,Eukaryote,Species,Animal"
1,Abacá,"Plant,Eukaryote,Species"
2,Abalone,"Mollusca,Eukaryote,Species,Animal"
3,Actinophryid,"Eukaryote,Species"
4,Ailanthus,"Plant,Eukaryote,Species"
5,Alder,"Plant,Eukaryote,Species"
6,Amaranth,"Plant,Eukaryote,Species"
7,DBPEDIA_ID/Ancyra_(genus),"Insect,Eukaryote,Species,Animal"
8,Anoa,"Mammal,Eukaryote,Species,Animal"
9,Ant,"Insect,Eukaryote,Species,Animal"
10,Apiaceae,"Plant,Eukaryote,Species"
11,Apicomplexa,"Eukaryote,Species"
12,Aquilegia,"Plant,Eukaryote,Species"
13,Ardipithecus,"Mammal,Eukaryote,Species,Animal"
14,Armadillo,"Mammal,Eukaryote,Species,Animal"
15,Asimina,"Plant,Eukaryote,Species"
16,Asteraceae,"Plant,Eukaryote,Species"
17,Bear,"Mammal,Eukaryote,Species,Animal"
18,Beaver,"Mammal,Eukaryote,Species,Animal"
19,Beetle,"Insect,Eukaryote,Species,Animal"
20,Bison,"Mammal,Eukaryote,Species,Animal"
21,DBPEDIA_ID/Blue_crane,"Eukaryote,Bird,Animal,Species"
22,DBPEDIA_ID/Bongo_(antelope),"Mammal,Eukaryote,Species,Animal"
23,Branchiopoda,"Crustacean,Eukaryote,Species,Animal"
24,Brassicaceae,"Plant,Eukaryote,Species"
25,Brassicales,"Plant,Eukaryote,Species"
26,Callitrichidae,"Mammal,Eukaryote,Species,Animal"
27,Camel,"Mammal,Eukaryote,Species,Animal"
28,DBPEDIA_ID/Cane_toad,"Eukaryote,Amphibian,Species,Animal"
29,Canidae,"Mammal,Eukaryote,Species,Animal"
30,DBPEDIA_ID/Carolina_parakeet,"Eukaryote,Bird,Animal,Species"
31,Cat,"Mammal,Eukaryote,Species,Animal"
32,Cebidae,"Mammal,Eukaryote,Species,Animal"
33,DBPEDIA_ID/Ceiba_pentandra,"Plant,Eukaryote,Species"
34,Cereal,"Plant,Eukaryote,Species"
35,Chipmunk,"Mammal,Eukaryote,Species,Animal"
36,Chlorophyceae,"Plant,GreenAlga,Eukaryote,Species"
37,Chondrichthyes,"Fish,Eukaryote,Species,Animal"
38,Ciconiiformes,"Eukaryote,Bird,Animal,Species"
39,Cnidaria,"Eukaryote,Species,Animal"
40,Coffea,"Plant,Eukaryote,Species"
41,Commelinales,"Plant,Eukaryote,Species"
42,Coyote,"Mammal,Eukaryote,Species,Animal"
43,Cranberry,"Plant,Eukaryote,Species"
44,Cucurbitaceae,"Plant,Eukaryote,Species"
45,Cucurbitales,"Plant,Eukaryote,Species"
46,Cyprinidae,"Fish,Eukaryote,Species,Animal"
47,Cyprinodontiformes,"Fish,Eukaryote,Species,Animal"
48,Datura,"Plant,Eukaryote,Species"
49,Desmothoracid,"Eukaryote,Species"
50,Digitalis,"Plant,Eukaryote,Species"
51,Dioscoreales,"Plant,Eukaryote,Species"
52,Diprotodon,"Mammal,Eukaryote,Species,Animal"
53,Elephant,"Mammal,Eukaryote,Species,Animal"
54,Entamoeba,"Eukaryote,Species"
55,Equidae,"Mammal,Eukaryote,Species,Animal"
56,Ericaceae,"Plant,Eukaryote,Species"
57,Ericales,"Plant,Eukaryote,Species"
58,Eschrichtiidae,"Mammal,Eukaryote,Species,Animal"
59,Euglenozoa,"Eukaryote,Species"
60,Fagales,"Plant,Eukaryote,Species"
61,DBPEDIA_ID/Flowering_plant,"Plant,Eukaryote,Species"
62,Fox,"Mammal,Eukaryote,Species,Animal"
63,Galjoen,"Fish,Eukaryote,Species,Animal"
64,Gecko,"Reptile,Eukaryote,Species,Animal"
65,DBPEDIA_ID/Goeldi's_marmoset,"Mammal,Eukaryote,Species,Animal"
66,Gorilla,"Mammal,Eukaryote,Species,Animal"
67,DBPEDIA_ID/Great_auk,"Eukaryote,Bird,Animal,Species"
68,Gymnosphaerid,"Eukaryote,Species"
69,DBPEDIA_ID/Hammerhead_shark,"Fish,Eukaryote,Species,Animal"
70,Hamster,"Mammal,Eukaryote,Species,Animal"
71,Homininae,"Mammal,Eukaryote,Species,Animal"
72,DBPEDIA_ID/Homo_habilis,"Mammal,Eukaryote,Species,Animal"
73,Hyaena,"Mammal,Eukaryote,Species,Animal"
74,DBPEDIA_ID/Hydra_(genus),"Eukaryote,Species,Animal"
75,Hyena,"Mammal,Eukaryote,Species,Animal"
76,Jackal,"Mammal,Eukaryote,Species,Animal"
77,DBPEDIA_ID/Kalmia_latifolia,"Plant,Eukaryote,Species"
78,Kangaroo,"Mammal,Eukaryote,Species,Animal"
79,Kateretes,"Insect,Eukaryote,Species,Animal"
80,Kenyanthropus,"Mammal,Eukaryote,Species,Animal"
81,Kohlrabi,"Plant,Eukaryote,Species,CultivatedVariety"
82,Koi,"Fish,Eukaryote,Species,Animal"
83,Kumquat,"Plant,Eukaryote,Species"
84,DBPEDIA_ID/Labrador_duck,"Eukaryote,Bird,Animal,Species"
85,Lamiaceae,"Plant,Eukaryote,Species"
86,Lamiales,"Plant,Eukaryote,Species"
87,Laurales,"Plant,Eukaryote,Species"
88,Lavandula,"Plant,Eukaryote,Species"
89,Liliales,"Plant,Eukaryote,Species"
90,DBPEDIA_ID/Little_penguin,"Eukaryote,Bird,Animal,Species"
91,Llama,"Mammal,Eukaryote,Species,Animal"
92,Lorisidae,"Mammal,Eukaryote,Species,Animal"
93,Magnoliales,"Plant,Eukaryote,Species"
94,Malpighiales,"Plant,Eukaryote,Species"
95,Malvales,"Plant,Eukaryote,Species"
96,Manatee,"Mammal,Eukaryote,Species,Animal"
97,DBPEDIA_ID/McIntosh_(apple),"Plant,Eukaryote,Species,CultivatedVariety"
98,Mentha,"Plant,Eukaryote,Species"
99,Merlot,"FloweringPlant,Plant,Eukaryote,Species,Grape"
100,DBPEDIA_ID/Mexican_tetra,"Fish,Eukaryote,Species,Animal"
101,Mimosa,"Plant,Eukaryote,Species"
102,Mouse,"Mammal,Eukaryote,Species,Animal"
103,Mustelidae,"Mammal,Eukaryote,Species,Animal"
104,Myrtales,"Plant,Eukaryote,Species"
105,Nepeta,"Plant,Eukaryote,Species"
106,DBPEDIA_ID/Northern_cavefish,"Fish,Eukaryote,Species,Animal"
107,Nucleariid,"Eukaryote,Species"
108,DBPEDIA_ID/Odd-toed_ungulate,"Mammal,Eukaryote,Species,Animal"
109,Odobenidae,"Mammal,Eukaryote,Species,Animal"
110,Okapi,"Mammal,Eukaryote,Species,Animal"
111,Orangutan,"Mammal,Eukaryote,Species,Animal"
112,Orchidaceae,"Plant,Eukaryote,Species"
113,Orrorin,"Mammal,Eukaryote,Species,Animal"
114,Panga,"Fish,Eukaryote,Species,Animal"
115,Paranthropus,"Mammal,Eukaryote,Species,Animal"
116,DBPEDIA_ID/Passenger_pigeon,"Eukaryote,Bird,Animal,Species"
117,Pear,"Plant,Eukaryote,Species"
118,DBPEDIA_ID/Peppered_moth,"Insect,Eukaryote,Species,Animal"
119,Peppermint,"Plant,Eukaryote,Species"
120,Perciformes,"Fish,Eukaryote,Species,Animal"
121,Percolozoa,"Eukaryote,Species"
122,Percopsiformes,"Fish,Eukaryote,Species,Animal"
123,Pig,"Mammal,Eukaryote,Species,Animal"
124,DBPEDIA_ID/Piper_(genus),"Plant,Eukaryote,Species"
125,Poales,"Plant,Eukaryote,Species"
126,DBPEDIA_ID/Podocarpus_latifolius,"Plant,Eukaryote,Species,Conifer"
127,Poeciliidae,"Fish,Eukaryote,Species,Animal"
128,Polygonaceae,"Plant,Eukaryote,Species"
129,Porcupinefish,"Fish,Eukaryote,Species,Animal"
130,DBPEDIA_ID/Prairie_dog,"Mammal,Eukaryote,Species,Animal"
131,DBPEDIA_ID/Protea_cynaroides,"Plant,Eukaryote,Species"
132,Pythonidae,"Reptile,Eukaryote,Species,Animal"
133,Quagga,"Mammal,Eukaryote,Species,Animal"
134,Quail,"Eukaryote,Bird,Animal,Species"
135,Quassia,"Plant,Eukaryote,Species"
136,Rat,"Mammal,Eukaryote,Species,Animal"
137,DBPEDIA_ID/Red_wolf,"Mammal,Eukaryote,Species,Animal"
138,Rosaceae,"Plant,Eukaryote,Species"
139,Rosales,"Plant,Eukaryote,Species"
140,Rose,"Plant,Eukaryote,Species"
141,Sapindales,"Plant,Eukaryote,Species"
142,Satureja,"Plant,Eukaryote,Species"
143,DBPEDIA_ID/Sideroxylon_grandiflorum,"Plant,Eukaryote,Species"
144,DBPEDIA_ID/Smelt_(fish),"Fish,Eukaryote,Species,Animal"
145,Solanales,"Plant,Eukaryote,Species"
146,Spirotrich,"Eukaryote,Species"
147,Squirrel,"Mammal,Eukaryote,Species,Animal"
148,DBPEDIA_ID/Subspecies_of_Canis_lupus,"Mammal,Eukaryote,Species,Animal"
149,Tetraodontidae,"Fish,Eukaryote,Species,Animal"
150,Zebrafish,"Fish,Eukaryote,Species,Animal"
151,Cinchona,"Plant,Eukaryote,Species"
152,Jasmine,"Plant,Eukaryote,Species"
153,Larch,"Plant,Eukaryote,Species,Conifer"
154,Millipede,"Eukaryote,Species,Animal"
155,Nautilus,"Mollusca,Eukaryote,Species,Animal"
156,Rodhocetus,"Mammal,Eukaryote,Species,Animal"
157,Seahorse,"Fish,Eukaryote,Species,Animal"
158,DBPEDIA_ID/Turbina_corymbosa,"Plant,Eukaryote,Species"
159,‘Elepaio,"Eukaryote,Bird,Animal,Species"
160,Bulbul,"Eukaryote,Bird,Animal,Species"
161,Musaceae,"Plant,Eukaryote,Species"
162,Persimmon,"Plant,Eukaryote,Species"
163,Rooibos,"Plant,Eukaryote,Species"
164,Septoria,"Fungus,Eukaryote,Species"
165,DBPEDIA_ID/Africanized_bee,"Insect,Eukaryote,Species,Animal"
166,DBPEDIA_ID/Amazon_parrot,"Eukaryote,Bird,Animal,Species"
167,DBPEDIA_ID/Ammophila_(plant),"Plant,Eukaryote,Species"
168,Aphid,"Insect,Eukaryote,Species,Animal"
169,DBPEDIA_ID/Araucaria_araucana,"Plant,Eukaryote,Species,Conifer"
170,Arctium,"Plant,Eukaryote,Species"
171,Armillaria,"Fungus,Eukaryote,Species"
172,Aysheaia,"Eukaryote,Species,Animal"
173,Cauliflower,"Plant,Eukaryote,Species,CultivatedVariety"
174,Chlamydomonas,"Plant,GreenAlga,Eukaryote,Species"
175,Condor,"Eukaryote,Bird,Animal,Species"
176,Corvidae,"Eukaryote,Bird,Animal,Species"
177,Curculionidae,"Insect,Eukaryote,Species,Animal"
178,DBPEDIA_ID/Darley_Arabian,"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
179,Drosera,"Plant,Eukaryote,Species"
180,Egret,"Eukaryote,Bird,Animal,Species"
181,Ensete,"Plant,Eukaryote,Species"
