,entity,classes
0,DBPEDIA_ID/All_Night_Long_(Simon_Mathew_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
1,DBPEDIA_ID/Goodbye_(Alma_Čardžić_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
2,DBPEDIA_ID/Alter_Ego_(Minus_One_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
3,DBPEDIA_ID/Amar_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
4,DBPEDIA_ID/Colorado_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
5,DBPEDIA_ID/Eres_tú,"EurovisionSongContestEntry,Work,MusicalWork,Song"
6,DBPEDIA_ID/Hallelujah_(Gali_Atari_and_Milk_&_Honey_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
7,DBPEDIA_ID/Heaven_(Jónsi_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
8,DBPEDIA_ID/In_Your_Eyes_(Niamh_Kavanagh_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
9,DBPEDIA_ID/Jack_in_the_Box_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
10,DBPEDIA_ID/Lapponia_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
11,DBPEDIA_ID/Playboy_(Ann_Christine_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
12,DBPEDIA_ID/Rock_Bottom_(Lynsey_de_Paul_and_Mike_Moran_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
13,DBPEDIA_ID/This_Is_the_Night_(Kurt_Calleja_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
14,DBPEDIA_ID/Vivo_(Ti_scrivo),"EurovisionSongContestEntry,Work,MusicalWork,Song"
15,DBPEDIA_ID/When_(Red_Vincent_Hurley_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
16,DBPEDIA_ID/Far_Away_(3+2_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
17,DBPEDIA_ID/Opera_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
18,DBPEDIA_ID/Water_(Elitsa_&_Stoyan_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
19,DBPEDIA_ID/Angelique_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
20,DBPEDIA_ID/Hasta_la_Vista_(Oleksandr_Ponomaryov_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
21,DBPEDIA_ID/Hasta_la_Vista_(Ruslan_Alekhno_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
22,DBPEDIA_ID/Mama_Corsica,"EurovisionSongContestEntry,Work,MusicalWork,Song"
23,DBPEDIA_ID/On_My_Own_(Haldor_Lægreid_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
24,DBPEDIA_ID/Como_tudo_começou,"EurovisionSongContestEntry,Work,MusicalWork,Song"
25,DBPEDIA_ID/A_Little_Bit_(Nina_Åström_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
26,DBPEDIA_ID/Härliga_sommardag,"EurovisionSongContestEntry,Work,MusicalWork,Song"
27,DBPEDIA_ID/Boogaloo_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
28,DBPEDIA_ID/Leť_tmou,"EurovisionSongContestEntry,Work,MusicalWork,Song"
29,DBPEDIA_ID/Naj_bogovi_slišijo,"EurovisionSongContestEntry,Work,MusicalWork,Song"
30,DBPEDIA_ID/Vi_maler_byen_rød,"EurovisionSongContestEntry,Work,MusicalWork,Song"
31,DBPEDIA_ID/Gimme_(One_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
32,DBPEDIA_ID/Katinka_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
33,DBPEDIA_ID/Long_Live_Love_(Olivia_Newton-John_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
34,DBPEDIA_ID/My_Little_World_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
35,DBPEDIA_ID/Partners_in_Crime_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
36,DBPEDIA_ID/Shame_on_You_(Tomas_Thordarson_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
37,DBPEDIA_ID/That's_What_Friends_Are_For_(The_Swarbriggs_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
38,DBPEDIA_ID/The_Party's_Over_(Sandra_Reemer_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
39,DBPEDIA_ID/Chance_of_a_Lifetime_(Pat_McGeegan_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
40,DBPEDIA_ID/Coming_Home_(Firelight_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
41,DBPEDIA_ID/Coming_Home_(Sjonni's_Friends_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
42,DBPEDIA_ID/Congratulations_(Silvía_Night_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
43,DBPEDIA_ID/Valentino_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
44,DBPEDIA_ID/On_Again..._Off_Again,"EurovisionSongContestEntry,Work,MusicalWork,Song"
45,DBPEDIA_ID/Esta_balada_que_te_dou,"EurovisionSongContestEntry,Work,MusicalWork,Song"
46,DBPEDIA_ID/Feel_the_Passion,"EurovisionSongContestEntry,Work,MusicalWork,Song"
47,DBPEDIA_ID/One_Step_(Bettina_Soriat_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
48,DBPEDIA_ID/Sole_d'Europa,"EurovisionSongContestEntry,Work,MusicalWork,Song"
49,DBPEDIA_ID/Tout_de_moi,"EurovisionSongContestEntry,Work,MusicalWork,Song"
50,DBPEDIA_ID/Yorgunum_Anla,"EurovisionSongContestEntry,Work,MusicalWork,Song"
51,DBPEDIA_ID/Anna_rakkaudelle_tilaisuus,"EurovisionSongContestEntry,Work,MusicalWork,Song"
52,DBPEDIA_ID/Deixa-me_sonhar_(só_mais_uma_vez),"EurovisionSongContestEntry,Work,MusicalWork,Song"
53,DBPEDIA_ID/Call_Me_(Feminnem_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
54,DBPEDIA_ID/De_vogels_van_Holland,"EurovisionSongContestEntry,Work,MusicalWork,Song"
55,DBPEDIA_ID/Don't_Close_Your_Eyes_(Max_Jason_Mai_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
56,DBPEDIA_ID/Varjoon_–_suojaan,"EurovisionSongContestEntry,Work,MusicalWork,Song"
57,DBPEDIA_ID/La_source_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
58,DBPEDIA_ID/Le_temps_perdu,"EurovisionSongContestEntry,Work,MusicalWork,Song"
59,DBPEDIA_ID/Madrugada_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
60,DBPEDIA_ID/My_Galileo,"EurovisionSongContestEntry,Work,MusicalWork,Song"
61,DBPEDIA_ID/Voi_Voi,"EurovisionSongContestEntry,Work,MusicalWork,Song"
62,DBPEDIA_ID/Believe_Me_(Yulia_Savicheva_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
63,Tourada,"EurovisionSongContestEntry,Work,MusicalWork,Song"
64,DBPEDIA_ID/Un_grand_amour,"EurovisionSongContestEntry,Work,MusicalWork,Song"
65,DBPEDIA_ID/Heel_de_wereld,"EurovisionSongContestEntry,Work,MusicalWork,Song"
66,DBPEDIA_ID/Zauvijek_moja,"EurovisionSongContestEntry,Work,MusicalWork,Song"
67,DBPEDIA_ID/Aven_Romale,"EurovisionSongContestEntry,Work,MusicalWork,Song"
68,DBPEDIA_ID/Ce_soir-là,"EurovisionSongContestEntry,Work,MusicalWork,Song"
69,DBPEDIA_ID/Elle_était_si_jolie,"EurovisionSongContestEntry,Work,MusicalWork,Song"
70,DBPEDIA_ID/Euro_Neuro,"EurovisionSongContestEntry,Work,MusicalWork,Song"
71,DBPEDIA_ID/Hægt_og_hljótt,"EurovisionSongContestEntry,Work,MusicalWork,Song"
72,DBPEDIA_ID/Nacida_para_amar,"EurovisionSongContestEntry,Work,MusicalWork,Song"
73,"DBPEDIA_ID/Piano,_piano","EurovisionSongContestEntry,Work,MusicalWork,Song"
74,DBPEDIA_ID/Wer_Liebe_lebt,"EurovisionSongContestEntry,Work,MusicalWork,Song"
75,DBPEDIA_ID/Aufrecht_geh'n,"EurovisionSongContestEntry,Work,MusicalWork,Song"
76,DBPEDIA_ID/Bana_Bana,"EurovisionSongContestEntry,Work,MusicalWork,Song"
77,DBPEDIA_ID/Ce_soir_je_t'attendais,"EurovisionSongContestEntry,Work,MusicalWork,Song"
78,DBPEDIA_ID/Heute_in_Jerusalem,"EurovisionSongContestEntry,Work,MusicalWork,Song"
79,DBPEDIA_ID/I_See_a_Star,"EurovisionSongContestEntry,Work,MusicalWork,Song"
80,DBPEDIA_ID/Mr_Nobody_(Anžej_Dežan_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
81,DBPEDIA_ID/S_druz'yami,"EurovisionSongContestEntry,Work,MusicalWork,Song"
82,DBPEDIA_ID/Talking_to_You,"EurovisionSongContestEntry,Work,MusicalWork,Song"
83,DBPEDIA_ID/Para_llenarme_de_ti,"EurovisionSongContestEntry,Work,MusicalWork,Song"
84,DBPEDIA_ID/Walking_the_Streets_in_the_Rain,"EurovisionSongContestEntry,Work,MusicalWork,Song"
85,DBPEDIA_ID/You're_Summer,"EurovisionSongContestEntry,Work,MusicalWork,Song"
