,entity,classes
0,DBPEDIA_ID/Richard_Edwards_(fashion_company),"TopicalConcept,Fashion"
1,DBPEDIA_ID/Dimension_(shampoo),"TopicalConcept,Fashion"
2,DBPEDIA_ID/Hair_roller,"TopicalConcept,Fashion"
3,Kkonminam,"TopicalConcept,Fashion"
4,DBPEDIA_ID/Tobi_trousers,"TopicalConcept,Fashion"
5,DBPEDIA_ID/Waist_(clothing),"TopicalConcept,Fashion"
6,DBPEDIA_ID/Iceberg_(fashion_house),"TopicalConcept,Fashion"
7,DBPEDIA_ID/Bail_(jewelry),"TopicalConcept,Fashion"
8,DBPEDIA_ID/Clothing_swap,"TopicalConcept,Fashion"
9,DBPEDIA_ID/Gather_(sewing),"TopicalConcept,Fashion"
10,DBPEDIA_ID/Outfit_of_the_day,"TopicalConcept,Fashion"
11,Canepin,"TopicalConcept,Fashion"
12,DBPEDIA_ID/J'Adore_(fragrance),"TopicalConcept,Fashion"
13,DBPEDIA_ID/Party_dress,"TopicalConcept,Fashion"
14,DBPEDIA_ID/Pure_London,"TopicalConcept,Fashion"
15,DBPEDIA_ID/Fujin_(Headgear),"TopicalConcept,Fashion"
16,DBPEDIA_ID/Wedding_dress_of_Princess_Anne,"TopicalConcept,Fashion"
17,DBPEDIA_ID/Hackle_(wig_making),"TopicalConcept,Fashion"
18,DBPEDIA_ID/Circular-collar_robe,"TopicalConcept,Fashion"
19,DBPEDIA_ID/Brogan_(shoes),"TopicalConcept,Fashion"
20,DBPEDIA_ID/Buff_(clothing),"TopicalConcept,Fashion"
21,DBPEDIA_ID/Magic_(trade_show),"TopicalConcept,Fashion"
22,DBPEDIA_ID/Pocket_protector,"TopicalConcept,Fashion"
23,DBPEDIA_ID/Dubai_Fashion_Week,"TopicalConcept,Fashion"
24,DBPEDIA_ID/Brunello_Cucinelli_(company),"TopicalConcept,Fashion"
25,Anti-fashion,"TopicalConcept,Fashion"
26,DBPEDIA_ID/Great_Male_Renunciation,"TopicalConcept,Fashion"
27,DBPEDIA_ID/Pleated_jeans,"TopicalConcept,Fashion"
28,Hwagwan,"TopicalConcept,Fashion"
29,DBPEDIA_ID/Fifth_Avenue_Shoe_Repair,"TopicalConcept,Fashion"
30,DBPEDIA_ID/De_Grisogono__Fashion-stub__1,"TopicalConcept,Fashion"
31,DBPEDIA_ID/Miss_Barbados_World__Fashion-stub__1,"TopicalConcept,Fashion"
32,Pogonotomia,"TopicalConcept,Fashion"
33,DBPEDIA_ID/Fjällräven__Fashion-stub__1,"TopicalConcept,Fashion"
34,DBPEDIA_ID/Mooks_clothing_company__Fashion-stub__1,"TopicalConcept,Fashion"
35,DBPEDIA_ID/Tod's__Fashion-stub__1,"TopicalConcept,Fashion"
36,DBPEDIA_ID/Adeline_André__Fashion-stub__1,"TopicalConcept,Fashion"
37,DBPEDIA_ID/Money_belt,"TopicalConcept,Fashion"
38,DBPEDIA_ID/Frosted_tips,"TopicalConcept,Fashion"
39,Hogeon,"TopicalConcept,Fashion"
40,DBPEDIA_ID/Pin_trading,"TopicalConcept,Fashion"
41,Sagyusam,"TopicalConcept,Fashion"
42,DBPEDIA_ID/Dip_dye,"TopicalConcept,Fashion"
43,DBPEDIA_ID/Freezy_Freakies,"TopicalConcept,Fashion"
44,DBPEDIA_ID/French_wire,"TopicalConcept,Fashion"
45,DBPEDIA_ID/Alison_Nix__Fashion-stub__1,"TopicalConcept,Fashion"
46,DBPEDIA_ID/Andreea_Stancu__Fashion-stub__1,"TopicalConcept,Fashion"
47,Keyur,"TopicalConcept,Fashion"
48,DBPEDIA_ID/Tsumori_Chisato__Fashion-stub__1,"TopicalConcept,Fashion"
49,DBPEDIA_ID/Alessandra_Facchinetti__Fashion-stub__1,"TopicalConcept,Fashion"
50,DBPEDIA_ID/André_Perugia__Fashion-stub__1,"TopicalConcept,Fashion"
51,DBPEDIA_ID/Gérard_Albouy__Fashion-stub__1,"TopicalConcept,Fashion"
52,DBPEDIA_ID/Hoxton_knot,"TopicalConcept,Fashion"
53,DBPEDIA_ID/Alice_Palmer_(designer)__Fashion-stub__1,"TopicalConcept,Fashion"
54,DBPEDIA_ID/Bruno_Banani__Fashion-stub__1,"TopicalConcept,Fashion"
55,DBPEDIA_ID/Fashion_Net__Fashion-stub__1,"TopicalConcept,Fashion"
56,DBPEDIA_ID/House_dress,"TopicalConcept,Fashion"
57,DBPEDIA_ID/Bon_Worth__Fashion-stub__1,"TopicalConcept,Fashion"
58,DBPEDIA_ID/Marty_Ruza__Fashion-stub__1,"TopicalConcept,Fashion"
59,DBPEDIA_ID/Cynthia_Bergstrom,"TopicalConcept,Fashion"
60,DBPEDIA_ID/Dutch_cap,"TopicalConcept,Fashion"
61,Hatpin,"TopicalConcept,Fashion"
62,Isaia,"TopicalConcept,Fashion"
63,DBPEDIA_ID/Navy_(perfume),"TopicalConcept,Fashion"
64,DBPEDIA_ID/Pixie_cut,"TopicalConcept,Fashion"
65,DBPEDIA_ID/Soul_patch,"TopicalConcept,Fashion"
66,DBPEDIA_ID/Business_casual,"TopicalConcept,Fashion"
67,DBPEDIA_ID/Buster_Brown_suit,"TopicalConcept,Fashion"
68,Calfskin,"TopicalConcept,Fashion"
69,Coatee,"TopicalConcept,Fashion"
70,DBPEDIA_ID/MANGO_Fashion_Awards,"TopicalConcept,Fashion"
