,entity,classes
0,DBPEDIA_ID/Hubert_de_Givenchy,"FashionDesigner,Person,Agent,Artist"
1,DBPEDIA_ID/Christian_Dior,"FashionDesigner,Person,Agent,Artist"
2,DBPEDIA_ID/Emilio_Pucci,"FashionDesigner,Person,Agent,Artist"
3,DBPEDIA_ID/Zoran_(designer),"FashionDesigner,Person,Agent,Artist"
4,DBPEDIA_ID/Ennio_Capasa,"FashionDesigner,Person,Agent,Artist"
5,DBPEDIA_ID/Jean_Carles,"FashionDesigner,Person,Agent,Artist"
6,DBPEDIA_ID/John_Richmond_(fashion_designer),"FashionDesigner,Person,Agent,Artist"
7,DBPEDIA_ID/Josie_Natori,"FashionDesigner,Person,Agent,Artist"
8,DBPEDIA_ID/Katie_Perry,"FashionDesigner,Person,Agent,Artist"
9,DBPEDIA_ID/William_Baker_(fashion_designer),"FashionDesigner,Person,Agent,Artist"
10,DBPEDIA_ID/Camilla_Thulin,"FashionDesigner,Person,Agent,Artist"
11,DBPEDIA_ID/Alexis_Mabille,"FashionDesigner,Person,Agent,Artist"
12,DBPEDIA_ID/Barbara_Becker,"FashionDesigner,Person,Agent,Artist"
13,DBPEDIA_ID/Charles_James_(designer),"FashionDesigner,Person,Agent,Artist"
14,DBPEDIA_ID/Manish_Arora,"FashionDesigner,Person,Agent,Artist"
15,DBPEDIA_ID/Manish_Malhotra,"FashionDesigner,Person,Agent,Artist"
16,DBPEDIA_ID/Mary_Wills,"FashionDesigner,Person,Agent,Artist"
17,DBPEDIA_ID/Salvatore_J._Cesarani,"FashionDesigner,Person,Agent,Artist"
18,DBPEDIA_ID/Stéphane_Rolland,"FashionDesigner,Person,Agent,Artist"
19,DBPEDIA_ID/Thom_Browne,"FashionDesigner,Person,Agent,Artist"
20,DBPEDIA_ID/Tim_Hamilton_(designer),"FashionDesigner,Person,Agent,Artist"
21,DBPEDIA_ID/Brian_Lichtenberg,"FashionDesigner,Person,Agent,Artist"
22,DBPEDIA_ID/Daniel_Hechter,"FashionDesigner,Person,Agent,Artist"
23,DBPEDIA_ID/Abigail_Keats,"FashionDesigner,Person,Agent,Artist"
24,DBPEDIA_ID/Madame_Grès,"FashionDesigner,Person,Agent,Artist"
25,DBPEDIA_ID/Ray_Petri,"FashionDesigner,Person,Agent,Artist"
26,DBPEDIA_ID/Diane_Pernet,"FashionDesigner,Person,Agent,Artist"
27,DBPEDIA_ID/Sadaf_Malaterre,"FashionDesigner,Person,Agent,Artist"
28,DBPEDIA_ID/Eri_Matsui,"FashionDesigner,Person,Agent,Artist"
29,DBPEDIA_ID/Tara_Jarmon,"FashionDesigner,Person,Agent,Artist"
30,DBPEDIA_ID/John_Hetherington,"FashionDesigner,Person,Agent,Artist"
31,DBPEDIA_ID/Peter_Russell_(fashion_designer),"FashionDesigner,Person,Agent,Artist"
32,DBPEDIA_ID/Robert_Cary-Williams,"FashionDesigner,Person,Agent,Artist"
33,DBPEDIA_ID/Roberto_Capucci,"FashionDesigner,Person,Agent,Artist"
34,DBPEDIA_ID/Uli_Herzner,"FashionDesigner,Person,Agent,Artist"
35,"DBPEDIA_ID/Willy_Bogner,_Jr.","FashionDesigner,Person,Agent,Artist"
36,DBPEDIA_ID/Dean_and_Dan_Caten,"FashionDesigner,Person,Agent,Artist"
37,DBPEDIA_ID/Valentino_(fashion_designer),"FashionDesigner,Person,Agent,Artist"
38,DBPEDIA_ID/Hussein_Chalayan,"FashionDesigner,Person,Agent,Artist"
39,DBPEDIA_ID/Wayne_Hemingway,"FashionDesigner,Person,Agent,Artist"
