,entity,classes
0,DBPEDIA_ID/Pyrrosia_rupestris,"Plant,Eukaryote,Species,Fern"
1,DBPEDIA_ID/Asplenium_aequibasis,"Plant,Eukaryote,Species,Fern"
2,Cyathea,"Plant,Eukaryote,Species,Fern"
3,DBPEDIA_ID/Asplenium_bulbiferum,"Plant,Eukaryote,Species,Fern"
4,DBPEDIA_ID/Asplenium_×_kentuckiense,"Plant,Eukaryote,Species,Fern"
5,DBPEDIA_ID/Cyathea_colensoi,"Plant,Eukaryote,Species,Fern"
6,DBPEDIA_ID/Cyathea_ledermannii,"Plant,Eukaryote,Species,Fern"
7,Loxogrammeae,"Plant,Eukaryote,Species,Fern"
8,DBPEDIA_ID/Polystichum_aleuticum,"Plant,Eukaryote,Species,Fern"
9,DBPEDIA_ID/Polystichum_mohrioides,"Plant,Eukaryote,Species,Fern"
10,DBPEDIA_ID/Tectaria_subrepanda,"Plant,Eukaryote,Species,Fern"
11,Tempskya,"Plant,Eukaryote,Species,Fern"
12,Vittarioideae,"Plant,Eukaryote,Species,Fern"
13,Cyatheaceae,"Plant,Eukaryote,Species,Fern"
14,DBPEDIA_ID/Trichomanes_reniforme,"Plant,Eukaryote,Species,Fern"
15,Dicksonia,"Plant,Eukaryote,Species,Fern"
16,DBPEDIA_ID/Asplenium_antiquum,"Plant,Eukaryote,Species,Fern"
17,DBPEDIA_ID/Asplenium_bradleyi,"Plant,Eukaryote,Species,Fern"
18,DBPEDIA_ID/Asplenium_pinnatifidum,"Plant,Eukaryote,Species,Fern"
19,DBPEDIA_ID/Asplenium_polyodon,"Plant,Eukaryote,Species,Fern"
20,DBPEDIA_ID/Asplenium_resiliens,"Plant,Eukaryote,Species,Fern"
21,DBPEDIA_ID/Athyrium_niponicum,"Plant,Eukaryote,Species,Fern"
22,DBPEDIA_ID/Botrychium_ascendens,"Plant,Eukaryote,Species,Fern"
23,DBPEDIA_ID/Botrychium_matricariifolium,"Plant,Eukaryote,Species,Fern"
24,DBPEDIA_ID/Botrychium_minganense,"Plant,Eukaryote,Species,Fern"
25,DBPEDIA_ID/Cheilanthes_feei,"Plant,Eukaryote,Species,Fern"
26,DBPEDIA_ID/Cibotium_barometz,"Plant,Eukaryote,Species,Fern"
27,DBPEDIA_ID/Cryptogramma_acrostichoides,"Plant,Eukaryote,Species,Fern"
28,DBPEDIA_ID/Cystopteris_bulbifera,"Plant,Eukaryote,Species,Fern"
29,DBPEDIA_ID/Cystopteris_montana,"Plant,Eukaryote,Species,Fern"
30,DBPEDIA_ID/Cystopteris_protrusa,"Plant,Eukaryote,Species,Fern"
31,DBPEDIA_ID/Tectaria_zeylanica,"Plant,Eukaryote,Species,Fern"
32,DBPEDIA_ID/Woodsia_obtusa,"Plant,Eukaryote,Species,Fern"
33,DBPEDIA_ID/Woodsia_oregana,"Plant,Eukaryote,Species,Fern"
34,DBPEDIA_ID/Woodwardia_areolata,"Plant,Eukaryote,Species,Fern"
35,DBPEDIA_ID/Woodwardia_unigemmata,"Plant,Eukaryote,Species,Fern"
36,DBPEDIA_ID/Woodwardia_virginica,"Plant,Eukaryote,Species,Fern"
37,DBPEDIA_ID/Adiantum_edgeworthii,"Plant,Eukaryote,Species,Fern"
38,DBPEDIA_ID/Adiantum_pedatum,"Plant,Eukaryote,Species,Fern"
39,DBPEDIA_ID/Aglaomorpha_meyeniana,"Plant,Eukaryote,Species,Fern"
40,DBPEDIA_ID/Dennstaedtia_punctilobula,"Plant,Eukaryote,Species,Fern"
41,DBPEDIA_ID/Deparia_acrostichoides,"Plant,Eukaryote,Species,Fern"
42,DBPEDIA_ID/Dicranopteris_linearis,"Plant,Eukaryote,Species,Fern"
43,DBPEDIA_ID/Dryopteris_clintoniana,"Plant,Eukaryote,Species,Fern"
44,DBPEDIA_ID/Dryopteris_intermedia,"Plant,Eukaryote,Species,Fern"
45,DBPEDIA_ID/Equisetum_laevigatum,"Plant,Eukaryote,Species,Fern"
46,DBPEDIA_ID/Gymnocarpium_robertianum,"Plant,Eukaryote,Species,Fern"
47,DBPEDIA_ID/Ophioglossum_pusillum,"Plant,Eukaryote,Species,Fern"
48,DBPEDIA_ID/Pellaea_atropurpurea,"Plant,Eukaryote,Species,Fern"
49,DBPEDIA_ID/Pellaea_glabella,"Plant,Eukaryote,Species,Fern"
50,DBPEDIA_ID/Phegopteris_hexagonoptera,"Plant,Eukaryote,Species,Fern"
51,DBPEDIA_ID/Pleopeltis_polypodioides,"Plant,Eukaryote,Species,Fern"
52,DBPEDIA_ID/Polypodium_appalachianum,"Plant,Eukaryote,Species,Fern"
53,DBPEDIA_ID/Pteris_ensiformis,"Plant,Eukaryote,Species,Fern"
54,DBPEDIA_ID/Cyathea_sect._Cyathea,"Plant,Eukaryote,Species,Fern"
55,DBPEDIA_ID/Cyathea_subg._Cyathea,"Plant,Eukaryote,Species,Fern"
56,DBPEDIA_ID/Dicksonia_arborescens,"Plant,Eukaryote,Species,Fern"
57,DBPEDIA_ID/Asplenium_serratum,"Plant,Eukaryote,Species,Fern"
58,DBPEDIA_ID/Cyathea_glauca,"Plant,Eukaryote,Species,Fern"
59,DBPEDIA_ID/Cyathea_podophylla,"Plant,Eukaryote,Species,Fern"
60,DBPEDIA_ID/Cyathea_smithii,"Plant,Eukaryote,Species,Fern"
61,DBPEDIA_ID/Asplenium_pteridoides,"Plant,Eukaryote,Species,Fern"
62,DBPEDIA_ID/Blechnum_cartilagineum,"Plant,Eukaryote,Species,Fern"
63,DBPEDIA_ID/Christella_cyatheoides,"Plant,Eukaryote,Species,Fern"
64,DBPEDIA_ID/Cibotium_regale,"Plant,Eukaryote,Species,Fern"
65,DBPEDIA_ID/Polystichum_richardii,"Plant,Eukaryote,Species,Fern"
66,DBPEDIA_ID/Eupolypods_II,"Plant,Eukaryote,Species,Fern"
67,DBPEDIA_ID/Adiantum_vivesii,"Plant,Eukaryote,Species,Fern"
68,DBPEDIA_ID/Blechnum_maximum,"Plant,Eukaryote,Species,Fern"
69,DBPEDIA_ID/Diplazium_australe,"Plant,Eukaryote,Species,Fern"
70,DBPEDIA_ID/Leptochilus_(plant),"Plant,Eukaryote,Species,Fern"
71,DBPEDIA_ID/Asplenium_vespertinum,"Plant,Eukaryote,Species,Fern"
72,DBPEDIA_ID/Gleichenia_alpina,"Plant,Eukaryote,Species,Fern"
73,DBPEDIA_ID/Leptopteris_hymenophylloides,"Plant,Eukaryote,Species,Fern"
74,Leucotrichum,"Plant,Eukaryote,Species,Fern"
75,DBPEDIA_ID/Melpomene_brevipes,"Plant,Eukaryote,Species,Fern"
76,DBPEDIA_ID/Microsorum_pustulatum,"Plant,Eukaryote,Species,Fern"
77,Pecopteris,"Plant,Eukaryote,Species,Fern"
78,Todea,"Plant,Eukaryote,Species,Fern"
79,DBPEDIA_ID/Cyathea_sect._Sphaeropteris,"Plant,Eukaryote,Species,Fern"
80,DBPEDIA_ID/×_Cyathidaria,"Plant,Eukaryote,Species,Fern"
81,DBPEDIA_ID/Cyathea_kanehirae,"Plant,Eukaryote,Species,Fern"
82,Platycerium,"Plant,Eukaryote,Species,Fern"
83,Salviniaceae,"Plant,Eukaryote,Species,Fern"
84,DBPEDIA_ID/Blechnum_eburneum,"Plant,Eukaryote,Species,Fern"
85,DBPEDIA_ID/Culcita_(plant),"Plant,Eukaryote,Species,Fern"
86,Drynarioideae,"Plant,Eukaryote,Species,Fern"
87,DBPEDIA_ID/Lindsaea_trichomanoides,"Plant,Eukaryote,Species,Fern"
88,DBPEDIA_ID/Blechnum_durum,"Plant,Eukaryote,Species,Fern"
89,DBPEDIA_ID/Blechnum_gibbum,"Plant,Eukaryote,Species,Fern"
90,DBPEDIA_ID/Diblemma_(plant),"Plant,Eukaryote,Species,Fern"
91,DBPEDIA_ID/Pilularia_americana,"Plant,Eukaryote,Species,Fern"
92,DBPEDIA_ID/Polypodium_quitense,"Plant,Eukaryote,Species,Fern"
93,Rhacophytales,"Plant,Eukaryote,Species,Fern"
94,DBPEDIA_ID/Caobangia_squamata,"Plant,Eukaryote,Species,Fern"
