,entity,classes
0,DBPEDIA_ID/Barb_Wire,"ComicsCharacter,Person,FictionalCharacter,Agent"
1,Batman,"ComicsCharacter,Person,FictionalCharacter,Agent"
2,DBPEDIA_ID/Big_Brother_(Nineteen_Eighty-Four),"Person,FictionalCharacter,Agent"
3,DBPEDIA_ID/Calvin_and_Hobbes,"Person,FictionalCharacter,Agent"
4,DBPEDIA_ID/Captain_America,"ComicsCharacter,Person,FictionalCharacter,Agent"
5,DBPEDIA_ID/Clark_Kent,"ComicsCharacter,Person,FictionalCharacter,Agent"
6,DBPEDIA_ID/Conan_the_Barbarian,"Person,FictionalCharacter,Agent"
7,DBPEDIA_ID/Corum_Jhaelen_Irsei,"Person,FictionalCharacter,Agent"
8,DBPEDIA_ID/Daisy_Duck,"Person,FictionalCharacter,Agent"
9,DBPEDIA_ID/Dodo_(Alice's_Adventures_in_Wonderland),"Person,FictionalCharacter,Agent"
10,Falstaff,"Person,FictionalCharacter,Agent"
11,Galactus,"ComicsCharacter,Person,FictionalCharacter,Agent"
12,Godzilla,"Person,FictionalCharacter,Agent"
13,DBPEDIA_ID/HAL_9000,"Person,FictionalCharacter,Agent"
14,DBPEDIA_ID/Hercule_Poirot,"Person,FictionalCharacter,Agent"
15,"DBPEDIA_ID/Huey,_Dewey,_and_Louie","Person,FictionalCharacter,Agent"
16,DBPEDIA_ID/Iceman_(comics),"ComicsCharacter,Person,FictionalCharacter,Agent"
17,DBPEDIA_ID/Indiana_Jones,"Person,FictionalCharacter,Agent"
18,DBPEDIA_ID/Inspector_Morse,"Person,FictionalCharacter,Agent"
19,DBPEDIA_ID/Jean_Grey,"ComicsCharacter,Person,FictionalCharacter,Agent"
20,DBPEDIA_ID/Judge_Dredd,"ComicsCharacter,Person,FictionalCharacter,Agent"
21,DBPEDIA_ID/Kermit_the_Frog,"Person,FictionalCharacter,Agent"
22,DBPEDIA_ID/Lex_Luthor,"ComicsCharacter,Person,FictionalCharacter,Agent"
23,DBPEDIA_ID/Lois_Lane,"ComicsCharacter,Person,FictionalCharacter,Agent"
24,DBPEDIA_ID/Lord_Peter_Wimsey,"Person,FictionalCharacter,Agent"
25,DBPEDIA_ID/Ludwig_Von_Drake,"Person,FictionalCharacter,Agent"
26,DBPEDIA_ID/Mickey_Mouse,"Person,FictionalCharacter,Agent"
27,DBPEDIA_ID/Miss_Marple,"Person,FictionalCharacter,Agent"
28,Obelix,"ComicsCharacter,Person,FictionalCharacter,Agent"
29,DBPEDIA_ID/Paul_Bunyan,"Person,FictionalCharacter,Agent"
30,DBPEDIA_ID/Piter_De_Vries,"Person,FictionalCharacter,Agent"
31,DBPEDIA_ID/Professor_X,"ComicsCharacter,Person,FictionalCharacter,Agent"
