,entity,classes
0,DBPEDIA_ID/Hockey_Junior_World_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
1,DBPEDIA_ID/Hockey_World_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
2,DBPEDIA_ID/Women's_Hockey_Junior_World_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
3,DBPEDIA_ID/Women's_Hockey_World_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
4,DBPEDIA_ID/Premier_Hockey_League,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
5,DBPEDIA_ID/Hockey_Asia_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
6,DBPEDIA_ID/McCullough_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
7,DBPEDIA_ID/Ulster_Senior_Schoolgirls'_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
8,DBPEDIA_ID/Hockey_African_Cup_for_Nations,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
9,DBPEDIA_ID/Hockey_Junior_Asia_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
10,DBPEDIA_ID/Men's_FIH_Hockey_World_League_Ranking_record,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
11,DBPEDIA_ID/Burney_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
12,DBPEDIA_ID/Pan_American_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
13,DBPEDIA_ID/EuroHockey_Nations_Championship,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
14,DBPEDIA_ID/EuroHockey_Indoor_Nations_Championship,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
15,DBPEDIA_ID/Hockey_Champions_Challenge_I,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
16,DBPEDIA_ID/FIH_Hockey_World_League,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
17,DBPEDIA_ID/Malaysia_Hockey_League,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
18,DBPEDIA_ID/Greek_Field_Hockey_League,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
19,DBPEDIA_ID/Pan_American_Junior_Championship,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
20,DBPEDIA_ID/Asian_Hockey_Champions_Trophy,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
21,DBPEDIA_ID/Oceania_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
22,DBPEDIA_ID/Sultan_Azlan_Shah_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
23,DBPEDIA_ID/Hockey_Champions_Trophy,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
24,DBPEDIA_ID/Australian_Hockey_League,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
25,DBPEDIA_ID/Indoor_Hockey_World_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
26,DBPEDIA_ID/Malaysia_Junior_Hockey_League,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
27,DBPEDIA_ID/Hockey_Asian_Champions_Club_Cup,"FieldHockeyLeague,Organisation,SportsLeague,Agent"
