,entity,classes
0,DBPEDIA_ID/Brian_Boitano,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
1,DBPEDIA_ID/Kristi_Yamaguchi,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
2,DBPEDIA_ID/Michelle_Kwan,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
3,DBPEDIA_ID/Allie_Hann-McCurdy,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
4,DBPEDIA_ID/Juri_Litvinov,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
5,DBPEDIA_ID/Moris_Pfeifhofer,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
6,DBPEDIA_ID/Rika_Hongo,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
7,DBPEDIA_ID/Alexandra_Stepanova,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
8,DBPEDIA_ID/Alexei_Kozlov_(figure_skater),"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
9,DBPEDIA_ID/Alexei_Vasilevsky_(figure_skater),"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
10,DBPEDIA_ID/Caitlin_Mallory,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
11,DBPEDIA_ID/Cecilia_Colledge,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
12,DBPEDIA_ID/Daniel_Wende,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
13,DBPEDIA_ID/Edel_Randem,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
14,DBPEDIA_ID/Hans_Lindh,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
15,DBPEDIA_ID/Ilona_Senderek,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
16,DBPEDIA_ID/Ivana_Buzková,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
17,DBPEDIA_ID/Ivana_Reitmayerová,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
18,DBPEDIA_ID/Jiří_Procházka,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
19,DBPEDIA_ID/Juri_Kurakin,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
20,DBPEDIA_ID/Karl_Zenger,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
21,DBPEDIA_ID/Kitty_Carruthers,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
22,DBPEDIA_ID/Liselotte_Landbeck,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
23,DBPEDIA_ID/Loren_Galler-Rabinowitz,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
24,DBPEDIA_ID/Marina_Cherkasova,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
25,DBPEDIA_ID/Marta_Andrade,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
26,DBPEDIA_ID/Matthieu_Jost,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
27,DBPEDIA_ID/Michael_Phillips_(figure_skater),"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
28,DBPEDIA_ID/Mitchell_Islam,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
29,DBPEDIA_ID/Nikolai_Morozov_(figure_skater),"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
30,DBPEDIA_ID/Peter_Carruthers_(figure_skater),"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
31,DBPEDIA_ID/Priscilla_Hill,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
32,DBPEDIA_ID/Roman_Kostomarov,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
33,DBPEDIA_ID/Sarah_Meier_(figure_skater),"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
34,DBPEDIA_ID/Shira_Willner,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
35,DBPEDIA_ID/Sissy_Schwarz,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
36,DBPEDIA_ID/Takahito_Mura,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
37,DBPEDIA_ID/Tanja_Kolbe,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
38,DBPEDIA_ID/Tong_Jian,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
39,DBPEDIA_ID/Ulrich_Salchow,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
40,DBPEDIA_ID/Evgenia_Medvedeva,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
41,DBPEDIA_ID/Maximin_Coia,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
42,DBPEDIA_ID/Alexander_Shubin,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
43,DBPEDIA_ID/Alexandre_Fadeev,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
44,DBPEDIA_ID/Arthur_Apfel,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
45,DBPEDIA_ID/Charles_Snelling_(figure_skater),"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
46,DBPEDIA_ID/Curran_Oi,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
47,DBPEDIA_ID/Daria_Popova,"Person,Athlete,FigureSkater,WinterSportPlayer,Agent"
