,entity,classes
0,DBPEDIA_ID/Arab_Film_Festival,"FilmFestival,Event,SocietalEvent"
1,DBPEDIA_ID/Boston_Film_Festival,"FilmFestival,Event,SocietalEvent"
2,DBPEDIA_ID/DORF_(film_festival),"FilmFestival,Event,SocietalEvent"
3,DBPEDIA_ID/Ladakh_International_Film_Festival,"FilmFestival,Event,SocietalEvent"
4,DBPEDIA_ID/Leeds_International_Film_Festival,"FilmFestival,Event,SocietalEvent"
5,DBPEDIA_ID/London_Independent_Film_Festival,"FilmFestival,Event,SocietalEvent"
6,DBPEDIA_ID/Lumière_Film_Festival,"FilmFestival,Event,SocietalEvent"
7,DBPEDIA_ID/Sarajevo_Film_Festival,"FilmFestival,Event,SocietalEvent"
8,DBPEDIA_ID/Sundance_Film_Festival,"FilmFestival,Event,SocietalEvent"
9,DBPEDIA_ID/Vancouver_Asian_Film_Festival,"FilmFestival,Event,SocietalEvent"
10,DBPEDIA_ID/Vancouver_International_Film_Festival,"FilmFestival,Event,SocietalEvent"
11,DBPEDIA_ID/City_University_Film_Festival,"FilmFestival,Event,SocietalEvent"
12,DBPEDIA_ID/Warsaw_Jewish_Film_Festival,"FilmFestival,Event,SocietalEvent"
13,DBPEDIA_ID/Zagreb_Jewish_Film_Festival,"FilmFestival,Event,SocietalEvent"
14,DBPEDIA_ID/14th_Venice_International_Film_Festival,"FilmFestival,Event,SocietalEvent"
15,DBPEDIA_ID/24th_Yokohama_Film_Festival,"FilmFestival,Event,SocietalEvent"
16,DBPEDIA_ID/24/7_Film_Festival,"FilmFestival,Event,SocietalEvent"
17,DBPEDIA_ID/Jackson_Hole_Wildlife_Film_Festival,"FilmFestival,Event,SocietalEvent"
18,DBPEDIA_ID/Maverick_Movie_Awards,"FilmFestival,Event,SocietalEvent"
19,DBPEDIA_ID/Mission_Creek_Music_and_Arts_Festival,"FilmFestival,Event,SocietalEvent"
20,DBPEDIA_ID/Reykjavík_International_Film_Festival,"FilmFestival,Event,SocietalEvent"
21,DBPEDIA_ID/2006_Cannes_Film_Festival,"FilmFestival,Event,SocietalEvent"
22,DBPEDIA_ID/2012_Stockholm_International_Film_Festival,"FilmFestival,Event,SocietalEvent"
23,DBPEDIA_ID/2nd_Yokohama_Film_Festival,"FilmFestival,Event,SocietalEvent"
