,entity,classes
0,Merlot,"FloweringPlant,Plant,Eukaryote,Species,Grape"
1,Argant,"FloweringPlant,Plant,Eukaryote,Species,Grape"
2,DBPEDIA_ID/Duras_(grape),"FloweringPlant,Plant,Eukaryote,Species,Grape"
3,DBPEDIA_ID/Green_Hungarian,"FloweringPlant,Plant,Eukaryote,Species,Grape"
4,DBPEDIA_ID/Kerner_(grape),"FloweringPlant,Plant,Eukaryote,Species,Grape"
5,DBPEDIA_ID/Mondeuse_blanche,"FloweringPlant,Plant,Eukaryote,Species,Grape"
6,DBPEDIA_ID/Favorita_(grape),"FloweringPlant,Plant,Eukaryote,Species,Grape"
7,DBPEDIA_ID/Helicteres_isora,"FloweringPlant,Plant,Eukaryote,Species"
8,DBPEDIA_ID/Melody_(grape),"FloweringPlant,Plant,Eukaryote,Species,Grape"
9,Tulip,"FloweringPlant,Plant,Eukaryote,Species"
10,DBPEDIA_ID/Coprosma_grandifolia,"FloweringPlant,Plant,Eukaryote,Species"
11,DBPEDIA_ID/Albana_(grape),"FloweringPlant,Plant,Eukaryote,Species,Grape"
12,DBPEDIA_ID/Baroque_(grape),"FloweringPlant,Plant,Eukaryote,Species,Grape"
13,DBPEDIA_ID/Muscat_of_Alexandria,"FloweringPlant,Plant,Eukaryote,Species,Grape"
14,Solaranthus,"FloweringPlant,Plant,Eukaryote,Species"
15,Grillo,"FloweringPlant,Plant,Eukaryote,Species,Grape"
16,DBPEDIA_ID/Pinot_Meunier,"FloweringPlant,Plant,Eukaryote,Species,Grape"
17,Reichensteiner,"FloweringPlant,Plant,Eukaryote,Species,Grape"
18,DBPEDIA_ID/Aubin_blanc,"FloweringPlant,Plant,Eukaryote,Species,Grape"
19,DBPEDIA_ID/Alfrocheiro_Preto,"FloweringPlant,Plant,Eukaryote,Species,Grape"
20,DBPEDIA_ID/Arbois_(grape),"FloweringPlant,Plant,Eukaryote,Species,Grape"
21,DBPEDIA_ID/Coprosma_repens,"FloweringPlant,Plant,Eukaryote,Species"
22,Doradillo,"FloweringPlant,Plant,Eukaryote,Species,Grape"
23,DBPEDIA_ID/Grk_Bijeli,"FloweringPlant,Plant,Eukaryote,Species,Grape"
24,DBPEDIA_ID/Malingre_Précoce,"FloweringPlant,Plant,Eukaryote,Species,Grape"
25,DBPEDIA_ID/Muscat_d'Eisenstadt,"FloweringPlant,Plant,Eukaryote,Species,Grape"
26,DBPEDIA_ID/Cornalin_d'Aoste,"FloweringPlant,Plant,Eukaryote,Species,Grape"
27,DBPEDIA_ID/Humagne_Blanche,"FloweringPlant,Plant,Eukaryote,Species,Grape"
28,Alvarelhão,"FloweringPlant,Plant,Eukaryote,Species,Grape"
29,DBPEDIA_ID/Petit_Verdot,"FloweringPlant,Plant,Eukaryote,Species,Grape"
30,DBPEDIA_ID/Betula_alleghaniensis,"FloweringPlant,Plant,Eukaryote,Species"
31,DBPEDIA_ID/Spartina_pectinata,"FloweringPlant,Plant,Eukaryote,Species"
