,entity,classes
0,DBPEDIA_ID/Bombay_Sapphire,"Food,Beverage"
1,DBPEDIA_ID/Bubble_and_squeak,Food
2,DBPEDIA_ID/Bubble_tea,Food
3,Budweiser,"Food,Beverage"
4,DBPEDIA_ID/Bundaberg_Rum,"Food,Beverage"
5,DBPEDIA_ID/Caesar_salad,Food
6,Chocolate,Food
7,Coca-Cola,"Food,Beverage"
8,Cola,"Food,Beverage"
9,Cookie,Food
10,Couscous,Food
11,Curry,Food
12,Dessert,Food
13,DBPEDIA_ID/Foster's_Lager,"Food,Beverage"
14,DBPEDIA_ID/French_fries,Food
15,Gazpacho,Food
16,DBPEDIA_ID/Gelatin_dessert,Food
17,Grits,Food
18,Haggis,Food
19,Irn-Bru,"Food,Beverage"
20,Jell-O,Food
21,Kahlúa,"Food,Beverage"
22,DBPEDIA_ID/Korean_cuisine,Food
23,Kutia,Food
24,Macaroni,Food
25,DBPEDIA_ID/Maple_syrup,Food
26,Matzo,Food
27,Minestrone,Food
28,Mousse,Food
29,Moxie,"Food,Beverage"
30,DBPEDIA_ID/Neapolitan_ice_cream,Food
31,DBPEDIA_ID/Neapolitan_sauce,Food
32,Pasta,Food
33,Pepsi,"Food,Beverage"
34,DBPEDIA_ID/Pinconning_cheese,"Food,Cheese"
35,Pizza,Food
36,DBPEDIA_ID/Potato_chip,Food
37,Rosół,Food
38,DBPEDIA_ID/Soup_all'Imperatrice,Food
39,DBPEDIA_ID/Soup_alla_Canavese,Food
40,DBPEDIA_ID/Soup_alla_modenese,Food
41,DBPEDIA_ID/Spam_(food),Food
42,DBPEDIA_ID/Stella_Artois,"Food,Beverage"
43,DBPEDIA_ID/Submarine_sandwich,Food
44,DBPEDIA_ID/Suprême_sauce,Food
45,DBPEDIA_ID/İskender_kebap,Food
46,DBPEDIA_ID/Candy_corn,Food
47,DBPEDIA_ID/Jelly_bean,Food
48,Anmitsu,Food
49,DBPEDIA_ID/Apple_pie,Food
50,Croissant,Food
51,Dango,Food
52,Falafel,Food
53,Kakigōri,Food
54,Knäck,Food
