,entity,classes
0,Brabham,"Organisation,SportsTeam,Agent,FormulaOneTeam"
1,McLaren,"Organisation,SportsTeam,Agent,FormulaOneTeam"
2,DBPEDIA_ID/Ensign_Racing,"Organisation,SportsTeam,Agent,FormulaOneTeam"
3,DBPEDIA_ID/Ecurie_Ecosse,"Organisation,SportsTeam,Agent,FormulaOneTeam"
4,DBPEDIA_ID/US_F1_Team,"Organisation,SportsTeam,Agent,FormulaOneTeam"
5,DBPEDIA_ID/Hesketh_Racing,"Organisation,SportsTeam,Agent,FormulaOneTeam"
6,DBPEDIA_ID/McGuire_(Formula_One),"Organisation,SportsTeam,Agent,FormulaOneTeam"
7,DBPEDIA_ID/British_Racing_Motors,"Organisation,SportsTeam,Agent,FormulaOneTeam"
8,DBPEDIA_ID/Spyker_F1,"Organisation,SportsTeam,Agent,FormulaOneTeam"
9,DBPEDIA_ID/Walter_Wolf_Racing,"Organisation,SportsTeam,Agent,FormulaOneTeam"
10,Connew,"Organisation,SportsTeam,Agent,FormulaOneTeam"
11,Fondmetal,"Organisation,SportsTeam,Agent,FormulaOneTeam"
12,Forti,"Organisation,SportsTeam,Agent,FormulaOneTeam"
13,DBPEDIA_ID/Arrows_Grand_Prix_International,"Organisation,SportsTeam,Agent,FormulaOneTeam"
14,DBPEDIA_ID/Silvio_Moser_Racing_Team,"Organisation,SportsTeam,Agent,FormulaOneTeam"
15,DBPEDIA_ID/Lotus_F1,"Organisation,SportsTeam,Agent,FormulaOneTeam"
16,DBPEDIA_ID/Leyton_House_Racing,"Organisation,SportsTeam,Agent,FormulaOneTeam"
17,Surtees,"Organisation,SportsTeam,Agent,FormulaOneTeam"
18,Osella,"Organisation,SportsTeam,Agent,FormulaOneTeam"
19,DBPEDIA_ID/Equipe_Ligier,"Organisation,SportsTeam,Agent,FormulaOneTeam"
20,Derrington-Francis,"Organisation,SportsTeam,Agent,FormulaOneTeam"
21,DBPEDIA_ID/BS_Fabrications,"Organisation,SportsTeam,Agent,FormulaOneTeam"
22,DBPEDIA_ID/Bernard_White_Racing,"Organisation,SportsTeam,Agent,FormulaOneTeam"
23,DBPEDIA_ID/Chris_Amon_Racing,"Organisation,SportsTeam,Agent,FormulaOneTeam"
24,DBPEDIA_ID/Midland_F1_Racing,"Organisation,SportsTeam,Agent,FormulaOneTeam"
25,DBPEDIA_ID/RAM_Racing,"Organisation,SportsTeam,Agent,FormulaOneTeam"
26,Realpha,"Organisation,SportsTeam,Agent,FormulaOneTeam"
27,DBPEDIA_ID/Automobiles_Martini,"Organisation,SportsTeam,Agent,FormulaOneTeam"
28,DBPEDIA_ID/British_American_Racing,"Organisation,SportsTeam,Agent,FormulaOneTeam"
29,DBPEDIA_ID/British_Racing_Partnership,"Organisation,SportsTeam,Agent,FormulaOneTeam"
30,DBPEDIA_ID/Jordan_Grand_Prix,"Organisation,SportsTeam,Agent,FormulaOneTeam"
31,DBPEDIA_ID/Mercedes-Benz_in_Formula_One,"Organisation,SportsTeam,Agent,FormulaOneTeam"
32,DBPEDIA_ID/Team_Lotus,"Organisation,SportsTeam,Agent,FormulaOneTeam"
33,DBPEDIA_ID/Team_Lotus_(2010–11),"Organisation,SportsTeam,Agent,FormulaOneTeam"
34,DBPEDIA_ID/Frank_Williams_Racing_Cars,"Organisation,SportsTeam,Agent,FormulaOneTeam"
35,Minardi,"Organisation,SportsTeam,Agent,FormulaOneTeam"
36,DBPEDIA_ID/Williams_Grand_Prix_Engineering,"Organisation,SportsTeam,Agent,FormulaOneTeam"
37,DBPEDIA_ID/Brawn_GP,"Organisation,SportsTeam,Agent,FormulaOneTeam"
38,DBPEDIA_ID/Kojima_Engineering,"Organisation,SportsTeam,Agent,FormulaOneTeam"
39,Rebaque,"Organisation,SportsTeam,Agent,FormulaOneTeam"
40,DBPEDIA_ID/Ecurie_Bonnier,"Organisation,SportsTeam,Agent,FormulaOneTeam"
41,DBPEDIA_ID/Ecurie_Francorchamps,"Organisation,SportsTeam,Agent,FormulaOneTeam"
42,DBPEDIA_ID/Ecurie_Maarsbergen,"Organisation,SportsTeam,Agent,FormulaOneTeam"
43,DBPEDIA_ID/Ecurie_Rosier,"Organisation,SportsTeam,Agent,FormulaOneTeam"
44,DBPEDIA_ID/Super_Aguri_F1,"Organisation,SportsTeam,Agent,FormulaOneTeam"
45,DBPEDIA_ID/Fittipaldi_Automotive,"Organisation,SportsTeam,Agent,FormulaOneTeam"
46,DBPEDIA_ID/Jaguar_Racing,"Organisation,SportsTeam,Agent,FormulaOneTeam"
