,entity,classes
0,Septoria,"Fungus,Eukaryote,Species"
1,Armillaria,"Fungus,Eukaryote,Species"
2,DBPEDIA_ID/Fusarium_patch,"Fungus,Eukaryote,Species"
3,Penicillium,"Fungus,Eukaryote,Species"
4,DBPEDIA_ID/Acrodontium_simplex,"Fungus,Eukaryote,Species"
5,DBPEDIA_ID/Agaricus_augustus,"Fungus,Eukaryote,Species"
6,DBPEDIA_ID/Agrocybe_aegerita,"Fungus,Eukaryote,Species"
7,Aphroditeola,"Fungus,Eukaryote,Species"
8,DBPEDIA_ID/Craterellus_lutescens,"Fungus,Eukaryote,Species"
9,DBPEDIA_ID/Elsinoë_batatas,"Fungus,Eukaryote,Species"
10,DBPEDIA_ID/Fusarium_oxysporum_f.sp._batatas,"Fungus,Eukaryote,Species"
11,Morchella,"Fungus,Eukaryote,Species"
12,DBPEDIA_ID/Nia_(fungus),"Fungus,Eukaryote,Species"
13,DBPEDIA_ID/Omphalotus_olearius,"Fungus,Eukaryote,Species"
14,DBPEDIA_ID/Parmelia_(fungus),"Fungus,Eukaryote,Species"
15,DBPEDIA_ID/Phyllosticta_batatas,"Fungus,Eukaryote,Species"
16,Plectocarpon,"Fungus,Eukaryote,Species"
17,DBPEDIA_ID/Puccinia_hordei,"Fungus,Eukaryote,Species"
18,DBPEDIA_ID/Roccella_(lichen),"Fungus,Eukaryote,Species"
19,DBPEDIA_ID/Roccella_tinctoria,"Fungus,Eukaryote,Species"
20,Roccellaria,"Fungus,Eukaryote,Species"
21,DBPEDIA_ID/Agaricus_hondensis,"Fungus,Eukaryote,Species"
22,Brettanomyces,"Fungus,Eukaryote,Species"
23,DBPEDIA_ID/Brettanomyces_bruxellensis,"Fungus,Eukaryote,Species"
24,DBPEDIA_ID/Candida_antarctica,"Fungus,Eukaryote,Species"
25,DBPEDIA_ID/Cunninghamella_echinulata,"Fungus,Eukaryote,Species"
26,Lollipopaia,"Fungus,Eukaryote,Species"
27,DBPEDIA_ID/Niebla_(lichen),"Fungus,Eukaryote,Species"
28,DBPEDIA_ID/Selinia_(fungus),"Fungus,Eukaryote,Species"
29,DBPEDIA_ID/Soybean_rust,"Fungus,Eukaryote,Species"
30,DBPEDIA_ID/Valsaria_insitiva,"Fungus,Eukaryote,Species"
31,DBPEDIA_ID/Acaulospora_myriocarpa,"Fungus,Eukaryote,Species"
32,Actinoplaca,"Fungus,Eukaryote,Species"
33,Amylocorticiales,"Fungus,Eukaryote,Species"
34,Apharia,"Fungus,Eukaryote,Species"
35,Ascomauritania,"Fungus,Eukaryote,Species"
36,Austrella,"Fungus,Eukaryote,Species"
37,DBPEDIA_ID/Baeospora_myosura,"Fungus,Eukaryote,Species"
38,DBPEDIA_ID/Boletellus_domingensis,"Fungus,Eukaryote,Species"
39,DBPEDIA_ID/Boletellus_russellii,"Fungus,Eukaryote,Species"
40,DBPEDIA_ID/Butyriboletus_brunneus,"Fungus,Eukaryote,Species"
41,DBPEDIA_ID/Butyriboletus_ventricosus,"Fungus,Eukaryote,Species"
42,DBPEDIA_ID/Cantharellus_friesii,"Fungus,Eukaryote,Species"
43,Chroogomphus,"Fungus,Eukaryote,Species"
44,DBPEDIA_ID/Cistella_(fungus),"Fungus,Eukaryote,Species"
45,DBPEDIA_ID/Clarkeinda_trachodes,"Fungus,Eukaryote,Species"
46,DBPEDIA_ID/Colletotrichum_miscanthi,"Fungus,Eukaryote,Species"
47,DBPEDIA_ID/Coniella_castaneicola,"Fungus,Eukaryote,Species"
48,DBPEDIA_ID/Coprinellus_truncorum,"Fungus,Eukaryote,Species"
49,DBPEDIA_ID/Cortinarius_traganus,"Fungus,Eukaryote,Species"
50,Crocicreas,"Fungus,Eukaryote,Species"
51,Cyphella,"Fungus,Eukaryote,Species"
