,entity,classes
0,DBPEDIA_ID/John_Leonard_(Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
1,DBPEDIA_ID/Brian_Murphy_(1960s_Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
2,DBPEDIA_ID/Brian_Murphy_(1990s_Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
3,DBPEDIA_ID/Cathal_Naughton,"Person,Athlete,GaelicGamesPlayer,Agent"
4,DBPEDIA_ID/Chris_Lawn,"Person,Athlete,GaelicGamesPlayer,Agent"
5,DBPEDIA_ID/Conor_O'Sullivan,"Person,Athlete,GaelicGamesPlayer,Agent"
6,DBPEDIA_ID/David_Kelly_(Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
7,DBPEDIA_ID/Donnacha_Cody,"Person,Athlete,GaelicGamesPlayer,Agent"
8,DBPEDIA_ID/Donnacha_Fahy,"Person,Athlete,GaelicGamesPlayer,Agent"
9,DBPEDIA_ID/Fiachra_Breathnach,"Person,Athlete,GaelicGamesPlayer,Agent"
10,DBPEDIA_ID/Fiachra_Lynch,"Person,Athlete,GaelicGamesPlayer,Agent"
11,DBPEDIA_ID/Gary_Sice,"Person,Athlete,GaelicGamesPlayer,Agent"
12,DBPEDIA_ID/Harry_Gray_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
13,DBPEDIA_ID/Imelda_Hobbins,"Person,Athlete,GaelicGamesPlayer,Agent"
14,DBPEDIA_ID/Imelda_Kennedy,"Person,Athlete,GaelicGamesPlayer,Agent"
15,DBPEDIA_ID/James_O'Brien_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
16,DBPEDIA_ID/John_Dalton_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
17,DBPEDIA_ID/John_Egan_(Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
18,DBPEDIA_ID/John_Kelly_(Tipperary_hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
19,DBPEDIA_ID/John_Lynch_(Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
20,DBPEDIA_ID/John_O'Mahony_(Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
21,DBPEDIA_ID/Martin_Naughton_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
22,DBPEDIA_ID/Michael_Coleman_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
23,DBPEDIA_ID/Michael_Hogan_(Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
24,DBPEDIA_ID/Michael_Walsh_(Kilkenny_hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
25,DBPEDIA_ID/Michael_Walsh_(London_hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
26,DBPEDIA_ID/Michael_Walsh_(Waterford_hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
27,DBPEDIA_ID/Noel_Costelloe,"Person,Athlete,GaelicGamesPlayer,Agent"
28,DBPEDIA_ID/Pat_O'Connor_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
29,DBPEDIA_ID/Phil_Purcell_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
30,DBPEDIA_ID/Richard_Browne_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
31,DBPEDIA_ID/Sean_O'Neill_(Louth_Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
32,DBPEDIA_ID/Stephen_Walsh_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
33,DBPEDIA_ID/Therese_Brophy,"Person,Athlete,GaelicGamesPlayer,Agent"
34,DBPEDIA_ID/Tony_Scullion,"Person,Athlete,GaelicGamesPlayer,Agent"
35,DBPEDIA_ID/Vin_Baston,"Person,Athlete,GaelicGamesPlayer,Agent"
36,DBPEDIA_ID/Éamonn_Taaffe,"Person,Athlete,GaelicGamesPlayer,Agent"
37,DBPEDIA_ID/Billy_Dooley,"Person,Athlete,GaelicGamesPlayer,Agent"
38,DBPEDIA_ID/Carina_Roseingrave,"Person,Athlete,GaelicGamesPlayer,Agent"
39,DBPEDIA_ID/Denis_O'Sullivan_(Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
40,DBPEDIA_ID/Iggy_Clarke,"Person,Athlete,GaelicGamesPlayer,Agent"
41,DBPEDIA_ID/Iggy_Jones,"Person,Athlete,GaelicGamesPlayer,Agent"
42,DBPEDIA_ID/Brendan_Kelly_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
43,DBPEDIA_ID/Brendan_Maher,"Person,Athlete,GaelicGamesPlayer,Agent"
44,DBPEDIA_ID/Catriona_Power,"Person,Athlete,GaelicGamesPlayer,Agent"
45,DBPEDIA_ID/Chris_Murphy_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
46,DBPEDIA_ID/Colm_Cooper,"Person,Athlete,GaelicGamesPlayer,Agent"
47,DBPEDIA_ID/Conor_Clancy,"Person,Athlete,GaelicGamesPlayer,Agent"
48,DBPEDIA_ID/Darren_Hughes_(Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
49,DBPEDIA_ID/David_Clarke_(Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
50,DBPEDIA_ID/David_Hayes_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
51,DBPEDIA_ID/Declan_Prendergast,"Person,Athlete,GaelicGamesPlayer,Agent"
52,DBPEDIA_ID/Diarmuid_O'Sullivan,"Person,Athlete,GaelicGamesPlayer,Agent"
53,DBPEDIA_ID/Eamonn_Fennell,"Person,Athlete,GaelicGamesPlayer,Agent"
54,DBPEDIA_ID/Ian_Robertson_(Gaelic_footballer),"Person,Athlete,GaelicGamesPlayer,Agent"
55,DBPEDIA_ID/James_Young_(hurler),"Person,Athlete,GaelicGamesPlayer,Agent"
56,DBPEDIA_ID/Jer_Collison,"Person,Athlete,GaelicGamesPlayer,Agent"
57,DBPEDIA_ID/Jer_D._O'Connor,"Person,Athlete,GaelicGamesPlayer,Agent"
58,DBPEDIA_ID/Jer_Doheny,"Person,Athlete,GaelicGamesPlayer,Agent"
