,entity,classes
0,DBPEDIA_ID/Messier_100,"CelestialBody,Place,Location,Galaxy"
1,DBPEDIA_ID/Tadpole_Galaxy,"CelestialBody,Place,Location,Galaxy"
2,DBPEDIA_ID/Leo_IV_(dwarf_galaxy),"CelestialBody,Place,Location,Galaxy"
3,DBPEDIA_ID/Leo_V_(dwarf_galaxy),"CelestialBody,Place,Location,Galaxy"
4,DBPEDIA_ID/NGC_3842,"CelestialBody,Place,Location,Galaxy"
5,DBPEDIA_ID/NGC_4450,"CelestialBody,Place,Location,Galaxy"
6,DBPEDIA_ID/NGC_5477,"CelestialBody,Place,Location,Galaxy"
7,DBPEDIA_ID/NGC_5985,"CelestialBody,Place,Location,Galaxy"
8,DBPEDIA_ID/NGC_7332,"CelestialBody,Place,Location,Galaxy"
9,DBPEDIA_ID/Holmberg_IX,"CelestialBody,Place,Location,Galaxy"
10,DBPEDIA_ID/Eyes_Galaxies,"CelestialBody,Place,Location,Galaxy"
11,DBPEDIA_ID/NGC_1850,"CelestialBody,Place,Location,Galaxy"
12,DBPEDIA_ID/NGC_2859,"CelestialBody,Place,Location,Galaxy"
13,DBPEDIA_ID/NGC_3054,"CelestialBody,Place,Location,Galaxy"
14,DBPEDIA_ID/NGC_5164,"CelestialBody,Place,Location,Galaxy"
15,DBPEDIA_ID/NGC_5253,"CelestialBody,Place,Location,Galaxy"
16,DBPEDIA_ID/NGC_5408,"CelestialBody,Place,Location,Galaxy"
17,DBPEDIA_ID/NGC_5548,"CelestialBody,Place,Location,Galaxy"
18,DBPEDIA_ID/NGC_57,"CelestialBody,Place,Location,Galaxy"
19,DBPEDIA_ID/NGC_7318,"CelestialBody,Place,Location,Galaxy"
20,DBPEDIA_ID/NGC_145,"CelestialBody,Place,Location,Galaxy"
21,DBPEDIA_ID/NGC_1672,"CelestialBody,Place,Location,Galaxy"
22,DBPEDIA_ID/NGC_41,"CelestialBody,Place,Location,Galaxy"
23,DBPEDIA_ID/NGC_6782,"CelestialBody,Place,Location,Galaxy"
24,DBPEDIA_ID/NGC_3,"CelestialBody,Place,Location,Galaxy"
25,DBPEDIA_ID/NGC_5890,"CelestialBody,Place,Location,Galaxy"
26,DBPEDIA_ID/NGC_5929,"CelestialBody,Place,Location,Galaxy"
27,DBPEDIA_ID/NGC_5010,"CelestialBody,Place,Location,Galaxy"
28,DBPEDIA_ID/Segue_1,"CelestialBody,Place,Location,Galaxy"
29,DBPEDIA_ID/Segue_2,"CelestialBody,Place,Location,Galaxy"
30,DBPEDIA_ID/Circinus_Galaxy,"CelestialBody,Place,Location,Galaxy"
31,DBPEDIA_ID/Messier_105,"CelestialBody,Place,Location,Galaxy"
32,DBPEDIA_ID/Messier_106,"CelestialBody,Place,Location,Galaxy"
33,DBPEDIA_ID/Messier_108,"CelestialBody,Place,Location,Galaxy"
34,DBPEDIA_ID/Messier_32,"CelestialBody,Place,Location,Galaxy"
35,DBPEDIA_ID/Messier_58,"CelestialBody,Place,Location,Galaxy"
36,DBPEDIA_ID/Messier_59,"CelestialBody,Place,Location,Galaxy"
37,DBPEDIA_ID/Messier_60,"CelestialBody,Place,Location,Galaxy"
38,DBPEDIA_ID/Messier_66,"CelestialBody,Place,Location,Galaxy"
39,DBPEDIA_ID/Messier_74,"CelestialBody,Place,Location,Galaxy"
40,DBPEDIA_ID/Messier_84,"CelestialBody,Place,Location,Galaxy"
41,DBPEDIA_ID/Messier_86,"CelestialBody,Place,Location,Galaxy"
42,DBPEDIA_ID/Messier_91,"CelestialBody,Place,Location,Galaxy"
43,DBPEDIA_ID/Messier_95,"CelestialBody,Place,Location,Galaxy"
44,DBPEDIA_ID/Messier_98,"CelestialBody,Place,Location,Galaxy"
45,DBPEDIA_ID/NGC_2403,"CelestialBody,Place,Location,Galaxy"
46,DBPEDIA_ID/NGC_3115,"CelestialBody,Place,Location,Galaxy"
47,DBPEDIA_ID/NGC_3628,"CelestialBody,Place,Location,Galaxy"
48,DBPEDIA_ID/NGC_3982,"CelestialBody,Place,Location,Galaxy"
49,DBPEDIA_ID/NGC_404,"CelestialBody,Place,Location,Galaxy"
50,DBPEDIA_ID/NGC_5866,"CelestialBody,Place,Location,Galaxy"
51,DBPEDIA_ID/Sunflower_Galaxy,"CelestialBody,Place,Location,Galaxy"
52,DBPEDIA_ID/I_Zwicky_18,"CelestialBody,Place,Location,Galaxy"
53,DBPEDIA_ID/NGC_5257,"CelestialBody,Place,Location,Galaxy"
54,DBPEDIA_ID/NGC_5258,"CelestialBody,Place,Location,Galaxy"
55,DBPEDIA_ID/NGC_5334,"CelestialBody,Place,Location,Galaxy"
56,DBPEDIA_ID/NGC_5676,"CelestialBody,Place,Location,Galaxy"
57,DBPEDIA_ID/NGC_67,"CelestialBody,Place,Location,Galaxy"
58,DBPEDIA_ID/NGC_7727,"CelestialBody,Place,Location,Galaxy"
59,DBPEDIA_ID/Leo_A,"CelestialBody,Place,Location,Galaxy"
60,DBPEDIA_ID/NGC_1134,"CelestialBody,Place,Location,Galaxy"
61,DBPEDIA_ID/NGC_3718,"CelestialBody,Place,Location,Galaxy"
62,DBPEDIA_ID/NGC_87,"CelestialBody,Place,Location,Galaxy"
63,DBPEDIA_ID/Pisces_II_(dwarf_galaxy),"CelestialBody,Place,Location,Galaxy"
64,DBPEDIA_ID/NGC_3185,"CelestialBody,Place,Location,Galaxy"
65,DBPEDIA_ID/NGC_5566,"CelestialBody,Place,Location,Galaxy"
66,DBPEDIA_ID/Boötes_III_(dwarf_galaxy),"CelestialBody,Place,Location,Galaxy"
67,DBPEDIA_ID/NGC_3259,"CelestialBody,Place,Location,Galaxy"
68,DBPEDIA_ID/NGC_524,"CelestialBody,Place,Location,Galaxy"
69,DBPEDIA_ID/NGC_1087,"CelestialBody,Place,Location,Galaxy"
70,DBPEDIA_ID/NGC_2812,"CelestialBody,Place,Location,Galaxy"
71,DBPEDIA_ID/Sombrero_Galaxy,"CelestialBody,Place,Location,Galaxy"
72,DBPEDIA_ID/3C_449,"CelestialBody,Place,Location,Galaxy"
73,DBPEDIA_ID/3C_305,"CelestialBody,Place,Location,Galaxy"
74,DBPEDIA_ID/NGC_321,"CelestialBody,Place,Location,Galaxy"
75,DBPEDIA_ID/NGC_6263,"CelestialBody,Place,Location,Galaxy"
