,entity,classes
0,Acquire,"Game,Activity"
1,DBPEDIA_ID/Amber_Diceless_Roleplaying_Game,"Game,Activity"
2,Backgammon,"Game,Activity"
3,DBPEDIA_ID/Basic_Role-Playing,"Game,Activity"
4,DBPEDIA_ID/Bunnies_&_Burrows,"Game,Activity"
5,DBPEDIA_ID/Call_of_Cthulhu_(role-playing_game),"Game,Activity"
6,DBPEDIA_ID/Catan:_Cities_&_Knights,"Game,Activity"
7,Chess,"Game,Activity"
8,DBPEDIA_ID/Chinese_checkers,"Game,Activity"
9,Crokinole,"Game,Activity"
10,Dominoes,"Game,Activity"
11,DBPEDIA_ID/Dungeons_&_Dragons,"Game,Activity"
12,Earthdawn,"Game,Activity"
13,Elfenland,"Game,Activity"
14,Everway,"Game,Activity"
15,DBPEDIA_ID/Forgotten_Futures,"Game,Activity"
16,DBPEDIA_ID/Fudge_(role-playing_game_system),"Game,Activity"
17,GURPS,"Game,Activity"
18,DBPEDIA_ID/GURPS_Supers,"Game,Activity"
19,DBPEDIA_ID/Gamma_World,"Game,Activity"
20,DBPEDIA_ID/Golden_Heroes,"Game,Activity"
21,DBPEDIA_ID/Hero_System,"Game,Activity"
22,DBPEDIA_ID/Hero_Wars,"Game,Activity"
23,DBPEDIA_ID/Illuminati:_New_World_Order,"Game,Activity"
24,DBPEDIA_ID/Java_(board_game),"Game,Activity"
25,DBPEDIA_ID/Kult_(role-playing_game),"Game,Activity"
26,DBPEDIA_ID/Ludo_(board_game),"Game,Activity"
27,DBPEDIA_ID/Mage:_The_Ascension,"Game,Activity"
28,Mahjong,"Game,Activity"
29,DBPEDIA_ID/Marvel_Super_Heroes_(role-playing_game),"Game,Activity"
30,DBPEDIA_ID/Monopoly_(game),"Game,Activity"
31,DBPEDIA_ID/Musical_chairs,"Game,Activity"
32,Nomic,"Game,Activity"
33,Pente,"Game,Activity"
34,Reversi,"Game,Activity"
35,DBPEDIA_ID/Ringworld_(role-playing_game),"Game,Activity"
36,Rock-paper-scissors,"Game,Activity"
37,RuneQuest,"Game,Activity"
38,Scrabble,"Game,Activity"
39,Shogi,"Game,Activity"
40,DBPEDIA_ID/Star_Frontiers,"Game,Activity"
41,DBPEDIA_ID/Hazard_(game),"Game,Activity"
42,Senet,"Game,Activity"
43,DBPEDIA_ID/Cyberpunk_2020,"Game,Activity"
44,DBPEDIA_ID/Bughouse_chess,"Game,Activity"
45,DBPEDIA_ID/Chivalry_&_Sorcery,"Game,Activity"
46,DBPEDIA_ID/International_draughts,"Game,Activity"
47,DBPEDIA_ID/Betrayal_at_House_on_the_Hill,"Game,Activity"
48,DBPEDIA_ID/Fault_Line_(adventure),"Game,Activity"
49,DBPEDIA_ID/Mystery_of_the_Abbey,"Game,Activity"
50,DBPEDIA_ID/Scion_(role-playing_game),"Game,Activity"
51,DBPEDIA_ID/Shock:_Social_Science_Fiction,"Game,Activity"
52,DBPEDIA_ID/Touring_(card_game),"Game,Activity"
53,DBPEDIA_ID/Advanced_Fighting_Fantasy,"Game,Activity"
54,Arimaa,"Game,Activity"
55,DBPEDIA_ID/Babylon_5:_A_Call_to_Arms_(game),"Game,Activity"
56,DBPEDIA_ID/Brave_New_World_(role-playing_game),"Game,Activity"
57,DBPEDIA_ID/Castle_(card_game),"Game,Activity"
58,DBPEDIA_ID/Catch_Phrase_(game),"Game,Activity"
59,DBPEDIA_ID/Choko_(game),"Game,Activity"
60,DBPEDIA_ID/Dzikie_Pola_(role-playing_game),"Game,Activity"
61,DBPEDIA_ID/Fate_(role-playing_game_system),"Game,Activity"
62,DBPEDIA_ID/Filthy_Rich_(game),"Game,Activity"
63,DBPEDIA_ID/Four_square,"Game,Activity"
64,DBPEDIA_ID/Frag_(game),"Game,Activity"
65,DBPEDIA_ID/GURPS_Cabal,"Game,Activity"
66,DBPEDIA_ID/Ghostbusters_(role-playing_game),"Game,Activity"
67,DBPEDIA_ID/Gogo's_Crazy_Bones,"Game,Activity"
68,DBPEDIA_ID/Highlander:_The_Card_Game,"Game,Activity"
69,DBPEDIA_ID/History_of_the_World_(board_game),"Game,Activity"
70,DBPEDIA_ID/Hordes_(game),"Game,Activity"
