,entity,classes
0,DBPEDIA_ID/Aminomethyltransferase__1,"HumanGeneLocation,GeneLocation"
1,DBPEDIA_ID/Aminomethyltransferase__2__1,"MouseGeneLocation,GeneLocation"
2,DBPEDIA_ID/IFFO1__1,"HumanGeneLocation,GeneLocation"
3,DBPEDIA_ID/IFFO1__2__1,"MouseGeneLocation,GeneLocation"
4,DBPEDIA_ID/Eosinophil_peroxidase__1,"HumanGeneLocation,GeneLocation"
5,DBPEDIA_ID/Eosinophil_peroxidase__2__1,"MouseGeneLocation,GeneLocation"
6,DBPEDIA_ID/Pyruvate_carboxylase__Pyruvate_carboxylase__2__1,"HumanGeneLocation,GeneLocation"
7,DBPEDIA_ID/Pyruvate_carboxylase__Pyruvate_carboxylase__2__2__1,"MouseGeneLocation,GeneLocation"
8,DBPEDIA_ID/Carnitine_palmitoyltransferase_I__1,"HumanGeneLocation,GeneLocation"
9,DBPEDIA_ID/Carnitine_palmitoyltransferase_I__2__1,"MouseGeneLocation,GeneLocation"
10,DBPEDIA_ID/MT-ND5__1,"HumanGeneLocation,GeneLocation"
11,DBPEDIA_ID/MT-ND5__2__1,"MouseGeneLocation,GeneLocation"
12,DBPEDIA_ID/Fumarase__1,"HumanGeneLocation,GeneLocation"
13,DBPEDIA_ID/Fumarase__2__1,"MouseGeneLocation,GeneLocation"
14,DBPEDIA_ID/ZNF184__1,"HumanGeneLocation,GeneLocation"
15,DBPEDIA_ID/ZNF184__2__1,"MouseGeneLocation,GeneLocation"
16,"DBPEDIA_ID/Alpha-1,3-mannosyl-glycoprotein_4-beta-N-acetylglucosaminyltransferase_A__1","HumanGeneLocation,GeneLocation"
17,"DBPEDIA_ID/Alpha-1,3-mannosyl-glycoprotein_4-beta-N-acetylglucosaminyltransferase_A__2__1","MouseGeneLocation,GeneLocation"
18,DBPEDIA_ID/C3orf70__1,"HumanGeneLocation,GeneLocation"
19,DBPEDIA_ID/C3orf70__2__1,"MouseGeneLocation,GeneLocation"
20,DBPEDIA_ID/C9orf152__1,"HumanGeneLocation,GeneLocation"
21,DBPEDIA_ID/C9orf152__2__1,"MouseGeneLocation,GeneLocation"
22,DBPEDIA_ID/NDUFA11__1,"HumanGeneLocation,GeneLocation"
23,DBPEDIA_ID/NDUFA11__2__1,"MouseGeneLocation,GeneLocation"
24,DBPEDIA_ID/NDUFA7__1,"HumanGeneLocation,GeneLocation"
25,DBPEDIA_ID/NDUFA7__2__1,"MouseGeneLocation,GeneLocation"
26,DBPEDIA_ID/NDUFB4__1,"HumanGeneLocation,GeneLocation"
27,DBPEDIA_ID/NDUFB4__2__1,"MouseGeneLocation,GeneLocation"
28,DBPEDIA_ID/OMA1__1,"HumanGeneLocation,GeneLocation"
29,DBPEDIA_ID/OMA1__2__1,"MouseGeneLocation,GeneLocation"
30,DBPEDIA_ID/PBB/342346__1,"HumanGeneLocation,GeneLocation"
31,DBPEDIA_ID/PBB/342346__2__1,"MouseGeneLocation,GeneLocation"
32,DBPEDIA_ID/PDPR__1,"HumanGeneLocation,GeneLocation"
33,DBPEDIA_ID/PDPR__2__1,"MouseGeneLocation,GeneLocation"
34,DBPEDIA_ID/PLIN4__1,"HumanGeneLocation,GeneLocation"
35,DBPEDIA_ID/PLIN4__2__1,"MouseGeneLocation,GeneLocation"
36,DBPEDIA_ID/PRP36__1,"HumanGeneLocation,GeneLocation"
37,DBPEDIA_ID/PRP36__2__1,"MouseGeneLocation,GeneLocation"
38,DBPEDIA_ID/SUCLG2__1,"HumanGeneLocation,GeneLocation"
39,DBPEDIA_ID/PRIM1__1,"HumanGeneLocation,GeneLocation"
40,DBPEDIA_ID/ACOT6__1,"HumanGeneLocation,GeneLocation"
41,DBPEDIA_ID/Carboxypeptidase_A6__Carboxypeptidase_A6__1__1,"HumanGeneLocation,GeneLocation"
42,DBPEDIA_ID/Carboxypeptidase_A6__Carboxypeptidase_A6__1__2__1,"MouseGeneLocation,GeneLocation"
43,DBPEDIA_ID/C1orf123__1,"HumanGeneLocation,GeneLocation"
44,DBPEDIA_ID/C1orf123__2__1,"MouseGeneLocation,GeneLocation"
45,DBPEDIA_ID/CCDC130__1,"HumanGeneLocation,GeneLocation"
46,DBPEDIA_ID/CCDC130__2__1,"MouseGeneLocation,GeneLocation"
47,DBPEDIA_ID/Ccdc109b__1,"HumanGeneLocation,GeneLocation"
48,DBPEDIA_ID/Ccdc109b__2__1,"MouseGeneLocation,GeneLocation"
49,DBPEDIA_ID/Coiled-Coil_Domain_Containing_protein_82__1,"HumanGeneLocation,GeneLocation"
50,DBPEDIA_ID/Coiled-Coil_Domain_Containing_protein_82__2__1,"MouseGeneLocation,GeneLocation"
51,DBPEDIA_ID/FAM203B__1,"HumanGeneLocation,GeneLocation"
52,DBPEDIA_ID/FAM203B__2__1,"MouseGeneLocation,GeneLocation"
53,DBPEDIA_ID/Fam188a__1,"HumanGeneLocation,GeneLocation"
54,DBPEDIA_ID/Fam188a__2__1,"MouseGeneLocation,GeneLocation"
55,DBPEDIA_ID/SH3D21__1,"HumanGeneLocation,GeneLocation"
56,DBPEDIA_ID/SH3D21__2__1,"MouseGeneLocation,GeneLocation"
57,DBPEDIA_ID/CCDC138__1,"HumanGeneLocation,GeneLocation"
58,DBPEDIA_ID/CCDC138__2__1,"MouseGeneLocation,GeneLocation"
59,DBPEDIA_ID/Multiple_Epidermal_Growth_Factor-like_Domains_8__1,"HumanGeneLocation,GeneLocation"
