,entity,classes
0,Adrian,"GivenName,Name"
1,Alexander,"GivenName,Name"
2,Alexandra,"GivenName,Name"
3,Alexius,"GivenName,Name"
4,Anastasius,"GivenName,Name"
5,Cyril,"GivenName,Name"
6,DBPEDIA_ID/Luke_(name),"GivenName,Name"
7,Michael,"GivenName,Name"
8,DBPEDIA_ID/Jonathan_(name),"GivenName,Name"
9,DBPEDIA_ID/Annie_(given_name),"GivenName,Name"
10,DBPEDIA_ID/Benjamin_(name),"GivenName,Name"
11,DBPEDIA_ID/Ella_(name),"GivenName,Name"
12,DBPEDIA_ID/Ellery_(given_name),"GivenName,Name"
13,Gérard,"GivenName,Name"
14,DBPEDIA_ID/Hope_(given_name),"GivenName,Name"
15,Jawed,"GivenName,Name"
16,DBPEDIA_ID/Johnny_(given_name),"GivenName,Name"
17,Jonny,"GivenName,Name"
18,Laurence,"GivenName,Name"
19,Michiko,"GivenName,Name"
20,Miho,"GivenName,Name"
21,DBPEDIA_ID/Nadine_(given_name),"GivenName,Name"
22,Samir,"GivenName,Name"
23,Samira,"GivenName,Name"
24,Verity,"GivenName,Name"
25,Zoran,"GivenName,Name"
26,DBPEDIA_ID/Aden_(name),"GivenName,Name"
27,DBPEDIA_ID/Aida_(given_name),"GivenName,Name"
28,DBPEDIA_ID/Akina_(given_name),"GivenName,Name"
29,DBPEDIA_ID/Aladdin_(name),"GivenName,Name"
30,Alisha,"GivenName,Name"
31,Alonso,"GivenName,Name"
32,Alonzo,"GivenName,Name"
33,Anabel,"GivenName,Name"
34,DBPEDIA_ID/Angela_(given_name),"GivenName,Name"
35,DBPEDIA_ID/Angelina_(given_name),"GivenName,Name"
36,DBPEDIA_ID/Arda_(name),"GivenName,Name"
37,DBPEDIA_ID/Ariana_(name),"GivenName,Name"
38,DBPEDIA_ID/Arsenius_(name),"GivenName,Name"
39,DBPEDIA_ID/Arun_(given_name),"GivenName,Name"
40,DBPEDIA_ID/Augustus_(given_name),"GivenName,Name"
41,DBPEDIA_ID/Babak_(given_name),"GivenName,Name"
42,DBPEDIA_ID/Bahram_(name),"GivenName,Name"
43,DBPEDIA_ID/Benedictus_(given_name),"GivenName,Name"
44,Birgitta,"GivenName,Name"
45,DBPEDIA_ID/Blanche_(given_name),"GivenName,Name"
46,Boutros,"GivenName,Name"
47,DBPEDIA_ID/Brendan_(given_name),"GivenName,Name"
48,Brianna,"GivenName,Name"
49,Brisa,"GivenName,Name"
50,DBPEDIA_ID/Carmelita_(name),"GivenName,Name"
51,Carola,"GivenName,Name"
52,Casandra,"GivenName,Name"
53,Casimir,"GivenName,Name"
54,DBPEDIA_ID/Cassandra_(given_name),"GivenName,Name"
55,Catarina,"GivenName,Name"
56,Cesar,"GivenName,Name"
57,Chihiro,"GivenName,Name"
58,DBPEDIA_ID/Clara_(given_name),"GivenName,Name"
59,DBPEDIA_ID/Clarissa_(given_name),"GivenName,Name"
60,Claudia,"GivenName,Name"
61,DBPEDIA_ID/Clelia_(given_name),"GivenName,Name"
62,DBPEDIA_ID/Colin_(given_name),"GivenName,Name"
63,Conor,"GivenName,Name"
64,Cosmas,"GivenName,Name"
65,DBPEDIA_ID/Dalia_(given_name),"GivenName,Name"
66,Daniel,"GivenName,Name"
67,DBPEDIA_ID/Danylo_(name),"GivenName,Name"
68,DBPEDIA_ID/Dove_(given_name),"GivenName,Name"
69,Eiko,"GivenName,Name"
70,Eimi,"GivenName,Name"
71,DBPEDIA_ID/Elisa_(given_name),"GivenName,Name"
72,Emre,"GivenName,Name"
73,Ennio,"GivenName,Name"
74,Enrique,"GivenName,Name"
75,DBPEDIA_ID/Erika_(given_name),"GivenName,Name"
76,Ernst,"GivenName,Name"
77,Evangelina,"GivenName,Name"
78,Faheem,"GivenName,Name"
79,Francine,"GivenName,Name"
80,DBPEDIA_ID/Franz_(given_name),"GivenName,Name"
81,François,"GivenName,Name"
82,Françoise,"GivenName,Name"
83,Gaddo,"GivenName,Name"
84,DBPEDIA_ID/Gay_(given_name),"GivenName,Name"
85,DBPEDIA_ID/Gertrude_(given_name),"GivenName,Name"
86,Guido,"GivenName,Name"
87,DBPEDIA_ID/Gun_(Swedish_name),"GivenName,Name"
88,Götz,"GivenName,Name"
89,Habib,"GivenName,Name"
90,Haruko,"GivenName,Name"
91,Henrique,"GivenName,Name"
92,Hisako,"GivenName,Name"
93,Imants,"GivenName,Name"
94,Imelda,"GivenName,Name"
95,DBPEDIA_ID/Inta_(given_name),"GivenName,Name"
96,DBPEDIA_ID/Isla_(given_name),"GivenName,Name"
97,Ivica,"GivenName,Name"
98,Jacques,"GivenName,Name"
