,entity,classes
0,DBPEDIA_ID/Klondike_Glacier,"Glacier,Place,NaturalPlace,Location"
1,DBPEDIA_ID/O'Higgins_Glacier,"Glacier,Place,NaturalPlace,Location"
2,DBPEDIA_ID/Palisade_Glacier,"Glacier,Place,NaturalPlace,Location"
3,DBPEDIA_ID/Red_Eagle_Glacier,"Glacier,Place,NaturalPlace,Location"
4,DBPEDIA_ID/Saint_Vrain_Glaciers,"Glacier,Place,NaturalPlace,Location"
5,DBPEDIA_ID/Scimitar_Glacier,"Glacier,Place,NaturalPlace,Location"
6,DBPEDIA_ID/The_Salamander_Glacier,"Glacier,Place,NaturalPlace,Location"
7,DBPEDIA_ID/Zigzag_Glacier,"Glacier,Place,NaturalPlace,Location"
8,DBPEDIA_ID/Rupal_Glacier,"Glacier,Place,NaturalPlace,Location"
9,DBPEDIA_ID/Crescent_Glacier_(Mount_Adams),"Glacier,Place,NaturalPlace,Location"
10,DBPEDIA_ID/Dusty_Glacier,"Glacier,Place,NaturalPlace,Location"
11,DBPEDIA_ID/Eel_Glacier,"Glacier,Place,NaturalPlace,Location"
12,DBPEDIA_ID/Mammoth_Glacier,"Glacier,Place,NaturalPlace,Location"
13,DBPEDIA_ID/Newall_Glacier,"Glacier,Place,NaturalPlace,Location"
14,DBPEDIA_ID/Sandalee_Glacier,"Glacier,Place,NaturalPlace,Location"
15,DBPEDIA_ID/Sholes_Glacier,"Glacier,Place,NaturalPlace,Location"
16,DBPEDIA_ID/Chaney_Glacier,"Glacier,Place,NaturalPlace,Location"
17,Hardangerjøkulen,"Glacier,Place,NaturalPlace,Location"
18,DBPEDIA_ID/Nordre_Folgefonna,"Glacier,Place,NaturalPlace,Location"
19,Okstindbreen,"Glacier,Place,NaturalPlace,Location"
20,DBPEDIA_ID/Søndre_Folgefonna,"Glacier,Place,NaturalPlace,Location"
21,DBPEDIA_ID/Astrolabe_Glacier,"Glacier,Place,NaturalPlace,Location"
22,DBPEDIA_ID/Crater_Glacier,"Glacier,Place,NaturalPlace,Location"
23,DBPEDIA_ID/Dickson_Glacier,"Glacier,Place,NaturalPlace,Location"
24,DBPEDIA_ID/Grey_Glacier,"Glacier,Place,NaturalPlace,Location"
25,DBPEDIA_ID/Harvard_Glacier,"Glacier,Place,NaturalPlace,Location"
26,DBPEDIA_ID/Jorge_Montt_Glacier,"Glacier,Place,NaturalPlace,Location"
27,DBPEDIA_ID/McCarty_Glacier,"Glacier,Place,NaturalPlace,Location"
28,DBPEDIA_ID/Meares_Glacier,"Glacier,Place,NaturalPlace,Location"
29,DBPEDIA_ID/Mingyong_Glacier,"Glacier,Place,NaturalPlace,Location"
30,DBPEDIA_ID/Clark_Glacier_(Washington),"Glacier,Place,NaturalPlace,Location"
31,DBPEDIA_ID/Baby_Glacier_(Montana),"Glacier,Place,NaturalPlace,Location"
32,DBPEDIA_ID/Baby_Glacier_(Wyoming),"Glacier,Place,NaturalPlace,Location"
33,DBPEDIA_ID/Boulder_Glacier_(Montana),"Glacier,Place,NaturalPlace,Location"
34,DBPEDIA_ID/Bull_Lake_Glacier,"Glacier,Place,NaturalPlace,Location"
35,DBPEDIA_ID/Trift_Glacier,"Glacier,Place,NaturalPlace,Location"
36,DBPEDIA_ID/Vassar_Glacier,"Glacier,Place,NaturalPlace,Location"
37,DBPEDIA_ID/Engilchek_Glacier,"Glacier,Place,NaturalPlace,Location"
38,DBPEDIA_ID/Harrower_Glacier,"Glacier,Place,NaturalPlace,Location"
39,DBPEDIA_ID/Mud_Creek_Glacier,"Glacier,Place,NaturalPlace,Location"
40,DBPEDIA_ID/Posadowsky_Glacier_(Antarctica),"Glacier,Place,NaturalPlace,Location"
41,Briksdalsbreen,"Glacier,Place,NaturalPlace,Location"
42,DBPEDIA_ID/Snowbird_Glacier,"Glacier,Place,NaturalPlace,Location"
43,DBPEDIA_ID/Surprise_Glacier_(Alaska_Range),"Glacier,Place,NaturalPlace,Location"
44,DBPEDIA_ID/Garden_Glacier,"Glacier,Place,NaturalPlace,Location"
45,Hoffellsjökull,"Glacier,Place,NaturalPlace,Location"
46,Austfonna,"Glacier,Place,NaturalPlace,Location"
47,Vestfonna,"Glacier,Place,NaturalPlace,Location"
48,Eiskar,"Glacier,Place,NaturalPlace,Location"
49,DBPEDIA_ID/Franz_Josef_Glacier,"Glacier,Place,NaturalPlace,Location"
50,Oberaargletscher,"Glacier,Place,NaturalPlace,Location"
51,DBPEDIA_ID/Otemma_Glacier,"Glacier,Place,NaturalPlace,Location"
52,Storglaciären,"Glacier,Place,NaturalPlace,Location"
53,Unteraargletscher,"Glacier,Place,NaturalPlace,Location"
54,DBPEDIA_ID/Übergossene_Alm,"Glacier,Place,NaturalPlace,Location"
55,DBPEDIA_ID/Brown_Glacier,"Glacier,Place,NaturalPlace,Location"
56,DBPEDIA_ID/Buxton_Glacier,"Glacier,Place,NaturalPlace,Location"
57,DBPEDIA_ID/Downes_Glacier,"Glacier,Place,NaturalPlace,Location"
58,DBPEDIA_ID/Fiftyone_Glacier,"Glacier,Place,NaturalPlace,Location"
59,DBPEDIA_ID/Watson_Glacier,"Glacier,Place,NaturalPlace,Location"
60,DBPEDIA_ID/Qori_Kalis_Glacier,"Glacier,Place,NaturalPlace,Location"
61,DBPEDIA_ID/Nevado_Juncal__Norte_Glacier__1,"Glacier,Place,NaturalPlace,Location"
62,DBPEDIA_ID/Nevado_Juncal__Sur_Glacier__1,"Glacier,Place,NaturalPlace,Location"
63,DBPEDIA_ID/Mont_Miné_Glacier,"Glacier,Place,NaturalPlace,Location"
64,Dyngjujökull,"Glacier,Place,NaturalPlace,Location"
65,DBPEDIA_ID/Logan_Glacier_(Montana),"Glacier,Place,NaturalPlace,Location"
66,Jostefonn,"Glacier,Place,NaturalPlace,Location"
67,DBPEDIA_ID/Linn_Glacier,"Glacier,Place,NaturalPlace,Location"
68,DBPEDIA_ID/Anderson_Glacier,"Glacier,Place,NaturalPlace,Location"
69,DBPEDIA_ID/Carrie_Glacier,"Glacier,Place,NaturalPlace,Location"
70,DBPEDIA_ID/Company_Glacier,"Glacier,Place,NaturalPlace,Location"
71,DBPEDIA_ID/Winthrop_Glacier,"Glacier,Place,NaturalPlace,Location"
72,DBPEDIA_ID/Beardmore_Glacier,"Glacier,Place,NaturalPlace,Location"
73,DBPEDIA_ID/Gondogoro_Glacier,"Glacier,Place,NaturalPlace,Location"
74,DBPEDIA_ID/Upernavik_Glacier,"Glacier,Place,NaturalPlace,Location"
75,DBPEDIA_ID/Harris_Glacier,"Glacier,Place,NaturalPlace,Location"
76,DBPEDIA_ID/Helen_Glacier,"Glacier,Place,NaturalPlace,Location"
77,DBPEDIA_ID/La_Paloma_Glacier,"Glacier,Place,NaturalPlace,Location"
78,DBPEDIA_ID/No_Name_Glacier,"Glacier,Place,NaturalPlace,Location"
79,DBPEDIA_ID/Pumpkin_Glacier,"Glacier,Place,NaturalPlace,Location"
80,DBPEDIA_ID/Puyallup_Glacier,"Glacier,Place,NaturalPlace,Location"
81,Dolra,"Glacier,Place,NaturalPlace,Location"
82,DBPEDIA_ID/Lizard_Head_Glacier,"Glacier,Place,NaturalPlace,Location"
83,Buarbreen,"Glacier,Place,NaturalPlace,Location"
84,DBPEDIA_ID/Collier_Glacier,"Glacier,Place,NaturalPlace,Location"
85,DBPEDIA_ID/Cul-de-sac_Glacier,"Glacier,Place,NaturalPlace,Location"
86,DBPEDIA_ID/Deacock_Glacier,"Glacier,Place,NaturalPlace,Location"
87,DBPEDIA_ID/Isella_Glacier,"Glacier,Place,NaturalPlace,Location"
88,DBPEDIA_ID/North_Klawatti_Glacier,"Glacier,Place,NaturalPlace,Location"
89,DBPEDIA_ID/Portage_Glacier,"Glacier,Place,NaturalPlace,Location"
90,DBPEDIA_ID/Sperry_Glacier,"Glacier,Place,NaturalPlace,Location"
91,DBPEDIA_ID/The_Dove_(glacier),"Glacier,Place,NaturalPlace,Location"
92,DBPEDIA_ID/Vahsel_Glacier,"Glacier,Place,NaturalPlace,Location"
93,Vatnajökull,"Glacier,Place,NaturalPlace,Location"
94,DBPEDIA_ID/Nohokomeen_Glacier,"Glacier,Place,NaturalPlace,Location"
95,DBPEDIA_ID/Beartooth_Glacier,"Glacier,Place,NaturalPlace,Location"
96,DBPEDIA_ID/Ealey_Glacier,"Glacier,Place,NaturalPlace,Location"
97,DBPEDIA_ID/Foraker_Glacier,"Glacier,Place,NaturalPlace,Location"
98,DBPEDIA_ID/Ahern_Glacier_(Montana),"Glacier,Place,NaturalPlace,Location"
99,DBPEDIA_ID/Aialik_Glacier,"Glacier,Place,NaturalPlace,Location"
100,DBPEDIA_ID/Amherst_Glacier,"Glacier,Place,NaturalPlace,Location"
101,DBPEDIA_ID/Andrews_Glacier,"Glacier,Place,NaturalPlace,Location"
102,DBPEDIA_ID/Angel_Glacier,"Glacier,Place,NaturalPlace,Location"
103,DBPEDIA_ID/Arapaho_Glacier,"Glacier,Place,NaturalPlace,Location"
104,DBPEDIA_ID/Avalanche_Glacier,"Glacier,Place,NaturalPlace,Location"
105,DBPEDIA_ID/Bastile_Glacier,"Glacier,Place,NaturalPlace,Location"
106,DBPEDIA_ID/Bend_Glacier,"Glacier,Place,NaturalPlace,Location"
107,DBPEDIA_ID/Benson_Glacier_(Oregon),"Glacier,Place,NaturalPlace,Location"
108,DBPEDIA_ID/Blackwell_Glacier,"Glacier,Place,NaturalPlace,Location"
109,DBPEDIA_ID/Blue_Glacier,"Glacier,Place,NaturalPlace,Location"
110,DBPEDIA_ID/Bolam_Glacier,"Glacier,Place,NaturalPlace,Location"
111,DBPEDIA_ID/Borealis_Glacier,"Glacier,Place,NaturalPlace,Location"
112,DBPEDIA_ID/Boston_Glacier,"Glacier,Place,NaturalPlace,Location"
113,DBPEDIA_ID/Bow_Glacier,"Glacier,Place,NaturalPlace,Location"
114,DBPEDIA_ID/Brooks_Glacier,"Glacier,Place,NaturalPlace,Location"
115,DBPEDIA_ID/Bryn_Mawr_Glacier,"Glacier,Place,NaturalPlace,Location"
116,DBPEDIA_ID/Buckner_Glacier,"Glacier,Place,NaturalPlace,Location"
117,DBPEDIA_ID/Buckskin_Glacier,"Glacier,Place,NaturalPlace,Location"
118,DBPEDIA_ID/Butterfly_Glacier,"Glacier,Place,NaturalPlace,Location"
119,DBPEDIA_ID/Cameron_Glaciers,"Glacier,Place,NaturalPlace,Location"
120,DBPEDIA_ID/Cantwell_Glacier,"Glacier,Place,NaturalPlace,Location"
121,DBPEDIA_ID/Carbon_Glacier,"Glacier,Place,NaturalPlace,Location"
122,DBPEDIA_ID/Carter_Glaciers,"Glacier,Place,NaturalPlace,Location"
123,DBPEDIA_ID/Carver_Glacier,"Glacier,Place,NaturalPlace,Location"
124,DBPEDIA_ID/Castle_Rock_Glacier,"Glacier,Place,NaturalPlace,Location"
125,DBPEDIA_ID/Challenger_Glacier_(Washington),"Glacier,Place,NaturalPlace,Location"
126,DBPEDIA_ID/Chickamin_Glacier_(Washington),"Glacier,Place,NaturalPlace,Location"
127,DBPEDIA_ID/Chocolate_Glacier,"Glacier,Place,NaturalPlace,Location"
128,DBPEDIA_ID/Clark_Glacier_(Oregon),"Glacier,Place,NaturalPlace,Location"
129,DBPEDIA_ID/Coalman_Glacier,"Glacier,Place,NaturalPlace,Location"
130,DBPEDIA_ID/Coe_Glacier,"Glacier,Place,NaturalPlace,Location"
