,entity,classes
0,DBPEDIA_ID/San_Roque_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
1,DBPEDIA_ID/Harmon_Links,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
2,DBPEDIA_ID/George_W._Dunne_Golf_Course_and_Driving_Range,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
3,DBPEDIA_ID/Moonah_Links,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
4,DBPEDIA_ID/Machrie_golf_course,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
5,DBPEDIA_ID/Royal_Wellington_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
6,DBPEDIA_ID/Tamarack_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
7,DBPEDIA_ID/Barnbougle_Dunes,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
8,DBPEDIA_ID/Barsebäck_Golf_&_Country_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
9,DBPEDIA_ID/Champions_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
10,DBPEDIA_ID/Cypress_Point_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
11,DBPEDIA_ID/Forest_Oaks_Country_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
12,DBPEDIA_ID/Hudson_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
13,DBPEDIA_ID/Llanymynech_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
14,DBPEDIA_ID/Merchantville_Country_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
15,DBPEDIA_ID/Niakwa_Country_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
16,DBPEDIA_ID/Turnhouse_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
17,DBPEDIA_ID/Glenwood_Golf_Course,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
18,DBPEDIA_ID/Omaha_Country_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
19,DBPEDIA_ID/Porto_Santo_Golfe,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
20,DBPEDIA_ID/Blomidon_Golf_&_Country_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
21,DBPEDIA_ID/Ross_Creek_Landing,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
22,DBPEDIA_ID/New_South_Wales_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
23,DBPEDIA_ID/TPC_of_Myrtle_Beach,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
24,DBPEDIA_ID/Tryall_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
25,DBPEDIA_ID/Lahinch_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
26,DBPEDIA_ID/Rio_Pinar_Country_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
27,DBPEDIA_ID/Huyton_&_Prescot_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
28,DBPEDIA_ID/Nuwara_Eliya_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
29,DBPEDIA_ID/The_Golf_Club_at_Harbor_Shores,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
30,DBPEDIA_ID/The_Park_Country_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
31,DBPEDIA_ID/Abersoch_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
32,DBPEDIA_ID/Criccieth_Golf_Course,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
33,DBPEDIA_ID/Denbigh_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
34,DBPEDIA_ID/Mold_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
35,DBPEDIA_ID/Nefyn_&_District_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
36,DBPEDIA_ID/Old_Padeswood_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
37,DBPEDIA_ID/Royal_Sydney_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
38,DBPEDIA_ID/The_Grand_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
39,DBPEDIA_ID/Bala_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
40,DBPEDIA_ID/Commonwealth_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
41,DBPEDIA_ID/Holywell_Golf_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
42,DBPEDIA_ID/Iloilo_Golf_and_Country_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
