,entity,classes
0,DBPEDIA_ID/Greg_Norman,"Person,Athlete,GolfPlayer,Agent"
1,DBPEDIA_ID/Mi-Hyun_Kim,"Person,Athlete,GolfPlayer,Agent"
2,DBPEDIA_ID/Andrew_Johnson_(golfer),"Person,Athlete,GolfPlayer,Agent"
3,DBPEDIA_ID/Charles_Mayo_(golfer),"Person,Athlete,GolfPlayer,Agent"
4,DBPEDIA_ID/Jean_van_de_Velde_(golfer),"Person,Athlete,GolfPlayer,Agent"
5,DBPEDIA_ID/Louise_Suggs,"Person,Athlete,GolfPlayer,Agent"
6,DBPEDIA_ID/Michiko_Hattori,"Person,Athlete,GolfPlayer,Agent"
7,DBPEDIA_ID/Michiko_Okada,"Person,Athlete,GolfPlayer,Agent"
8,DBPEDIA_ID/Scott_Gump,"Person,Athlete,GolfPlayer,Agent"
9,DBPEDIA_ID/Bernhard_Langer,"Person,Athlete,GolfPlayer,Agent"
10,DBPEDIA_ID/Bill_Haas,"Person,Athlete,GolfPlayer,Agent"
11,DBPEDIA_ID/Billy_Andrade,"Person,Athlete,GolfPlayer,Agent"
12,DBPEDIA_ID/Bob_MacDonald_(golfer),"Person,Athlete,GolfPlayer,Agent"
13,DBPEDIA_ID/Bob_Martin_(golfer),"Person,Athlete,GolfPlayer,Agent"
14,DBPEDIA_ID/Brian_Barnes_(golfer),"Person,Athlete,GolfPlayer,Agent"
15,DBPEDIA_ID/Brian_Jones_(golfer),"Person,Athlete,GolfPlayer,Agent"
16,DBPEDIA_ID/Charles_B._Macdonald,"Person,Athlete,GolfPlayer,Agent"
17,DBPEDIA_ID/Chris_Anderson_(golfer),"Person,Athlete,GolfPlayer,Agent"
18,DBPEDIA_ID/Craig_Perks,"Person,Athlete,GolfPlayer,Agent"
19,"DBPEDIA_ID/David_Anderson,_Jr.","Person,Athlete,GolfPlayer,Agent"
20,"DBPEDIA_ID/David_Anderson,_Sr.","Person,Athlete,GolfPlayer,Agent"
21,DBPEDIA_ID/David_Frost_(golfer),"Person,Athlete,GolfPlayer,Agent"
22,DBPEDIA_ID/David_Hearn_(golfer),"Person,Athlete,GolfPlayer,Agent"
