,entity,classes
0,DBPEDIA_ID/Toto_Japan_Classic,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
1,DBPEDIA_ID/Bob_Hope_British_Classic,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
2,DBPEDIA_ID/CareerBuilder_Challenge,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
3,DBPEDIA_ID/Doral_Open,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
4,DBPEDIA_ID/Valero_Texas_Open,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
5,DBPEDIA_ID/1999_World_Cup_of_Golf,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
6,DBPEDIA_ID/2011_World_Cup_(men's_golf),"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
7,DBPEDIA_ID/John_Deere_Classic,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
8,DBPEDIA_ID/Munsingwear_Open_KSB_Cup,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
9,DBPEDIA_ID/1941_PGA_Championship,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
10,DBPEDIA_ID/1984_Nabisco_Dinah_Shore,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
11,DBPEDIA_ID/2000_LPGA_Championship,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
12,DBPEDIA_ID/Ardmore_Open_(LPGA_Tour),"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
13,DBPEDIA_ID/Coca-Cola_Charity_Championship,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
14,DBPEDIA_ID/Copa_Tres_Diamantes,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
15,DBPEDIA_ID/Freedom/Orlando_Classic,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
16,DBPEDIA_ID/Gallaher_Ulster_Open,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
