,entity,classes
0,DBPEDIA_ID/California_Department_of_Transportation,"GovernmentAgency,Organisation,Agent"
1,DBPEDIA_ID/Canadian_Radio-television_and_Telecommunications_Commission,"GovernmentAgency,Organisation,Agent"
2,DBPEDIA_ID/Centers_for_Disease_Control_and_Prevention,"GovernmentAgency,Organisation,Agent"
3,Cheka,"GovernmentAgency,Organisation,Agent"
4,DARPA,"GovernmentAgency,Organisation,Agent"
5,DBPEDIA_ID/European_Environment_Agency,"GovernmentAgency,Organisation,Agent"
6,DBPEDIA_ID/Federal_Aviation_Administration,"GovernmentAgency,Organisation,Agent"
7,DBPEDIA_ID/Federal_Bureau_of_Investigation,"GovernmentAgency,Organisation,Agent"
8,DBPEDIA_ID/Food_and_Drug_Administration,"GovernmentAgency,Organisation,Agent"
9,Gestapo,"GovernmentAgency,Organisation,Agent"
10,DBPEDIA_ID/Government_Communications_Headquarters,"GovernmentAgency,Organisation,Agent"
11,DBPEDIA_ID/Jet_Propulsion_Laboratory,"GovernmentAgency,Organisation,Agent"
12,DBPEDIA_ID/Kennedy_Space_Center,"GovernmentAgency,Organisation,Agent"
13,DBPEDIA_ID/National_Institute_of_Standards_and_Technology,"GovernmentAgency,Organisation,Agent"
14,DBPEDIA_ID/National_Security_Agency,"GovernmentAgency,Organisation,Agent"
15,DBPEDIA_ID/National_Transportation_Safety_Board,"GovernmentAgency,Organisation,Agent"
16,DBPEDIA_ID/Office_of_Strategic_Services,"GovernmentAgency,Organisation,Agent"
17,Schutzstaffel,"GovernmentAgency,Organisation,Agent"
18,DBPEDIA_ID/Civil_Contingencies_Secretariat,"GovernmentAgency,Organisation,Agent"
19,DBPEDIA_ID/Forestry_Commission,"GovernmentAgency,Organisation,Agent"
20,DBPEDIA_ID/United_States_Agency_for_International_Development,"GovernmentAgency,Organisation,Agent"
21,"DBPEDIA_ID/Child,_Youth_and_Family_(New_Zealand)","GovernmentAgency,Organisation,Agent"
22,DBPEDIA_ID/Employment_Development_Department,"GovernmentAgency,Organisation,Agent"
23,DBPEDIA_ID/Georgian_National_Communications_Commission,"GovernmentAgency,Organisation,Agent"
24,DBPEDIA_ID/Military_Health_System,"GovernmentAgency,Organisation,Agent"
25,DBPEDIA_ID/Ministry_of_National_Integration,"GovernmentAgency,Organisation,Agent"
26,DBPEDIA_ID/National_Security_Intelligence,"GovernmentAgency,Organisation,Agent"
27,DBPEDIA_ID/Office_of_the_Vice_President_of_the_United_States,"GovernmentAgency,Organisation,Agent"
28,DBPEDIA_ID/Puntland_Highway_Authority,"GovernmentAgency,Organisation,Agent"
29,DBPEDIA_ID/Scion_(Crown_Research_Institute),"GovernmentAgency,Organisation,Agent"
30,DBPEDIA_ID/Aboriginal_Housing_Office,"GovernmentAgency,Organisation,Agent"
31,DBPEDIA_ID/Acoustics_Research_Institute,"GovernmentAgency,Organisation,Agent"
32,DBPEDIA_ID/Afghanistan-Pakistan_Center_of_Excellence,"GovernmentAgency,Organisation,Agent"
33,DBPEDIA_ID/Alabama_Department_of_Environmental_Management,"GovernmentAgency,Organisation,Agent"
34,DBPEDIA_ID/Alaska_Department_of_Natural_Resources,"GovernmentAgency,Organisation,Agent"
35,DBPEDIA_ID/Arms_Control_and_Disarmament_Agency,"GovernmentAgency,Organisation,Agent"
36,DBPEDIA_ID/Australian_Border_Force,"GovernmentAgency,Organisation,Agent"
37,DBPEDIA_ID/Azerbaijan_International_Development_Agency,"GovernmentAgency,Organisation,Agent"
38,DBPEDIA_ID/Big_Bear_Discovery_Center,"GovernmentAgency,Organisation,Agent"
39,DBPEDIA_ID/Bureau_of_European_and_Eurasian_Affairs,"GovernmentAgency,Organisation,Agent"
40,DBPEDIA_ID/Canada_Customs_and_Revenue_Agency,"GovernmentAgency,Organisation,Agent"
41,DBPEDIA_ID/Canadian_Food_Inspection_Agency,"GovernmentAgency,Organisation,Agent"
42,DBPEDIA_ID/Canadian_Hurricane_Centre,"GovernmentAgency,Organisation,Agent"
43,DBPEDIA_ID/Chancellery_of_the_Prime_Minister_of_Poland,"GovernmentAgency,Organisation,Agent"
44,DBPEDIA_ID/Civil_Aviation_Administration_of_China,"GovernmentAgency,Organisation,Agent"
45,DBPEDIA_ID/Colorado_Department_of_Natural_Resources,"GovernmentAgency,Organisation,Agent"
46,DBPEDIA_ID/Commodity_Futures_Trading_Commission,"GovernmentAgency,Organisation,Agent"
47,DBPEDIA_ID/Council_on_Environmental_Quality,"GovernmentAgency,Organisation,Agent"
48,DBPEDIA_ID/Defence_Support_Group,"GovernmentAgency,Organisation,Agent"
49,DBPEDIA_ID/Defense_Acquisition_Program_Administration,"GovernmentAgency,Organisation,Agent"
50,DBPEDIA_ID/Department_for_Employment_and_Learning,"GovernmentAgency,Organisation,Agent"
51,"DBPEDIA_ID/Department_of_Agriculture,_Fisheries_and_Forestry_(Australia)","GovernmentAgency,Organisation,Agent"
52,"DBPEDIA_ID/Department_of_Agriculture,_Fisheries_and_Forestry_(Queensland)","GovernmentAgency,Organisation,Agent"
53,DBPEDIA_ID/Department_of_Budget_and_Management,"GovernmentAgency,Organisation,Agent"
54,DBPEDIA_ID/Department_of_Finance_(Philippines),"GovernmentAgency,Organisation,Agent"
55,"DBPEDIA_ID/Department_of_Immigration,_Refugees_and_Citizenship","GovernmentAgency,Organisation,Agent"
56,DBPEDIA_ID/Department_of_Main_Roads_(Queensland),"GovernmentAgency,Organisation,Agent"
57,DBPEDIA_ID/Department_of_Scientific_and_Industrial_Research_(New_Zealand),"GovernmentAgency,Organisation,Agent"
58,DBPEDIA_ID/Department_of_Scientific_and_Industrial_Research_(United_Kingdom),"GovernmentAgency,Organisation,Agent"
59,DBPEDIA_ID/Department_of_Sustainability_and_Environment,"GovernmentAgency,Organisation,Agent"
60,DBPEDIA_ID/Department_of_Treasury_and_Finance_(Victoria),"GovernmentAgency,Organisation,Agent"
61,DBPEDIA_ID/Directorate_of_Military_Intelligence,"GovernmentAgency,Organisation,Agent"
62,DBPEDIA_ID/Division_of_City_Schools–Valenzuela,"GovernmentAgency,Organisation,Agent"
63,DBPEDIA_ID/Energy_Market_Authority,"GovernmentAgency,Organisation,Agent"
64,DBPEDIA_ID/European_Medicines_Agency,"GovernmentAgency,Organisation,Agent"
65,DBPEDIA_ID/Fair_Work_Ombudsman,"GovernmentAgency,Organisation,Agent"
66,DBPEDIA_ID/Federal_Chancellery_of_Switzerland,"GovernmentAgency,Organisation,Agent"
67,DBPEDIA_ID/Fisheries_and_Oceans_Canada,"GovernmentAgency,Organisation,Agent"
68,DBPEDIA_ID/Forest_Products_Laboratory,"GovernmentAgency,Organisation,Agent"
69,DBPEDIA_ID/Forward_Markets_Commission_(India),"GovernmentAgency,Organisation,Agent"
70,DBPEDIA_ID/Garda_Crime_and_Security_Branch,"GovernmentAgency,Organisation,Agent"
71,DBPEDIA_ID/Hong_Kong_Observatory,"GovernmentAgency,Organisation,Agent"
72,DBPEDIA_ID/Illinois_Department_of_Natural_Resources,"GovernmentAgency,Organisation,Agent"
73,DBPEDIA_ID/Interagency_Language_Roundtable,"GovernmentAgency,Organisation,Agent"
74,DBPEDIA_ID/International_Trade_Administration,"GovernmentAgency,Organisation,Agent"
75,DBPEDIA_ID/Iowa_Department_of_Natural_Resources,"GovernmentAgency,Organisation,Agent"
76,DBPEDIA_ID/Korea_Communications_Commission,"GovernmentAgency,Organisation,Agent"
77,DBPEDIA_ID/Kuwait_Investment_Authority,"GovernmentAgency,Organisation,Agent"
78,DBPEDIA_ID/Malaysian_Communications_and_Multimedia_Commission,"GovernmentAgency,Organisation,Agent"
79,DBPEDIA_ID/Michigan_Department_of_Natural_Resources,"GovernmentAgency,Organisation,Agent"
80,DBPEDIA_ID/Ministry_of_People's_Security_(North_Korea),"GovernmentAgency,Organisation,Agent"
81,DBPEDIA_ID/Ministry_of_Public_Security_(China),"GovernmentAgency,Organisation,Agent"
82,DBPEDIA_ID/Ministry_of_Railways_(China),"GovernmentAgency,Organisation,Agent"
83,DBPEDIA_ID/Ministry_of_Railways_(India),"GovernmentAgency,Organisation,Agent"
84,DBPEDIA_ID/Ministry_of_Railways_(Pakistan),"GovernmentAgency,Organisation,Agent"
85,DBPEDIA_ID/Ministry_of_Railways_(Soviet_Union),"GovernmentAgency,Organisation,Agent"
86,DBPEDIA_ID/Ministry_of_Transportation_of_Ontario,"GovernmentAgency,Organisation,Agent"
87,DBPEDIA_ID/Minnesota_Department_of_Natural_Resources,"GovernmentAgency,Organisation,Agent"
