,entity,classes
0,DBPEDIA_ID/Kenneth_Mitchell_(politician),"Person,Politician,Governor,Agent"
1,DBPEDIA_ID/Elihu_Yale,"Person,Politician,Governor,Agent"
2,"DBPEDIA_ID/Harold_Alexander,_1st_Earl_Alexander_of_Tunis","Person,Politician,Governor,Agent"
3,DBPEDIA_ID/John_Hancock,"Person,Politician,Governor,Agent"
4,DBPEDIA_ID/Rafael_Hernández_Colón,"Person,Politician,Governor,Agent"
5,DBPEDIA_ID/Adrienne_Clarkson,"Person,Politician,Governor,Agent"
6,DBPEDIA_ID/James_McNeill,"Person,Politician,Governor,Agent"
7,DBPEDIA_ID/Juan_de_Oñate,"Person,Politician,Governor,Agent"
8,DBPEDIA_ID/Roberto_Sánchez_Vilella,"Person,Politician,Governor,Agent"
9,DBPEDIA_ID/Rudy_Perpich,"Person,Politician,Governor,Agent"
10,DBPEDIA_ID/Ezra_A._Burrell,"Person,Politician,Governor,Agent"
11,DBPEDIA_ID/Ezra_Butler,"Person,Politician,Governor,Agent"
12,DBPEDIA_ID/Joseph_Lawrence_(Pennsylvania),"Person,Politician,Governor,Agent"
13,DBPEDIA_ID/William_Sherman_Jennings,"Person,Politician,Governor,Agent"
14,DBPEDIA_ID/Andrew_Clarke_(British_Army_officer),"Person,Politician,Governor,Agent"
15,DBPEDIA_ID/Benedict_Arnold_(governor),"Person,Politician,Governor,Agent"
16,DBPEDIA_ID/Cecil_H._Underwood,"Person,Politician,Governor,Agent"
17,DBPEDIA_ID/Charles_Clark_(governor),"Person,Politician,Governor,Agent"
18,DBPEDIA_ID/Charles_Jackson_(Rhode_Island),"Person,Politician,Governor,Agent"
19,DBPEDIA_ID/David_Wallace_(Indiana_politician),"Person,Politician,Governor,Agent"
20,DBPEDIA_ID/Emilio_Mario_Osmeña,"Person,Politician,Governor,Agent"
21,DBPEDIA_ID/Francisco_de_Aguirre_(conquistador),"Person,Politician,Governor,Agent"
22,DBPEDIA_ID/Frank_Merriam,"Person,Politician,Governor,Agent"
23,DBPEDIA_ID/George_Izard,"Person,Politician,Governor,Agent"
24,DBPEDIA_ID/Habiba_Sarobi,"Person,Politician,Governor,Agent"
25,DBPEDIA_ID/Henry_Horner,"Person,Politician,Governor,Agent"
26,DBPEDIA_ID/Henry_M._Hyams,"Person,Politician,Governor,Agent"
27,DBPEDIA_ID/Henry_Young,"Person,Politician,Governor,Agent"
28,DBPEDIA_ID/Humberto_Moreira,"Person,Politician,Governor,Agent"
29,DBPEDIA_ID/James_Harrison_(Australian_governor),"Person,Politician,Governor,Agent"
30,DBPEDIA_ID/James_Turner,"Person,Politician,Governor,Agent"
31,DBPEDIA_ID/John_Garland_Pollard,"Person,Politician,Governor,Agent"
32,DBPEDIA_ID/John_M._Patton,"Person,Politician,Governor,Agent"
33,DBPEDIA_ID/John_McDougall_(California_politician),"Person,Politician,Governor,Agent"
34,"DBPEDIA_ID/John_Morrison,_2nd_Viscount_Dunrossil","Person,Politician,Governor,Agent"
35,DBPEDIA_ID/Jon_Corzine,"Person,Politician,Governor,Agent"
36,"DBPEDIA_ID/José_Carrillo_de_Albornoz,_1st_Duke_of_Montemar","Person,Politician,Governor,Agent"
37,"DBPEDIA_ID/José_Manso_de_Velasco,_1st_Count_of_Superunda","Person,Politician,Governor,Agent"
38,"DBPEDIA_ID/Juan_Francisco_de_Güemes,_1st_Count_of_Revillagigedo","Person,Politician,Governor,Agent"
39,DBPEDIA_ID/Lewis_Tappan,"Person,Politician,Governor,Agent"
