,entity,classes
0,DBPEDIA_ID/1964_Aintree_200,"SportsEvent,GrandPrix,Event,SocietalEvent"
1,DBPEDIA_ID/2006_Brazilian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
2,DBPEDIA_ID/2011_Chinese_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
3,DBPEDIA_ID/1962_Solitude_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
4,DBPEDIA_ID/1967_Mexican_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
5,DBPEDIA_ID/1932_French_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
6,DBPEDIA_ID/1933_Monaco_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
7,DBPEDIA_ID/1936_Monaco_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
8,DBPEDIA_ID/1937_Monaco_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
9,DBPEDIA_ID/2007_Australian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
10,DBPEDIA_ID/2007_Bahrain_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
11,DBPEDIA_ID/2007_Belgian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
12,DBPEDIA_ID/2007_Brazilian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
13,DBPEDIA_ID/2007_British_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
14,DBPEDIA_ID/2007_Canadian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
15,DBPEDIA_ID/2007_Chinese_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
16,DBPEDIA_ID/2007_European_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
17,DBPEDIA_ID/2007_French_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
18,DBPEDIA_ID/2007_Hungarian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
19,DBPEDIA_ID/2007_Italian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
20,DBPEDIA_ID/2007_Japanese_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
21,DBPEDIA_ID/2007_Monaco_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
22,DBPEDIA_ID/2007_United_States_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
23,DBPEDIA_ID/1965_Syracuse_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
24,DBPEDIA_ID/1950_Italian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
25,DBPEDIA_ID/1961_Coppa_Italia,"SportsEvent,GrandPrix,Event,SocietalEvent"
26,DBPEDIA_ID/1962_Aintree_200,"SportsEvent,GrandPrix,Event,SocietalEvent"
27,DBPEDIA_ID/1962_British_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
28,DBPEDIA_ID/1965_Belgian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
29,DBPEDIA_ID/1969_Australian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
30,DBPEDIA_ID/1971_United_States_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
31,DBPEDIA_ID/1976_Brazilian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
32,DBPEDIA_ID/1979_United_States_Grand_Prix_West,"SportsEvent,GrandPrix,Event,SocietalEvent"
33,DBPEDIA_ID/1985_Dutch_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
34,DBPEDIA_ID/1989_Canadian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
35,DBPEDIA_ID/1989_Portuguese_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
36,DBPEDIA_ID/1992_Canadian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
37,DBPEDIA_ID/2002_Hungarian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
38,DBPEDIA_ID/1955_Belgian_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
39,DBPEDIA_ID/1959_British_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
40,DBPEDIA_ID/1959_United_States_Grand_Prix,"SportsEvent,GrandPrix,Event,SocietalEvent"
