,entity,classes
0,DBPEDIA_ID/Alaina_Johnson,"Gymnast,Person,Athlete,Agent"
1,DBPEDIA_ID/Lilia_Podkopayeva,"Gymnast,Person,Athlete,Agent"
2,DBPEDIA_ID/Kerri_Strug,"Gymnast,Person,Athlete,Agent"
3,DBPEDIA_ID/Claire_Martin_(gymnast),"Gymnast,Person,Athlete,Agent"
4,DBPEDIA_ID/David_Durante,"Gymnast,Person,Athlete,Agent"
5,DBPEDIA_ID/Florica_Leonida,"Gymnast,Person,Athlete,Agent"
6,DBPEDIA_ID/Imogen_Cairns,"Gymnast,Person,Athlete,Agent"
7,DBPEDIA_ID/Ivana_Hong,"Gymnast,Person,Athlete,Agent"
8,DBPEDIA_ID/Kiyoko_Ono,"Gymnast,Person,Athlete,Agent"
9,DBPEDIA_ID/Maria_Petrova_(rhythmic_gymnast),"Gymnast,Person,Athlete,Agent"
10,DBPEDIA_ID/Sakura_Hayakawa,"Gymnast,Person,Athlete,Agent"
11,DBPEDIA_ID/Samantha_Sheehan,"Gymnast,Person,Athlete,Agent"
12,DBPEDIA_ID/Shinji_Morisue,"Gymnast,Person,Athlete,Agent"
13,DBPEDIA_ID/Tong_Fei,"Gymnast,Person,Athlete,Agent"
14,DBPEDIA_ID/Edward_Hennig,"Gymnast,Person,Athlete,Agent"
15,DBPEDIA_ID/Alois_Hudec,"Gymnast,Person,Athlete,Agent"
16,DBPEDIA_ID/Ashish_Kumar,"Gymnast,Person,Athlete,Agent"
17,DBPEDIA_ID/Corina_Ungureanu,"Gymnast,Person,Athlete,Agent"
18,DBPEDIA_ID/Daisuke_Nakata,"Gymnast,Person,Athlete,Agent"
19,DBPEDIA_ID/Diana_Popova,"Gymnast,Person,Athlete,Agent"
20,DBPEDIA_ID/Dominique_Pegg,"Gymnast,Person,Athlete,Agent"
21,DBPEDIA_ID/Elvira_Saadi,"Gymnast,Person,Athlete,Agent"
22,DBPEDIA_ID/Elvire_Teza,"Gymnast,Person,Athlete,Agent"
23,DBPEDIA_ID/George_Ross_(gymnast),"Gymnast,Person,Athlete,Agent"
24,DBPEDIA_ID/Heather_Purnell,"Gymnast,Person,Athlete,Agent"
25,DBPEDIA_ID/Heikki_Savolainen_(gymnast),"Gymnast,Person,Athlete,Agent"
26,DBPEDIA_ID/Holger_Behrendt,"Gymnast,Person,Athlete,Agent"
27,DBPEDIA_ID/Jud_Simons,"Gymnast,Person,Athlete,Agent"
28,DBPEDIA_ID/Mikhail_Voronin,"Gymnast,Person,Athlete,Agent"
