,entity,classes
0,DBPEDIA_ID/Japan_Handball_League,"HandballLeague,Organisation,SportsLeague,Agent"
1,DBPEDIA_ID/Women's_EHF_Challenge_Cup,"HandballLeague,Organisation,SportsLeague,Agent"
2,DBPEDIA_ID/Women's_EHF_Cup,"HandballLeague,Organisation,SportsLeague,Agent"
3,DBPEDIA_ID/African_Women's_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
4,DBPEDIA_ID/Baia_Mare_Champions_Trophy,"HandballLeague,Organisation,SportsLeague,Agent"
5,DBPEDIA_ID/Supercopa_de_España_de_Balonmano_Femenino,"HandballLeague,Organisation,SportsLeague,Agent"
6,DBPEDIA_ID/Slovenská_hadzanárska_extraliga,"HandballLeague,Organisation,SportsLeague,Agent"
7,DBPEDIA_ID/IHF_Emerging_Nations_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
8,DBPEDIA_ID/Maha_Handball_Super_League,"HandballLeague,Organisation,SportsLeague,Agent"
9,DBPEDIA_ID/African_Men's_Junior_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
10,DBPEDIA_ID/Asian_Men's_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
11,DBPEDIA_ID/Asian_Women's_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
12,DBPEDIA_ID/IHF_World_Women's_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
13,DBPEDIA_ID/A2_Ethniki_Handball,"HandballLeague,Organisation,SportsLeague,Agent"
14,DBPEDIA_ID/Greek_Men's_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
15,DBPEDIA_ID/Greek_Women's_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
16,DBPEDIA_ID/African_Women's_Junior_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
17,DBPEDIA_ID/Regional_Sparkasse_League,"HandballLeague,Organisation,SportsLeague,Agent"
18,DBPEDIA_ID/Women's_EHF_Cup_Winners'_Cup,"HandballLeague,Organisation,SportsLeague,Agent"
19,DBPEDIA_ID/Bucharest_Trophy,"HandballLeague,Organisation,SportsLeague,Agent"
20,DBPEDIA_ID/Russian_Women's_Handball_Super_League,"HandballLeague,Organisation,SportsLeague,Agent"
21,DBPEDIA_ID/Ukrainian_Women's_Handball_Super_League,"HandballLeague,Organisation,SportsLeague,Agent"
22,DBPEDIA_ID/Elitserien_(women's_handball),"HandballLeague,Organisation,SportsLeague,Agent"
23,DBPEDIA_ID/Supertaça_de_Angola_(handball),"HandballLeague,Organisation,SportsLeague,Agent"
24,DBPEDIA_ID/Ukrainian_Men's_Handball_Super_League,"HandballLeague,Organisation,SportsLeague,Agent"
25,DBPEDIA_ID/African_Men's_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
26,DBPEDIA_ID/Women's_EHF_Champions_League,"HandballLeague,Organisation,SportsLeague,Agent"
27,DBPEDIA_ID/Turkish_Handball_Super_League,"HandballLeague,Organisation,SportsLeague,Agent"
28,DBPEDIA_ID/Asian_Women's_Youth_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
29,DBPEDIA_ID/Taça_de_Angola_(handball),"HandballLeague,Organisation,SportsLeague,Agent"
30,DBPEDIA_ID/African_Men's_Youth_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
31,DBPEDIA_ID/IHF_World_Men's_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
32,DBPEDIA_ID/African_Women's_Youth_Handball_Championship,"HandballLeague,Organisation,SportsLeague,Agent"
