,entity,classes
0,DBPEDIA_ID/DHC_Sokol_Poruba,"Organisation,SportsTeam,Agent,HandballTeam"
1,DBPEDIA_ID/SPR_Lublin_SSA,"Organisation,SportsTeam,Agent,HandballTeam"
2,DBPEDIA_ID/Dominican_Republic_women's_national_beach_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
3,DBPEDIA_ID/Italy_women's_national_beach_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
4,DBPEDIA_ID/Lebanon_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
5,DBPEDIA_ID/MT_Melsungen,"Organisation,SportsTeam,Agent,HandballTeam"
6,DBPEDIA_ID/Maccabi_Rehovot_(handball),"Organisation,SportsTeam,Agent,HandballTeam"
7,DBPEDIA_ID/PLER_KC,"Organisation,SportsTeam,Agent,HandballTeam"
8,DBPEDIA_ID/IFK_Malmö_Handboll,"Organisation,SportsTeam,Agent,HandballTeam"
9,DBPEDIA_ID/Hapoel_Petah_Tikva_(handball),"Organisation,SportsTeam,Agent,HandballTeam"
10,DBPEDIA_ID/Oman_national_beach_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
11,DBPEDIA_ID/CSA_Steaua_Alexandrion_București_(handball),"Organisation,SportsTeam,Agent,HandballTeam"
12,DBPEDIA_ID/Yugoslavia_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
13,DBPEDIA_ID/Austria_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
14,DBPEDIA_ID/HC_Empor_Rostock,"Organisation,SportsTeam,Agent,HandballTeam"
15,DBPEDIA_ID/Czech_Republic_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
16,DBPEDIA_ID/HMRK_Zrinjski_Mostar,"Organisation,SportsTeam,Agent,HandballTeam"
17,DBPEDIA_ID/Hammarby_IF_Handboll,"Organisation,SportsTeam,Agent,HandballTeam"
18,DBPEDIA_ID/Poland_women's_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
19,DBPEDIA_ID/Chekhovskiye_Medvedi,"Organisation,SportsTeam,Agent,HandballTeam"
20,DBPEDIA_ID/HC_Minaur_Baia_Mare,"Organisation,SportsTeam,Agent,HandballTeam"
21,DBPEDIA_ID/RK_Metković,"Organisation,SportsTeam,Agent,HandballTeam"
22,DBPEDIA_ID/Redbergslids_IK,"Organisation,SportsTeam,Agent,HandballTeam"
23,DBPEDIA_ID/US_Ivry_Handball,"Organisation,SportsTeam,Agent,HandballTeam"
24,DBPEDIA_ID/Brazil_national_beach_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
25,DBPEDIA_ID/Turkey_national_beach_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
26,DBPEDIA_ID/Croatia_women's_national_beach_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
27,DBPEDIA_ID/Turkey_women's_national_beach_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
28,DBPEDIA_ID/1.MHK_Košice,"Organisation,SportsTeam,Agent,HandballTeam"
29,DBPEDIA_ID/Dunaújvárosi_NKS,"Organisation,SportsTeam,Agent,HandballTeam"
30,DBPEDIA_ID/Frederiksberg_IF,"Organisation,SportsTeam,Agent,HandballTeam"
31,DBPEDIA_ID/Horsens_HK,"Organisation,SportsTeam,Agent,HandballTeam"
32,DBPEDIA_ID/Kadetten_Schaffhausen,"Organisation,SportsTeam,Agent,HandballTeam"
33,DBPEDIA_ID/RK_Radnički_Kragujevac,"Organisation,SportsTeam,Agent,HandballTeam"
34,DBPEDIA_ID/RK_Železničar_1949,"Organisation,SportsTeam,Agent,HandballTeam"
35,DBPEDIA_ID/Team_Esbjerg,"Organisation,SportsTeam,Agent,HandballTeam"
36,DBPEDIA_ID/Thüringer_HC,"Organisation,SportsTeam,Agent,HandballTeam"
37,DBPEDIA_ID/BM_Huesca,"Organisation,SportsTeam,Agent,HandballTeam"
38,DBPEDIA_ID/Bristol_Handball_Club,"Organisation,SportsTeam,Agent,HandballTeam"
39,DBPEDIA_ID/Cameroon_women's_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
40,DBPEDIA_ID/Dinamo_Volgograd,"Organisation,SportsTeam,Agent,HandballTeam"
41,DBPEDIA_ID/Doosan_Handball_Club,"Organisation,SportsTeam,Agent,HandballTeam"
42,DBPEDIA_ID/HC_Odorheiu_Secuiesc,"Organisation,SportsTeam,Agent,HandballTeam"
43,DBPEDIA_ID/IDTC_Handball_Club,"Organisation,SportsTeam,Agent,HandballTeam"
44,DBPEDIA_ID/Luxembourg_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
45,DBPEDIA_ID/Metz_Handball,"Organisation,SportsTeam,Agent,HandballTeam"
46,DBPEDIA_ID/Slovakia_women's_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
47,DBPEDIA_ID/Uzbekistan_women's_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
48,DBPEDIA_ID/VKLSE_Győr,"Organisation,SportsTeam,Agent,HandballTeam"
49,DBPEDIA_ID/Venezuela_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
50,DBPEDIA_ID/Thames_Handball_Club,"Organisation,SportsTeam,Agent,HandballTeam"
51,DBPEDIA_ID/CSM_Ploiești_(men's_handball),"Organisation,SportsTeam,Agent,HandballTeam"
52,DBPEDIA_ID/CSM_Ploiești_(women's_handball),"Organisation,SportsTeam,Agent,HandballTeam"
53,DBPEDIA_ID/Dragūnas_Klaipėda,"Organisation,SportsTeam,Agent,HandballTeam"
54,DBPEDIA_ID/Energia_Lignitul_Pandurii_Târgu_Jiu,"Organisation,SportsTeam,Agent,HandballTeam"
55,DBPEDIA_ID/HC_Motor_Zaporozhye,"Organisation,SportsTeam,Agent,HandballTeam"
56,DBPEDIA_ID/HC_Vilnius,"Organisation,SportsTeam,Agent,HandballTeam"
57,DBPEDIA_ID/HK_Slávia_Partizánske,"Organisation,SportsTeam,Agent,HandballTeam"
58,DBPEDIA_ID/VHC_Šviesa,"Organisation,SportsTeam,Agent,HandballTeam"
59,DBPEDIA_ID/Știința_Municipal_Dedeman_Bacău,"Organisation,SportsTeam,Agent,HandballTeam"
60,DBPEDIA_ID/Dominican_Republic_national_beach_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
61,DBPEDIA_ID/Thailand_women's_national_handball_team,"Organisation,SportsTeam,Agent,HandballTeam"
62,DBPEDIA_ID/Ginasio_do_Sul,"Organisation,SportsTeam,Agent,HandballTeam"
63,DBPEDIA_ID/Granitas_Kaunas,"Organisation,SportsTeam,Agent,HandballTeam"
64,DBPEDIA_ID/Sporting_Clube_da_Horta_(handball)__Handball-team-stub__1,"Organisation,SportsTeam,Agent,HandballTeam"
65,DBPEDIA_ID/TUSEM_Essen,"Organisation,SportsTeam,Agent,HandballTeam"
66,DBPEDIA_ID/Vitaral_Jelfa_Jelenia_Góra,"Organisation,SportsTeam,Agent,HandballTeam"
67,DBPEDIA_ID/CSKA_Kyiv_(handball),"Organisation,SportsTeam,Agent,HandballTeam"
68,DBPEDIA_ID/CS_Universitatea_Reșița,"Organisation,SportsTeam,Agent,HandballTeam"
69,DBPEDIA_ID/HC_Danubius_Galați,"Organisation,SportsTeam,Agent,HandballTeam"
