,entity,classes
0,DBPEDIA_ID/Exeter_Cathedral,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
1,DBPEDIA_ID/Derby_Cathedral,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
2,DBPEDIA_ID/First_Baptist_Church_(Atlanta),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
3,DBPEDIA_ID/First_Baptist_Church_(Dallas),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
4,"DBPEDIA_ID/First_Baptist_Church_(Memphis,_Tennessee)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
5,"DBPEDIA_ID/First_Baptist_Church_(Montgomery,_Alabama)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
6,"DBPEDIA_ID/First_Baptist_Church_(Petersburg,_Virginia)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
7,DBPEDIA_ID/First_Baptist_Church_of_Los_Angeles,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
8,DBPEDIA_ID/First_Baptist_Church_of_Montana_(Helena),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
9,"DBPEDIA_ID/St_Mary_Star_of_the_Sea_Church,_Hastings","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
10,DBPEDIA_ID/The_First_Cathedral,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
11,"DBPEDIA_ID/Basilica_of_St._Mary_of_the_Assumption_(Marietta,_Ohio)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
12,DBPEDIA_ID/Basilica_of_the_Immaculate_Conception_(Barcelona),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
13,DBPEDIA_ID/Basilica_of_the_Immaculate_Conception_(Jardín),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
14,"DBPEDIA_ID/Belmont_Abbey,_Herefordshire","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
15,DBPEDIA_ID/Cathedral_Basilica_of_the_Immaculate_Conception_(Denver),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
16,"DBPEDIA_ID/Cathedral_of_the_Immaculate_Conception_(Albany,_New_York)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
17,"DBPEDIA_ID/Cathedral_of_the_Immaculate_Conception_(Burlington,_Vermont)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
18,"DBPEDIA_ID/Cathedral_of_the_Immaculate_Conception_(Crookston,_Minnesota)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
19,DBPEDIA_ID/Cathedral_of_the_Immaculate_Conception_(Moscow),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
20,DBPEDIA_ID/Cathedral_of_the_Immaculate_Conception_(Philadelphia),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
21,"DBPEDIA_ID/Cathedral_of_the_Immaculate_Conception_(Saint_John,_New_Brunswick)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
22,"DBPEDIA_ID/Cathedral_of_the_Immaculate_Conception_(Springfield,_Illinois)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
23,"DBPEDIA_ID/Cathedral_of_the_Immaculate_Conception_(Tyler,_Texas)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
24,"DBPEDIA_ID/Chapel_of_the_Good_Shepherd_(Chautauqua,_New_York)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
25,"DBPEDIA_ID/Frauenkirche,_Nuremberg","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
26,"DBPEDIA_ID/Greyfriars_Church,_Reading","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
27,DBPEDIA_ID/Haga_Church,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
28,DBPEDIA_ID/Haga_Church_(Norway),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
29,DBPEDIA_ID/Hōkō-ji_(Kyoto),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
30,DBPEDIA_ID/Munich_Frauenkirche,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
31,DBPEDIA_ID/North_Point_Community_Church,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
32,DBPEDIA_ID/Obando_Church,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
33,DBPEDIA_ID/Proto-Cathedral_of_St._James_the_Greater,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
34,DBPEDIA_ID/Ramsund_Chapel,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
35,DBPEDIA_ID/Rijeka_Cathedral,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
36,DBPEDIA_ID/Saint-Jacques_Cathedral_(Montreal),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
37,DBPEDIA_ID/Santo_Domingo_convent,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
38,"DBPEDIA_ID/St._Ambrose_Cathedral_(Des_Moines,_Iowa)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
39,DBPEDIA_ID/St._John_the_Baptist_Cathedral_(Trnava),"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
40,"DBPEDIA_ID/St._Matthew_Cathedral_(South_Bend,_Indiana)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
41,"DBPEDIA_ID/St._Patrick's_Church,_Halifax","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
42,"DBPEDIA_ID/St_Cosmas_and_St_Damian_Church,_Keymer","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
43,"DBPEDIA_ID/St_Patrick's_Cathedral,_Armagh_(Roman_Catholic)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
44,"DBPEDIA_ID/Cathedral_of_Saint_Peter_(Belleville,_Illinois)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
45,"DBPEDIA_ID/St._Paul's_Episcopal_Church_(Peoria,_Illinois)","ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
