,entity,classes
0,DBPEDIA_ID/Balmoral_Castle,"Place,HistoricPlace,Location"
1,DBPEDIA_ID/Ellis_Island,"Place,HistoricPlace,Location"
2,DBPEDIA_ID/Palace_of_Westminster,"Place,HistoricPlace,Location"
3,DBPEDIA_ID/Puget_Sound_Naval_Shipyard_and_Intermediate_Maintenance_Facility,"Place,HistoricPlace,Location"
4,DBPEDIA_ID/Statue_of_Liberty,"Place,HistoricPlace,Location"
5,DBPEDIA_ID/Gawsworth_Old_Hall,"Place,HistoricPlace,Location"
6,DBPEDIA_ID/Glastonbury_Tor,"Place,HistoricPlace,Location"
7,Meteora,"Place,HistoricPlace,Location"
8,DBPEDIA_ID/Bussell_Island,"Place,HistoricPlace,Location"
9,"DBPEDIA_ID/Church_Square_(Columbus,_Georgia)","Place,HistoricPlace,Location"
10,DBPEDIA_ID/Copper_Peak,"Place,HistoricPlace,Location"
11,"DBPEDIA_ID/First_Baptist_Church_(Alamosa,_Colorado)","Place,HistoricPlace,Location"
12,"DBPEDIA_ID/First_Baptist_Church_(Ashland,_Oregon)","Place,HistoricPlace,Location"
13,"DBPEDIA_ID/First_Baptist_Church_(Bridgeport,_Connecticut)","Place,HistoricPlace,Location"
14,"DBPEDIA_ID/First_Baptist_Church_(Casa_Grande,_Arizona)","Place,HistoricPlace,Location"
15,"DBPEDIA_ID/First_Baptist_Church_(Columbus,_Indiana)","Place,HistoricPlace,Location"
16,"DBPEDIA_ID/First_Baptist_Church_(Cumberland,_Maryland)","Place,HistoricPlace,Location"
17,"DBPEDIA_ID/First_Baptist_Church_(Flagstaff,_Arizona)","Place,HistoricPlace,Location"
18,"DBPEDIA_ID/First_Baptist_Church_(Garden_City,_Minnesota)","Place,HistoricPlace,Location"
19,"DBPEDIA_ID/First_Baptist_Church_(Newfane,_New_York)","Place,HistoricPlace,Location"
20,"DBPEDIA_ID/First_Baptist_Church_(Norfolk,_Virginia)","Place,HistoricPlace,Location"
21,"DBPEDIA_ID/First_Baptist_Church_(Poughkeepsie,_New_York)","Place,HistoricPlace,Location"
22,"DBPEDIA_ID/First_Baptist_Church_(Saint_Paul,_Minnesota)","Place,HistoricPlace,Location"
23,"DBPEDIA_ID/First_Baptist_Church_(Sedgwick,_Maine)","Place,HistoricPlace,Location"
24,"DBPEDIA_ID/First_Baptist_Church_(Trinidad,_Colorado)","Place,HistoricPlace,Location"
25,"DBPEDIA_ID/First_Baptist_Church_(West_Baden_Springs,_Indiana)","Place,HistoricPlace,Location"
26,DBPEDIA_ID/First_Baptist_Church_of_Brownsville,"Place,HistoricPlace,Location"
27,DBPEDIA_ID/First_Baptist_Church_of_Camillus,"Place,HistoricPlace,Location"
28,DBPEDIA_ID/First_Baptist_Church_of_Denver,"Place,HistoricPlace,Location"
29,DBPEDIA_ID/First_Baptist_Church_of_Fairport,"Place,HistoricPlace,Location"
30,DBPEDIA_ID/First_Baptist_Church_of_Orange,"Place,HistoricPlace,Location"
31,DBPEDIA_ID/First_Baptist_Church_of_Vermillion,"Place,HistoricPlace,Location"
32,DBPEDIA_ID/First_Baptist_Church_of_West_Union,"Place,HistoricPlace,Location"
33,"DBPEDIA_ID/Franklin_Square_(Bloomington,_Illinois)","Place,HistoricPlace,Location"
34,DBPEDIA_ID/Henson_Recording_Studios,"Place,HistoricPlace,Location"
35,DBPEDIA_ID/MacDuff's_Cross,"Place,HistoricPlace,Location"
36,"DBPEDIA_ID/Meatpacking_District,_Manhattan","Place,HistoricPlace,Location"
37,DBPEDIA_ID/Mille_Lacs_Kathio_State_Park,"Place,HistoricPlace,Location"
38,DBPEDIA_ID/Studenica_Monastery,"Place,HistoricPlace,Location"
39,"DBPEDIA_ID/The_Abbey_(Daytona_Beach,_Florida)","Place,HistoricPlace,Location"
40,"DBPEDIA_ID/Abell,_Baltimore","Place,HistoricPlace,Location"
41,DBPEDIA_ID/Adam_Spach_Rock_House_Site,"Place,HistoricPlace,Location"
42,DBPEDIA_ID/Aden_Site,"Place,HistoricPlace,Location"
43,DBPEDIA_ID/Aquatic_Park_Historic_District,"Place,HistoricPlace,Location"
44,DBPEDIA_ID/Argo_Tunnel,"Place,HistoricPlace,Location"
45,DBPEDIA_ID/Augusta_Arsenal,"Place,HistoricPlace,Location"
46,DBPEDIA_ID/Ave_Maria_Grotto,"Place,HistoricPlace,Location"
47,"DBPEDIA_ID/Beckford_(Princess_Anne,_Maryland)","Place,HistoricPlace,Location"
48,DBPEDIA_ID/Benoni_Rose_House,"Place,HistoricPlace,Location"
49,"DBPEDIA_ID/Bermuda_Hundred,_Virginia","Place,HistoricPlace,Location"
50,DBPEDIA_ID/Boomtown_Historic_District,"Place,HistoricPlace,Location"
51,"DBPEDIA_ID/Boxwood_(Murfreesboro,_Tennessee)","Place,HistoricPlace,Location"
