,entity,classes
0,DBPEDIA_ID/Detroit_Red_Wings,"HockeyTeam,SportsTeam,Organisation,Agent"
1,DBPEDIA_ID/Ottawa_Senators,"HockeyTeam,SportsTeam,Organisation,Agent"
2,DBPEDIA_ID/Brampton_Battalion,"HockeyTeam,SportsTeam,Organisation,Agent"
3,DBPEDIA_ID/Kloten_Flyers,"HockeyTeam,SportsTeam,Organisation,Agent"
4,DBPEDIA_ID/Spokane_Flyers_(junior),"HockeyTeam,SportsTeam,Organisation,Agent"
5,DBPEDIA_ID/Wingham_Bulls,"HockeyTeam,SportsTeam,Organisation,Agent"
6,DBPEDIA_ID/Wingham_Ironmen,"HockeyTeam,SportsTeam,Organisation,Agent"
7,DBPEDIA_ID/Asheville_Smoke,"HockeyTeam,SportsTeam,Organisation,Agent"
8,DBPEDIA_ID/Beauport_Harfangs,"HockeyTeam,SportsTeam,Organisation,Agent"
9,DBPEDIA_ID/Blackburn_Buccaneers,"HockeyTeam,SportsTeam,Organisation,Agent"
10,DBPEDIA_ID/Brandon_Wheat_Kings,"HockeyTeam,SportsTeam,Organisation,Agent"
11,DBPEDIA_ID/Brantford_Smoke,"HockeyTeam,SportsTeam,Organisation,Agent"
12,DBPEDIA_ID/Cape_Cod_Buccaneers,"HockeyTeam,SportsTeam,Organisation,Agent"
13,DBPEDIA_ID/China_Dragon,"HockeyTeam,SportsTeam,Organisation,Agent"
14,DBPEDIA_ID/Cleveland_Barons_(1937–73),"HockeyTeam,SportsTeam,Organisation,Agent"
15,DBPEDIA_ID/Cleveland_Barons_(2001–06),"HockeyTeam,SportsTeam,Organisation,Agent"
16,DBPEDIA_ID/Des_Moines_Buccaneers,"HockeyTeam,SportsTeam,Organisation,Agent"
17,DBPEDIA_ID/Düsseldorfer_EG,"HockeyTeam,SportsTeam,Organisation,Agent"
18,DBPEDIA_ID/HC_Slavia_Praha,"HockeyTeam,SportsTeam,Organisation,Agent"
19,DBPEDIA_ID/HC_Slavia_Sofia,"HockeyTeam,SportsTeam,Organisation,Agent"
20,DBPEDIA_ID/KHL_Mladost,"HockeyTeam,SportsTeam,Organisation,Agent"
21,DBPEDIA_ID/Oklahoma_City_Barons,"HockeyTeam,SportsTeam,Organisation,Agent"
22,DBPEDIA_ID/Oklahoma_City_Blazers,"HockeyTeam,SportsTeam,Organisation,Agent"
23,DBPEDIA_ID/St._John's_IceCaps,"HockeyTeam,SportsTeam,Organisation,Agent"
24,DBPEDIA_ID/Swan_Valley_Stampeders,"HockeyTeam,SportsTeam,Organisation,Agent"
25,DBPEDIA_ID/Utah_Grizzlies,"HockeyTeam,SportsTeam,Organisation,Agent"
26,DBPEDIA_ID/Utah_Grizzlies_(1995–2005),"HockeyTeam,SportsTeam,Organisation,Agent"
27,DBPEDIA_ID/Buffalo_Bisons_(AHL),"HockeyTeam,SportsTeam,Organisation,Agent"
28,DBPEDIA_ID/Denver_Daredevils,"HockeyTeam,SportsTeam,Organisation,Agent"
29,DBPEDIA_ID/EC_Red_Bull_Salzburg,"HockeyTeam,SportsTeam,Organisation,Agent"
30,DBPEDIA_ID/Grand_Rapids_Owls,"HockeyTeam,SportsTeam,Organisation,Agent"
31,DBPEDIA_ID/Greensboro_Generals,"HockeyTeam,SportsTeam,Organisation,Agent"
32,DBPEDIA_ID/Greenville_Swamp_Rabbits,"HockeyTeam,SportsTeam,Organisation,Agent"
33,DBPEDIA_ID/Jersey_Rockhoppers,"HockeyTeam,SportsTeam,Organisation,Agent"
34,KalPa,"HockeyTeam,SportsTeam,Organisation,Agent"
35,DBPEDIA_ID/Kamloops_Blazers,"HockeyTeam,SportsTeam,Organisation,Agent"
36,DBPEDIA_ID/London_Knights,"HockeyTeam,SportsTeam,Organisation,Agent"
37,DBPEDIA_ID/Minnesota_Whitecaps,"HockeyTeam,SportsTeam,Organisation,Agent"
38,DBPEDIA_ID/North_Peace_Navigators,"HockeyTeam,SportsTeam,Organisation,Agent"
39,DBPEDIA_ID/Oakland_Skates,"HockeyTeam,SportsTeam,Organisation,Agent"
40,DBPEDIA_ID/Omaha_Lancers,"HockeyTeam,SportsTeam,Organisation,Agent"
41,DBPEDIA_ID/Orangeville_Crushers,"HockeyTeam,SportsTeam,Organisation,Agent"
42,DBPEDIA_ID/Oshawa_Generals,"HockeyTeam,SportsTeam,Organisation,Agent"
43,DBPEDIA_ID/Paris_Mounties,"HockeyTeam,SportsTeam,Organisation,Agent"
44,DBPEDIA_ID/Pictou_County_Crushers,"HockeyTeam,SportsTeam,Organisation,Agent"
45,DBPEDIA_ID/Sackville_Blazers,"HockeyTeam,SportsTeam,Organisation,Agent"
46,DBPEDIA_ID/Salt_Lake_Golden_Eagles,"HockeyTeam,SportsTeam,Organisation,Agent"
47,DBPEDIA_ID/San_Diego_Mariners,"HockeyTeam,SportsTeam,Organisation,Agent"
48,DBPEDIA_ID/Shallow_Lake_Crushers,"HockeyTeam,SportsTeam,Organisation,Agent"
49,DBPEDIA_ID/Sokol_Novocheboksarsk,"HockeyTeam,SportsTeam,Organisation,Agent"
50,DBPEDIA_ID/Sudbury_Wolves,"HockeyTeam,SportsTeam,Organisation,Agent"
51,DBPEDIA_ID/Syracuse_Blazers,"HockeyTeam,SportsTeam,Organisation,Agent"
52,DBPEDIA_ID/Victoria_Cougars,"HockeyTeam,SportsTeam,Organisation,Agent"
53,DBPEDIA_ID/Victoria_Cougars_(VIJHL),"HockeyTeam,SportsTeam,Organisation,Agent"
54,DBPEDIA_ID/Wichita_Thunder,"HockeyTeam,SportsTeam,Organisation,Agent"
55,DBPEDIA_ID/Austin_Bruins,"HockeyTeam,SportsTeam,Organisation,Agent"
56,DBPEDIA_ID/Blackfalds_Wranglers,"HockeyTeam,SportsTeam,Organisation,Agent"
57,DBPEDIA_ID/Dinamo_Riga_(original),"HockeyTeam,SportsTeam,Organisation,Agent"
58,DBPEDIA_ID/Dizel_Penza,"HockeyTeam,SportsTeam,Organisation,Agent"
59,DBPEDIA_ID/Dundee_Stars,"HockeyTeam,SportsTeam,Organisation,Agent"
60,DBPEDIA_ID/Essen_Mosquitoes,"HockeyTeam,SportsTeam,Organisation,Agent"
61,DBPEDIA_ID/HC_Dalen,"HockeyTeam,SportsTeam,Organisation,Agent"
62,DBPEDIA_ID/HC_Pustertal_Wölfe,"HockeyTeam,SportsTeam,Organisation,Agent"
63,DBPEDIA_ID/IK_Århus,"HockeyTeam,SportsTeam,Organisation,Agent"
64,DBPEDIA_ID/Berlin_Dutchmen,"HockeyTeam,SportsTeam,Organisation,Agent"
65,DBPEDIA_ID/Kristall_Berdsk,"HockeyTeam,SportsTeam,Organisation,Agent"
66,DBPEDIA_ID/Laval_Saints,"HockeyTeam,SportsTeam,Organisation,Agent"
67,DBPEDIA_ID/Long_Island_Cougars,"HockeyTeam,SportsTeam,Organisation,Agent"
68,DBPEDIA_ID/Michigan_Soo_Indians,"HockeyTeam,SportsTeam,Organisation,Agent"
69,DBPEDIA_ID/Montreal_Jofa_Titan,"HockeyTeam,SportsTeam,Organisation,Agent"
70,DBPEDIA_ID/North_Ayr_Wild,"HockeyTeam,SportsTeam,Organisation,Agent"
71,DBPEDIA_ID/Sheffield_Scimitars,"HockeyTeam,SportsTeam,Organisation,Agent"
72,DBPEDIA_ID/Örebro_IK,"HockeyTeam,SportsTeam,Organisation,Agent"
73,DBPEDIA_ID/KOOVEE_(ice_hockey),"HockeyTeam,SportsTeam,Organisation,Agent"
74,DBPEDIA_ID/Milwaukee_Admirals,"HockeyTeam,SportsTeam,Organisation,Agent"
75,DBPEDIA_ID/Nickel_Centre_Native_Sons,"HockeyTeam,SportsTeam,Organisation,Agent"
76,DBPEDIA_ID/Norfolk_Admirals_(AHL),"HockeyTeam,SportsTeam,Organisation,Agent"
77,DBPEDIA_ID/Ontario_Reign_(ECHL),"HockeyTeam,SportsTeam,Organisation,Agent"
78,DBPEDIA_ID/Toronto_Native_Sons,"HockeyTeam,SportsTeam,Organisation,Agent"
79,DBPEDIA_ID/Vancouver_Millionaires,"HockeyTeam,SportsTeam,Organisation,Agent"
80,DBPEDIA_ID/Newmarket_Royals,"HockeyTeam,SportsTeam,Organisation,Agent"
81,DBPEDIA_ID/Newmarket_Saints,"HockeyTeam,SportsTeam,Organisation,Agent"
82,DBPEDIA_ID/Richmond_Sockeyes,"HockeyTeam,SportsTeam,Organisation,Agent"
83,DBPEDIA_ID/Bloomington_PrairieThunder,"HockeyTeam,SportsTeam,Organisation,Agent"
84,DBPEDIA_ID/Mississauga_Chargers,"HockeyTeam,SportsTeam,Organisation,Agent"
85,DBPEDIA_ID/SC_Bern,"HockeyTeam,SportsTeam,Organisation,Agent"
86,DBPEDIA_ID/IK_Oskarshamn,"HockeyTeam,SportsTeam,Organisation,Agent"
87,DBPEDIA_ID/Bellingham_Blazers_(NORPAC),"HockeyTeam,SportsTeam,Organisation,Agent"
88,DBPEDIA_ID/Chelyabinsk_Polar_Bears,"HockeyTeam,SportsTeam,Organisation,Agent"
89,DBPEDIA_ID/Flint_Firebirds,"HockeyTeam,SportsTeam,Organisation,Agent"
90,DBPEDIA_ID/Furuset_Ishockey,"HockeyTeam,SportsTeam,Organisation,Agent"
91,DBPEDIA_ID/HC_Chelny,"HockeyTeam,SportsTeam,Organisation,Agent"
92,DBPEDIA_ID/HC_Tambov,"HockeyTeam,SportsTeam,Organisation,Agent"
93,DBPEDIA_ID/HK_ATEK_Kiev,"HockeyTeam,SportsTeam,Organisation,Agent"
94,DBPEDIA_ID/Johnstown_Wings_(CJHL),"HockeyTeam,SportsTeam,Organisation,Agent"
95,SaPKo,"HockeyTeam,SportsTeam,Organisation,Agent"
96,DBPEDIA_ID/Tacoma_Knights,"HockeyTeam,SportsTeam,Organisation,Agent"
97,DBPEDIA_ID/Asheville_Aces,"HockeyTeam,SportsTeam,Organisation,Agent"
98,DBPEDIA_ID/Boston_Storm_(inline_hockey),"HockeyTeam,SportsTeam,Organisation,Agent"
99,DBPEDIA_ID/Charlotte_Checkers,"HockeyTeam,SportsTeam,Organisation,Agent"
100,DBPEDIA_ID/Des_Moines_Oak_Leafs,"HockeyTeam,SportsTeam,Organisation,Agent"
101,DBPEDIA_ID/The_Osoyoos_Spurs,"HockeyTeam,SportsTeam,Organisation,Agent"
102,DBPEDIA_ID/Toledo_Goaldiggers,"HockeyTeam,SportsTeam,Organisation,Agent"
103,DBPEDIA_ID/Dryden_Ice_Dogs,"HockeyTeam,SportsTeam,Organisation,Agent"
104,DBPEDIA_ID/Fairbanks_Ice_Dogs,"HockeyTeam,SportsTeam,Organisation,Agent"
105,DBPEDIA_ID/HC_Kuban,"HockeyTeam,SportsTeam,Organisation,Agent"
106,DBPEDIA_ID/Kimberley_Dynamiters_(KIJHL),"HockeyTeam,SportsTeam,Organisation,Agent"
107,DBPEDIA_ID/Kocaeli_Büyükşehir_Belediyesi_Kağıt_S.K._Men's_Ice_Hockey,"HockeyTeam,SportsTeam,Organisation,Agent"
108,DBPEDIA_ID/Salem_Ice_Dogs,"HockeyTeam,SportsTeam,Organisation,Agent"
109,DBPEDIA_ID/Sydney_Ice_Dogs,"HockeyTeam,SportsTeam,Organisation,Agent"
110,DBPEDIA_ID/Syracuse_Stars,"HockeyTeam,SportsTeam,Organisation,Agent"
111,DBPEDIA_ID/Windsor_Spitfires,"HockeyTeam,SportsTeam,Organisation,Agent"
112,DBPEDIA_ID/HC_Dukla_Jihlava,"HockeyTeam,SportsTeam,Organisation,Agent"
113,DBPEDIA_ID/HK_Dukla_Trenčín,"HockeyTeam,SportsTeam,Organisation,Agent"
114,DBPEDIA_ID/Iroquois_Falls_Eskis,"HockeyTeam,SportsTeam,Organisation,Agent"
115,DBPEDIA_ID/New_Jersey_Rockets_(ice_hockey),"HockeyTeam,SportsTeam,Organisation,Agent"
116,DBPEDIA_ID/North_Bay_Trappers_(1962–82),"HockeyTeam,SportsTeam,Organisation,Agent"
117,DBPEDIA_ID/North_Bay_Trappers_(EPHL),"HockeyTeam,SportsTeam,Organisation,Agent"
118,DBPEDIA_ID/Cedar_Rapids_RoughRiders,"HockeyTeam,SportsTeam,Organisation,Agent"
119,DBPEDIA_ID/Iowa_Stars,"HockeyTeam,SportsTeam,Organisation,Agent"
120,DBPEDIA_ID/Kölner_Haie,"HockeyTeam,SportsTeam,Organisation,Agent"
121,DBPEDIA_ID/Richmond_RiverDogs,"HockeyTeam,SportsTeam,Organisation,Agent"
122,DBPEDIA_ID/St._Catharines_Black_Hawks,"HockeyTeam,SportsTeam,Organisation,Agent"
123,DBPEDIA_ID/Golden_Rockets,"HockeyTeam,SportsTeam,Organisation,Agent"
124,DBPEDIA_ID/Windsor_St._Clair_Saints,"HockeyTeam,SportsTeam,Organisation,Agent"
125,DBPEDIA_ID/Almtuna_IS,"HockeyTeam,SportsTeam,Organisation,Agent"
126,DBPEDIA_ID/Cambridge_University_Ice_Hockey_Club,"HockeyTeam,SportsTeam,Organisation,Agent"
127,DBPEDIA_ID/Edinburgh_Capitals_(SNL),"HockeyTeam,SportsTeam,Organisation,Agent"
128,DBPEDIA_ID/Edmonton_Chimos,"HockeyTeam,SportsTeam,Organisation,Agent"
129,DBPEDIA_ID/Flintshire_Freeze,"HockeyTeam,SportsTeam,Organisation,Agent"
130,DBPEDIA_ID/Frisk_Asker_Ishockey,"HockeyTeam,SportsTeam,Organisation,Agent"
131,DBPEDIA_ID/Galt_Canadians,"HockeyTeam,SportsTeam,Organisation,Agent"
132,DBPEDIA_ID/Galt_Red_Wings,"HockeyTeam,SportsTeam,Organisation,Agent"
133,DBPEDIA_ID/HC_Sierre-Anniviers,"HockeyTeam,SportsTeam,Organisation,Agent"
