,entity,classes
0,DBPEDIA_ID/(Blooper)_Bunny,"Work,Cartoon,HollywoodCartoon"
1,DBPEDIA_ID/Ace_in_the_Hole_(1942_film),"Work,Cartoon,HollywoodCartoon"
2,DBPEDIA_ID/Africa_(film),"Work,Cartoon,HollywoodCartoon"
3,DBPEDIA_ID/Aladdin_and_His_Wonderful_Lamp,"Work,Cartoon,HollywoodCartoon"
4,DBPEDIA_ID/Father_Noah's_Ark,"Work,Cartoon,HollywoodCartoon"
5,DBPEDIA_ID/High_Diving_Hare,"Work,Cartoon,HollywoodCartoon"
6,DBPEDIA_ID/Hyde_and_Go_Tweet,"Work,Cartoon,HollywoodCartoon"
7,DBPEDIA_ID/Jeepers_Creepers_(1939_animated_film),"Work,Cartoon,HollywoodCartoon"
8,DBPEDIA_ID/No_Smoking_(1951_film),"Work,Cartoon,HollywoodCartoon"
9,DBPEDIA_ID/Poor_Cinderella,"Work,Cartoon,HollywoodCartoon"
10,DBPEDIA_ID/Summer_(1930_film),"Work,Cartoon,HollywoodCartoon"
11,DBPEDIA_ID/The_Litterbug,"Work,Cartoon,HollywoodCartoon"
12,DBPEDIA_ID/The_Navy,"Work,Cartoon,HollywoodCartoon"
13,DBPEDIA_ID/The_Old_Man_of_the_Mountain_(film),"Work,Cartoon,HollywoodCartoon"
14,DBPEDIA_ID/The_Pied_Piper_(1933_film),"Work,Cartoon,HollywoodCartoon"
15,DBPEDIA_ID/The_Simple_Things,"Work,Cartoon,HollywoodCartoon"
16,DBPEDIA_ID/Trick_or_Tweet,"Work,Cartoon,HollywoodCartoon"
17,DBPEDIA_ID/Tweet_Tweet_Tweety,"Work,Cartoon,HollywoodCartoon"
18,DBPEDIA_ID/Tweet_Zoo,"Work,Cartoon,HollywoodCartoon"
19,DBPEDIA_ID/Tweet_and_Sour,"Work,Cartoon,HollywoodCartoon"
20,DBPEDIA_ID/Double_Dribble_(film),"Work,Cartoon,HollywoodCartoon"
21,DBPEDIA_ID/Chicken_Little_(1943_film),"Work,Cartoon,HollywoodCartoon"
22,DBPEDIA_ID/Duck_Soup_to_Nuts,"Work,Cartoon,HollywoodCartoon"
23,DBPEDIA_ID/Fraidy_Cat_(film),"Work,Cartoon,HollywoodCartoon"
24,DBPEDIA_ID/Hell's_Bells_(1929_film),"Work,Cartoon,HollywoodCartoon"
25,DBPEDIA_ID/Knock_Knock_(1940_film),"Work,Cartoon,HollywoodCartoon"
26,DBPEDIA_ID/Martha_(1923_film),"Work,Cartoon,HollywoodCartoon"
27,DBPEDIA_ID/Melody_(1953_film),"Work,Cartoon,HollywoodCartoon"
28,DBPEDIA_ID/The_Chain_Gang,"Work,Cartoon,HollywoodCartoon"
29,DBPEDIA_ID/A_Bird_in_a_Guilty_Cage,"Work,Cartoon,HollywoodCartoon"
30,DBPEDIA_ID/A_Hare_Grows_in_Manhattan,"Work,Cartoon,HollywoodCartoon"
31,DBPEDIA_ID/Betty_Boop's_Birthday_Party,"Work,Cartoon,HollywoodCartoon"
32,DBPEDIA_ID/Bone_Trouble,"Work,Cartoon,HollywoodCartoon"
33,DBPEDIA_ID/Closer_than_a_Brother,"Work,Cartoon,HollywoodCartoon"
34,DBPEDIA_ID/Father's_Lion,"Work,Cartoon,HollywoodCartoon"
