,entity,classes
0,DBPEDIA_ID/Darley_Arabian,"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
1,DBPEDIA_ID/Godolphin_Arabian,"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
2,DBPEDIA_ID/Starcraft_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
3,DBPEDIA_ID/Dante_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
4,DBPEDIA_ID/Surfers_Paradise_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
5,DBPEDIA_ID/The_Bard_(American_horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
6,DBPEDIA_ID/The_Bard_(GB_horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
7,DBPEDIA_ID/Trigo_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
8,DBPEDIA_ID/Zeal_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
9,DBPEDIA_ID/Albatross_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
10,DBPEDIA_ID/Ardross_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
11,DBPEDIA_ID/Bahram_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
12,DBPEDIA_ID/Beeswing_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
13,DBPEDIA_ID/Binocular_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
14,DBPEDIA_ID/Black_Knight_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
15,DBPEDIA_ID/Blue_Peter_(American_horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
16,DBPEDIA_ID/Blue_Peter_(British_horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
17,DBPEDIA_ID/Bonecrusher_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
18,DBPEDIA_ID/Call_Boy_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
19,DBPEDIA_ID/Caro_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
20,DBPEDIA_ID/Cavalcade_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
21,DBPEDIA_ID/Caveat_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
22,DBPEDIA_ID/Chain_Reaction_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
23,DBPEDIA_ID/Coastal_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
24,DBPEDIA_ID/Colorado_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
25,DBPEDIA_ID/Combat_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
26,DBPEDIA_ID/Conduit_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
27,DBPEDIA_ID/Congaree_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
28,DBPEDIA_ID/Conveyance_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
29,DBPEDIA_ID/Dangerous_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
30,DBPEDIA_ID/Desert_War_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
31,DBPEDIA_ID/Dice_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
32,DBPEDIA_ID/Fairway_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
33,DBPEDIA_ID/Flares_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
34,DBPEDIA_ID/George_Washington_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
35,DBPEDIA_ID/Ginevra_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
36,DBPEDIA_ID/Gleneagles_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
37,DBPEDIA_ID/Hades_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
38,DBPEDIA_ID/Hawaii_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
39,DBPEDIA_ID/Huntingdale_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
40,DBPEDIA_ID/Iroquois_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
41,DBPEDIA_ID/Kennedy_Road_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
42,DBPEDIA_ID/Kingfisher_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
43,DBPEDIA_ID/Kingston_Hill_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
44,DBPEDIA_ID/La_Mer_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
45,DBPEDIA_ID/Lomond_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
46,DBPEDIA_ID/Marske_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
47,DBPEDIA_ID/Morel_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
48,DBPEDIA_ID/Naturalism_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
49,DBPEDIA_ID/Noor_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
50,DBPEDIA_ID/One_in_a_Million_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
51,DBPEDIA_ID/Ossory_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
52,DBPEDIA_ID/Oxygen_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
53,DBPEDIA_ID/Papyrus_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
54,DBPEDIA_ID/Pebbles_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
55,DBPEDIA_ID/Prince_John_(horse),"Horse,RaceHorse,Eukaryote,Animal,Mammal,Species"
