,entity,classes
0,DBPEDIA_ID/Kentucky_Derby,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
1,DBPEDIA_ID/Melbourne_Cup,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
2,DBPEDIA_ID/Angus_Armanasco_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
3,DBPEDIA_ID/Dante_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
4,DBPEDIA_ID/Acomb_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
5,DBPEDIA_ID/Criterion_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
6,DBPEDIA_ID/Dogwood_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
7,DBPEDIA_ID/Flamingo_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
8,DBPEDIA_ID/Joe_Hirsch_Turf_Classic_Invitational_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
9,DBPEDIA_ID/Kennedy_Road_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
10,DBPEDIA_ID/Myer_Classic,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
11,DBPEDIA_ID/San_Antonio_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
12,DBPEDIA_ID/San_Clemente_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
13,DBPEDIA_ID/Silver_Shadow_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
14,DBPEDIA_ID/Commonwealth_Cup_(horse_race),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
15,DBPEDIA_ID/Dahlia_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
16,DBPEDIA_ID/Dahlia_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
17,DBPEDIA_ID/Dahlia_Stakes_(United_States),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
18,DBPEDIA_ID/Champions_Cup_(horse_race),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
19,DBPEDIA_ID/Demoiselle_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
20,DBPEDIA_ID/Dubai_World_Cup,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
21,DBPEDIA_ID/First_Flight_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
22,DBPEDIA_ID/Gazelle_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
23,DBPEDIA_ID/Regret_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
24,DBPEDIA_ID/True_North_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
25,DBPEDIA_ID/2013_Preakness_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
26,DBPEDIA_ID/American_1000_Guineas_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
27,DBPEDIA_ID/Breeders_Classic,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
28,DBPEDIA_ID/Fulke_Walwyn_Kim_Muir_Challenge_Cup,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
29,DBPEDIA_ID/Champion_of_Champions_(horse_race),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
30,DBPEDIA_ID/Mister_Diz_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
31,DBPEDIA_ID/Queensland_Oaks,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
32,DBPEDIA_ID/Ryanair_Novice_Chase,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
33,DBPEDIA_ID/Dwyer_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
34,DBPEDIA_ID/Sheepshead_Bay_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
35,DBPEDIA_ID/T_L_Baillieu_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
36,DBPEDIA_ID/World_Series_Hurdle,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
37,DBPEDIA_ID/Hong_Kong_Stewards'_Cup,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
38,DBPEDIA_ID/Investec_Derby_Trial,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
39,DBPEDIA_ID/Lancashire_Oaks,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
40,DBPEDIA_ID/Lowther_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
41,DBPEDIA_ID/Stewards'_Cup_(Great_Britain),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
42,DBPEDIA_ID/VRC_Queens_Plate,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
43,DBPEDIA_ID/Breeders'_Cup_Distaff,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
44,DBPEDIA_ID/Churchill_Distaff_Turf_Mile_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
45,DBPEDIA_ID/Cliff_Hanger_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
46,DBPEDIA_ID/Prix_Omnium_II,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
47,DBPEDIA_ID/Nakayama_Grand_Jump,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
48,DBPEDIA_ID/Newmarket_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
49,DBPEDIA_ID/San_Pasqual_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
50,DBPEDIA_ID/Coventry_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
51,DBPEDIA_ID/Dixie_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
52,DBPEDIA_ID/Park_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
53,DBPEDIA_ID/1981_Grand_National,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
54,DBPEDIA_ID/Ballyroan_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
55,DBPEDIA_ID/Delta_Jackpot_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
56,DBPEDIA_ID/Gimcrack_Stakes_(PR),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
57,DBPEDIA_ID/Governor_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
58,DBPEDIA_ID/Hall_Mark_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
59,DBPEDIA_ID/Indiana_Derby,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
60,DBPEDIA_ID/Japan_Breeding_farms'_Cup_Sprint,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
61,DBPEDIA_ID/Mannerism_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
62,DBPEDIA_ID/Pramms_Memorial,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
63,DBPEDIA_ID/Prix_de_Flore_(horse_race),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
64,DBPEDIA_ID/Shady_Well_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
65,DBPEDIA_ID/The_Marathon_(horse_race),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
66,DBPEDIA_ID/Tidal_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
67,DBPEDIA_ID/Affirmed_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
68,DBPEDIA_ID/Alcibiades_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
69,DBPEDIA_ID/Hendrie_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
70,DBPEDIA_ID/Henry_VIII_Novices'_Chase,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
71,DBPEDIA_ID/California_Oaks,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
72,DBPEDIA_ID/Silver_Slipper_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
73,DBPEDIA_ID/Fighting_Fifth_Hurdle,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
74,DBPEDIA_ID/Honeymoon_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
75,DBPEDIA_ID/Premio_Regina_Elena,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
76,DBPEDIA_ID/Princess_Pat_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
77,DBPEDIA_ID/Prix_La_Rochette,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
78,DBPEDIA_ID/Tempted_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
79,DBPEDIA_ID/Irish_Oaks,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
80,DBPEDIA_ID/Memorial_Day_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
81,DBPEDIA_ID/Taranaki_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
82,DBPEDIA_ID/Aintree_Hurdle,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
83,DBPEDIA_ID/Anniversary_4-Y-O_Novices'_Hurdle,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
84,DBPEDIA_ID/Bet365_Gold_Cup,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
85,DBPEDIA_ID/Betfair_Chase,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
86,DBPEDIA_ID/Challow_Novices'_Hurdle,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
87,DBPEDIA_ID/Long_Walk_Hurdle,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
88,DBPEDIA_ID/Melling_Chase,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
89,DBPEDIA_ID/Sefton_Novices'_Hurdle,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
90,DBPEDIA_ID/Tolworth_Hurdle,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
91,DBPEDIA_ID/Bengough_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
92,DBPEDIA_ID/Breeders'_Cup_Grand_National_Steeplechase,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
93,DBPEDIA_ID/Breeders'_Cup_Juvenile_Turf,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
94,DBPEDIA_ID/Brigadier_Gerard_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
