,entity,classes
0,DBPEDIA_ID/Gérard_de_Balorre,"Person,Athlete,Agent,HorseRider"
1,DBPEDIA_ID/Rolf-Göran_Bengtsson,"Person,Athlete,Agent,HorseRider"
2,DBPEDIA_ID/Clinton_Anderson_(horse_trainer),"Person,Athlete,Agent,HorseRider"
3,DBPEDIA_ID/Evan_Williams_(jockey),"Person,Athlete,Agent,HorseRider"
4,DBPEDIA_ID/Frank_Martin_(equestrian),"Person,Athlete,Agent,HorseRider"
5,DBPEDIA_ID/Jean-Marcel_Rozier,"Person,Athlete,Agent,HorseRider"
6,DBPEDIA_ID/Philippe_Rozier,"Person,Athlete,Agent,HorseRider"
7,DBPEDIA_ID/Thierry_Rozier,"Person,Athlete,Agent,HorseRider"
8,DBPEDIA_ID/Hans_Moser_(rider),"Person,Athlete,Agent,HorseRider"
9,DBPEDIA_ID/Ian_Roberts_(equestrian),"Person,Athlete,Agent,HorseRider"
10,DBPEDIA_ID/José_Navarro_Morenés,"Person,Athlete,Agent,HorseRider"
11,DBPEDIA_ID/Kazimierz_Gzowski_(equestrian),"Person,Athlete,Agent,HorseRider"
12,DBPEDIA_ID/Michel_Robert_(equestrian),"Person,Athlete,Agent,HorseRider"
13,DBPEDIA_ID/Sally_Clark_(equestrian),"Person,Athlete,Agent,HorseRider"
14,DBPEDIA_ID/Tinks_Pottinger,"Person,Athlete,Agent,HorseRider"
15,DBPEDIA_ID/Ivan_Kizimov,"Person,Athlete,Agent,HorseRider"
16,DBPEDIA_ID/Mario_Becerril,"Person,Athlete,Agent,HorseRider"
17,DBPEDIA_ID/Imke_Bartels,"Person,Athlete,Agent,HorseRider"
18,DBPEDIA_ID/James_Connor_(equestrian),"Person,Athlete,Agent,HorseRider"
19,DBPEDIA_ID/Karl_Hansen_(equestrian),"Person,Athlete,Agent,HorseRider"
20,DBPEDIA_ID/Kevin_Bacon_(equestrian),"Person,Athlete,Agent,HorseRider"
21,DBPEDIA_ID/Tineke_Bartels,"Person,Athlete,Agent,HorseRider"
22,DBPEDIA_ID/Yngve_Viebke,"Person,Athlete,Agent,HorseRider"
23,DBPEDIA_ID/Karel_Schummelketel,"Person,Athlete,Agent,HorseRider"
