,entity,classes
0,DBPEDIA_ID/John_Sealy_Hospital,"NoFoundType
"
1,DBPEDIA_ID/Hôtel-Dieu_de_Montréal,"NoFoundType
"
2,DBPEDIA_ID/Hôtel-Dieu_de_Paris,"ArchitecturalStructure,Building,Hospital,Place,Location"
3,DBPEDIA_ID/Hôtel-Dieu_of_Carpentras,"ArchitecturalStructure,Building,Hospital,Place,Location"
4,DBPEDIA_ID/Inverclyde_Royal_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
5,DBPEDIA_ID/Janeway_Children's_Health_and_Rehabilitation_Centre,"ArchitecturalStructure,Building,Hospital,Place,Location"
6,DBPEDIA_ID/MedStar_Franklin_Square_Medical_Center,"ArchitecturalStructure,Building,Hospital,Place,Location"
7,DBPEDIA_ID/Montreal_Neurological_Institute_and_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
8,DBPEDIA_ID/National_Defence_Medical_Centre,"ArchitecturalStructure,Building,Hospital,Place,Location"
9,DBPEDIA_ID/Aberdeen_Royal_Infirmary,"ArchitecturalStructure,Building,Hospital,Place,Location"
10,DBPEDIA_ID/Barlow_Respiratory_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
11,DBPEDIA_ID/Barrow_Neurological_Institute,"ArchitecturalStructure,Building,Hospital,Place,Location"
12,DBPEDIA_ID/Broomfield_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
13,DBPEDIA_ID/Caritas_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
14,DBPEDIA_ID/Green_Lane_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
15,DBPEDIA_ID/Hospital_Universitario_San_Ignacio,"ArchitecturalStructure,Building,Hospital,Place,Location"
16,DBPEDIA_ID/Hospital_of_the_University_of_Pennsylvania,"ArchitecturalStructure,Building,Hospital,Place,Location"
17,"DBPEDIA_ID/Hotel_Dieu_Hospital_(Kingston,_Ontario)","ArchitecturalStructure,Building,Hospital,Place,Location"
18,DBPEDIA_ID/Howard_University_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
19,DBPEDIA_ID/Miriam_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
20,DBPEDIA_ID/Mona_Vale_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
21,DBPEDIA_ID/Nemours_Alfred_I._duPont_Hospital_for_Children,"ArchitecturalStructure,Building,Hospital,Place,Location"
22,DBPEDIA_ID/Poudre_Valley_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
23,DBPEDIA_ID/Rancho_Los_Amigos_National_Rehabilitation_Center,"ArchitecturalStructure,Building,Hospital,Place,Location"
24,DBPEDIA_ID/Royal_Columbian_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
25,DBPEDIA_ID/Sparrow_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
26,DBPEDIA_ID/Spartanburg_Regional,"ArchitecturalStructure,Building,Hospital,Place,Location"
27,DBPEDIA_ID/Adyar_Cancer_Institute,"ArchitecturalStructure,Building,Hospital,Place,Location"
28,DBPEDIA_ID/Amala_Institute_of_Medical_Sciences,"ArchitecturalStructure,Building,Hospital,Place,Location"
29,DBPEDIA_ID/Anadolu_Medical_Center,"ArchitecturalStructure,Building,Hospital,Place,Location"
30,"DBPEDIA_ID/Barnes_Hospital,_London","ArchitecturalStructure,Building,Hospital,Place,Location"
31,DBPEDIA_ID/Bristol_Royal_Infirmary,"ArchitecturalStructure,Building,Hospital,Place,Location"
32,DBPEDIA_ID/Crossroads_Centre,"ArchitecturalStructure,Building,Hospital,Place,Location"
33,DBPEDIA_ID/Croydon_University_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
34,DBPEDIA_ID/Boulder_City_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
35,DBPEDIA_ID/Dumfries_and_Galloway_Royal_Infirmary,"ArchitecturalStructure,Building,Hospital,Place,Location"
36,DBPEDIA_ID/Huddersfield_Royal_Infirmary,"ArchitecturalStructure,Building,Hospital,Place,Location"
37,DBPEDIA_ID/IWK_Health_Centre,"ArchitecturalStructure,Building,Hospital,Place,Location"
38,DBPEDIA_ID/Indiana_Orthopaedic_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
39,DBPEDIA_ID/Mater_Infirmorum_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
40,DBPEDIA_ID/Mater_Women's_and_Children's_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
41,DBPEDIA_ID/Milad_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
42,DBPEDIA_ID/Providence_Care,"ArchitecturalStructure,Building,Hospital,Place,Location"
43,DBPEDIA_ID/Sturgeon_Community_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
44,DBPEDIA_ID/The_Orthopedic_Specialty_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
45,DBPEDIA_ID/Bethesda_Regional_Health_Centre,"ArchitecturalStructure,Building,Hospital,Place,Location"
46,DBPEDIA_ID/British_Hospital_(Montevideo),"ArchitecturalStructure,Building,Hospital,Place,Location"
47,DBPEDIA_ID/Cheltenham_General_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
48,DBPEDIA_ID/Chino_Valley_Medical_Center,"ArchitecturalStructure,Building,Hospital,Place,Location"
49,DBPEDIA_ID/Conquest_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
50,DBPEDIA_ID/Dar_Al_Shifaa_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
51,"DBPEDIA_ID/Aga_Khan_Hospital,_Dar_es_Salaam","ArchitecturalStructure,Building,Hospital,Place,Location"
52,"DBPEDIA_ID/Aga_Khan_Hospital,_Kisumu","ArchitecturalStructure,Building,Hospital,Place,Location"
