,entity,classes
0,Fam78b,"Gene,Biomolecule,HumanGene"
1,DBPEDIA_ID/Transmembrane_protein_134,"Gene,Biomolecule,HumanGene"
2,IFFO1,"Gene,Biomolecule,HumanGene"
3,C1orf123,"Gene,Biomolecule,HumanGene"
4,NDUFA7,"Gene,Biomolecule,HumanGene"
5,DBPEDIA_ID/Chromosome_6_open_reading_frame_165,"Gene,Biomolecule,HumanGene"
6,Fam188a,"Gene,Biomolecule,HumanGene"
7,CCDC130,"Gene,Biomolecule,HumanGene"
8,DBPEDIA_ID/Eosinophil_peroxidase,"Gene,Biomolecule,HumanGene"
9,ZC3H12B,"Gene,Biomolecule,HumanGene"
10,FAM167A,"Gene,Biomolecule,HumanGene"
11,DBPEDIA_ID/Proline-rich_protein_21,"Gene,Biomolecule,HumanGene"
12,PRP36,"Gene,Biomolecule,HumanGene"
13,DBPEDIA_ID/Pyruvate_carboxylase__Pyruvate_carboxylase__2,"Gene,Biomolecule,HumanGene"
14,TM6SF2,"Gene,Biomolecule,HumanGene"
15,DBPEDIA_ID/C7orf25_protein_UPF0415,"Gene,Biomolecule,HumanGene"
16,MZB1,"Gene,Biomolecule,HumanGene"
17,OMA1,"Gene,Biomolecule,HumanGene"
18,EVI5L,"Gene,Biomolecule,HumanGene"
19,DBPEDIA_ID/Carnitine_palmitoyltransferase_I,"Gene,Biomolecule,HumanGene"
20,PDPR,"Gene,Biomolecule,HumanGene"
21,MT-ND5,"Gene,Biomolecule,HumanGene"
22,PLIN4,"Gene,Biomolecule,HumanGene"
23,Ccdc109b,"Gene,Biomolecule,HumanGene"
24,SH3D21,"Gene,Biomolecule,HumanGene"
25,CCDC138,"Gene,Biomolecule,HumanGene"
26,KIAA1841,"Gene,Biomolecule,HumanGene"
27,Aminomethyltransferase,"Gene,Biomolecule,HumanGene"
28,ACOT6,"Gene,Biomolecule,HumanGene"
29,NDUFB4,"Gene,Biomolecule,HumanGene"
30,Fumarase,"Gene,Biomolecule,HumanGene"
31,DBPEDIA_ID/Multiple_Epidermal_Growth_Factor-like_Domains_8,"Gene,Biomolecule,HumanGene"
32,C9orf152,"Gene,Biomolecule,HumanGene"
33,DBPEDIA_ID/Coiled-Coil_Domain_Containing_protein_82,"Gene,Biomolecule,HumanGene"
34,PBB/342346,"Gene,Biomolecule,HumanGene"
35,WWC2,"Gene,Biomolecule,HumanGene"
36,FAM203B,"Gene,Biomolecule,HumanGene"
37,TMEM106C,"Gene,Biomolecule,HumanGene"
38,PRIM1,"Gene,Biomolecule,HumanGene"
39,C3orf70,"Gene,Biomolecule,HumanGene"
40,DEPDC1B,"Gene,Biomolecule,HumanGene"
41,"DBPEDIA_ID/Alpha-1,3-mannosyl-glycoprotein_4-beta-N-acetylglucosaminyltransferase_A","Gene,Biomolecule,HumanGene"
42,ZNF184,"Gene,Biomolecule,HumanGene"
43,SUCLG2,"Gene,Biomolecule,HumanGene"
44,NDUFA11,"Gene,Biomolecule,HumanGene"
45,DBPEDIA_ID/Carboxypeptidase_A6__Carboxypeptidase_A6__1,"Gene,Biomolecule,HumanGene"
46,DBPEDIA_ID/Transmembrane_Protein_205,"Gene,Biomolecule,HumanGene"
