,entity,classes
0,DBPEDIA_ID/Aminomethyltransferase__1,"HumanGeneLocation,GeneLocation"
1,DBPEDIA_ID/IFFO1__1,"HumanGeneLocation,GeneLocation"
2,DBPEDIA_ID/Eosinophil_peroxidase__1,"HumanGeneLocation,GeneLocation"
3,DBPEDIA_ID/Pyruvate_carboxylase__Pyruvate_carboxylase__2__1,"HumanGeneLocation,GeneLocation"
4,DBPEDIA_ID/Carnitine_palmitoyltransferase_I__1,"HumanGeneLocation,GeneLocation"
5,DBPEDIA_ID/MT-ND5__1,"HumanGeneLocation,GeneLocation"
6,DBPEDIA_ID/Fumarase__1,"HumanGeneLocation,GeneLocation"
7,DBPEDIA_ID/ZNF184__1,"HumanGeneLocation,GeneLocation"
8,"DBPEDIA_ID/Alpha-1,3-mannosyl-glycoprotein_4-beta-N-acetylglucosaminyltransferase_A__1","HumanGeneLocation,GeneLocation"
9,DBPEDIA_ID/C3orf70__1,"HumanGeneLocation,GeneLocation"
10,DBPEDIA_ID/C9orf152__1,"HumanGeneLocation,GeneLocation"
11,DBPEDIA_ID/NDUFA11__1,"HumanGeneLocation,GeneLocation"
12,DBPEDIA_ID/NDUFA7__1,"HumanGeneLocation,GeneLocation"
13,DBPEDIA_ID/NDUFB4__1,"HumanGeneLocation,GeneLocation"
14,DBPEDIA_ID/OMA1__1,"HumanGeneLocation,GeneLocation"
15,DBPEDIA_ID/PBB/342346__1,"HumanGeneLocation,GeneLocation"
16,DBPEDIA_ID/PDPR__1,"HumanGeneLocation,GeneLocation"
17,DBPEDIA_ID/PLIN4__1,"HumanGeneLocation,GeneLocation"
18,DBPEDIA_ID/PRP36__1,"HumanGeneLocation,GeneLocation"
19,DBPEDIA_ID/SUCLG2__1,"HumanGeneLocation,GeneLocation"
20,DBPEDIA_ID/PRIM1__1,"HumanGeneLocation,GeneLocation"
21,DBPEDIA_ID/ACOT6__1,"HumanGeneLocation,GeneLocation"
22,DBPEDIA_ID/Carboxypeptidase_A6__Carboxypeptidase_A6__1__1,"HumanGeneLocation,GeneLocation"
23,DBPEDIA_ID/C1orf123__1,"HumanGeneLocation,GeneLocation"
24,DBPEDIA_ID/CCDC130__1,"HumanGeneLocation,GeneLocation"
25,DBPEDIA_ID/Ccdc109b__1,"HumanGeneLocation,GeneLocation"
26,DBPEDIA_ID/Coiled-Coil_Domain_Containing_protein_82__1,"HumanGeneLocation,GeneLocation"
27,DBPEDIA_ID/FAM203B__1,"HumanGeneLocation,GeneLocation"
28,DBPEDIA_ID/Fam188a__1,"HumanGeneLocation,GeneLocation"
29,DBPEDIA_ID/SH3D21__1,"HumanGeneLocation,GeneLocation"
30,DBPEDIA_ID/CCDC138__1,"HumanGeneLocation,GeneLocation"
31,DBPEDIA_ID/Multiple_Epidermal_Growth_Factor-like_Domains_8__1,"HumanGeneLocation,GeneLocation"
32,DBPEDIA_ID/C7orf25_protein_UPF0415__1,"HumanGeneLocation,GeneLocation"
33,DBPEDIA_ID/Chromosome_6_open_reading_frame_165__1,"HumanGeneLocation,GeneLocation"
34,DBPEDIA_ID/DEPDC1B__1,"HumanGeneLocation,GeneLocation"
35,DBPEDIA_ID/EVI5L__1,"HumanGeneLocation,GeneLocation"
36,DBPEDIA_ID/FAM167A__1,"HumanGeneLocation,GeneLocation"
37,DBPEDIA_ID/Fam78b__1,"HumanGeneLocation,GeneLocation"
38,DBPEDIA_ID/KIAA1841__1,"HumanGeneLocation,GeneLocation"
39,DBPEDIA_ID/Proline-rich_protein_21__1,"HumanGeneLocation,GeneLocation"
40,DBPEDIA_ID/TM6SF2__1,"HumanGeneLocation,GeneLocation"
41,DBPEDIA_ID/TMEM106C__1,"HumanGeneLocation,GeneLocation"
42,DBPEDIA_ID/Transmembrane_protein_134__1,"HumanGeneLocation,GeneLocation"
43,DBPEDIA_ID/WWC2__1,"HumanGeneLocation,GeneLocation"
44,DBPEDIA_ID/ZC3H12B__1,"HumanGeneLocation,GeneLocation"
