,entity,classes
0,DBPEDIA_ID/George_Allen_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
1,DBPEDIA_ID/Bernie_Federko,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
2,DBPEDIA_ID/Garnet_Bailey,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
3,DBPEDIA_ID/Gordie_Howe,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
4,DBPEDIA_ID/Mario_Lemieux,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
5,DBPEDIA_ID/Steve_Yzerman,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
6,DBPEDIA_ID/Al_Johnson_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
7,DBPEDIA_ID/Angus_Beck,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
8,DBPEDIA_ID/Angus_Duford,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
9,DBPEDIA_ID/Bob_Stewart_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
10,DBPEDIA_ID/Colin_Forbes_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
11,"DBPEDIA_ID/Colin_Miller_(ice_hockey,_born_1992)","Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
12,DBPEDIA_ID/Gump_Worsley,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
13,DBPEDIA_ID/Henri_Richard,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
14,DBPEDIA_ID/Rob_Brown_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
15,DBPEDIA_ID/Sera_Doğramacı,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
16,DBPEDIA_ID/Aarne_Honkavaara,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
17,DBPEDIA_ID/Adam_Foote,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
18,DBPEDIA_ID/Al_Smith_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
19,"DBPEDIA_ID/Aleksander_Barkov,_Jr.","Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
20,"DBPEDIA_ID/Aleksander_Barkov,_Sr.","Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
21,DBPEDIA_ID/Alex_Plante,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
22,DBPEDIA_ID/Alexander_Romanov_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
23,DBPEDIA_ID/Alexander_Sulzer,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
24,DBPEDIA_ID/Alexander_Vysotsky,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
25,DBPEDIA_ID/Alexei_Glukhov,"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
